Resource,Zone,StartCap,RetCap,NewCap,EndCap
CCGT-H2_1.0,1.0,0,0.0008280698690538579,517.6596353847214,517.6588073148523
Fuel_cell_1.0,1.0,0,0.0005112731212039912,0.8221750644611241,0.8216637913399201
CCGT-H2_2.0,2.0,0,0.0007849649229911683,5379.422904473399,5379.4221195084765
Fuel_cell_2.0,2.0,0,0.0005112628462332433,1.0185552026574873,1.0180439398112542
CCGT-H2_3.0,3.0,0,0.0008729997152687169,217.04081624033384,217.03994324061858
Fuel_cell_3.0,3.0,0,0.0005111758740506001,1.1123274235736094,1.1118162476995588
CCGT-H2_4.0,4.0,0,0.0008690769163068941,219.5173539361611,219.5164848592448
Fuel_cell_4.0,4.0,0,0.0005111987125502075,0.8522819199764775,0.8517707212639273
CCGT-H2_5.0,5.0,0,0.0007766669888979043,568.9303163805124,568.9295397135235
Fuel_cell_5.0,5.0,0,0.0005112763155129513,0.8099973624872756,0.8094860861717627
CCGT-H2_6.0,6.0,0,0.0005754134762260657,259.9240467400068,259.9234713265306
Fuel_cell_6.0,6.0,0,0.0005112426768828477,0.9904156285216452,0.9899043858447624
CCGT-H2_7.0,7.0,0,0.0007727298740135354,3093.1902543190854,3093.1894815892115
Fuel_cell_7.0,7.0,0,0.0005112586995488586,1.0279262106281013,1.0274149519285525
CCGT-H2_8.0,8.0,0,0.0007831425247060168,1473.5592433428587,1473.5584602003341
Fuel_cell_8.0,8.0,0,0.0005112495733798174,0.9491213125779406,0.9486100630045609
CCGT-H2_9.0,9.0,0,0.000761101218893306,3.460898183742992,3.4601370825240987
Fuel_cell_9.0,9.0,0,0.0005112963200572082,0.5948454632370862,0.594334166917029
CCGT-H2_10.0,10.0,0,0.0007678874605820359,3.799647114374088,3.798879226913506
Fuel_cell_10.0,10.0,0,0.0005112880809403316,0.6002005822284637,0.5996892941475234
Total,n/a,0,0.012904575187299558,11745.282962285546,11745.270057710359
