BalanceComponent,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand
t26,245860.15198613232,504287.3095707604,-0.030441104623598378,0.0,0.0,0.0,1.0019820673468812e-5,-0.10245629450524596,-0.0020988336384526363,-749591.5667,421134.0162151471,107434.069907571,-0.02710126770973384,0.0,0.0,0.0,9.477817806073316e-6,11490.050927394792,-136.0613120780907,-538738.3231,231815.09329508615,0.038377858335465906,-29748.91806265925,0.0,0.0,0.0,7.913232120628627e-6,-11489.948471100286,-136.05921324445225,-189973.7461
t27,229704.2645723062,494889.5692552987,-0.030966553284194967,0.0,0.0,0.0,9.93898504145469e-6,-0.10331895750456707,-0.0020925941947732194,-724037.9325,419756.3636491441,99087.23649559251,-0.026875873528224077,0.0,0.0,0.0,9.440119709589471e-6,11490.05174556406,-136.06130550829337,-529013.832,230744.29059688846,0.038096082357743186,-32445.01188586112,0.0,0.0,0.0,7.890199230177919e-6,-11489.948426606556,-136.0592129140986,-186206.8497
t28,217544.54816007678,497518.14617145294,-0.032005306076133805,0.0,0.0,0.0,9.910372646722384e-6,-0.10401576306402971,-0.002084688214070091,-714506.7838,414983.4128772874,109898.18001271023,-0.027242666035221852,0.0,0.0,0.0,9.459535583569179e-6,11490.052331166178,-136.06129726682636,-535051.8156,229671.33361241565,0.03811070397517621,-31364.783694924467,0.0,0.0,0.0,7.88990584548195e-6,-11489.948315403115,-136.0592125786123,-186214.1217
t29,211561.56501449356,518014.01656045835,-0.033014642078346174,0.0,0.0,0.0,9.949412521284099e-6,-0.10575225061214885,-0.0020629712606112347,-729019.6561,411297.4881479582,145715.90056156853,-0.02777990280727074,0.0,0.0,0.0,9.572348645333153e-6,11490.054061576513,-136.06127647445388,-567183.5973,227466.55478087507,0.038463794200048876,-21080.812817563412,0.0,0.0,0.0,7.933065472164183e-6,-11489.9483093259,-136.05921350319326,-194293.3145
t30,362519.76058012055,419707.029181689,-0.01578080888096648,0.0,0.0,0.0,1.0103795016714992e-5,-0.11468752667150496,-0.002003890270297963,-781670.8469,537274.2885067433,83471.76465189637,-0.015470866616699629,0.0,0.0,0.0,9.790506631351468e-6,11489.996680162005,-136.06059878570116,-630916.1824,227685.42132629058,0.08880543460649012,-0.12147178817852444,0.0,0.0,0.0,8.04644525984643e-6,-11489.881992635334,-136.05859489543087,-215593.0045
t31,1.312928015611249e6,0.016042712797237985,-500802.62113230483,0.0,0.0,0.0,1.0293353586127494e-5,29793.08829455184,-366.0542700857266,-840628.1038,948236.601700416,0.016854998200735993,-237434.60340085672,0.0,0.0,0.0,9.888419017188342e-6,-41283.071925835684,-502.1137343766766,-667356.475,223570.73835030675,7001.326290887058,-0.03620666439508327,0.0,0.0,0.0,8.16747362407195e-6,11489.983631283849,-136.05946429094993,-241459.511
t32,2.15422791656308e6,0.07130881698705313,-1.2365373169833955e6,0.0,0.0,0.0,1.0345686212782005e-5,-33311.94057616607,-409.2801699784882,-883000.2013,1.2228757052892428e6,0.08838083361283594,-549733.2032152184,0.0,0.0,0.0,9.921357866192611e-6,21821.95332821604,-545.3396584163165,-692714.4888,233949.2417002878,14788.279618843622,-0.03787787790254839,0.0,0.0,0.0,8.244013768735346e-6,11489.987247950025,-136.0594884378284,-259624.9687
t33,2.2289597383415075e6,0.007667884497069493,-1.2873286585793947e6,0.0,0.0,0.0,1.0409348675112706e-5,-23231.86408435198,-348.6865920781223,-917138.0449,1.2675584062228184e6,0.01794282590404988,-556383.2460645774,0.0,0.0,0.0,9.989454994362911e-6,11741.874194888,-484.7460967020098,-720788.0782,234304.83201354757,26795.088335278677,-0.03858643905084792,0.0,0.0,0.0,8.305355372162252e-6,11489.98988946398,-136.05950462388748,-271987.3699
t34,2.2834183702139985e6,0.008232550158533376,-1.2873286589744824e6,0.0,0.0,0.0,1.0510677697342342e-5,-30219.70162709077,-390.01734386701486,-964526.1753,1.2901832825755111e6,0.01464651622162852,-556383.3060632689,0.0,0.0,0.0,1.0067464472964597e-5,18729.7120607608,-526.0768460655748,-750318.0655,248682.65560664513,22663.51758511344,-0.043081725850530245,0.0,0.0,0.0,8.360133200991867e-6,11489.989566329967,-136.05950219856,-282233.6189
t35,2.3219890225270838e6,0.06892411477918856,-1.2672988052552547e6,0.0,0.0,0.0,1.0612757509035861e-5,-33311.73675901618,-409.2788796139736,-1.02e6,1.3114334314818303e6,0.01317748471527188,-556383.3322741686,0.0,0.0,0.0,1.0129568657231107e-5,21821.74812178848,-545.3383761212225,-774621.7078,279774.5317299163,0.09646431825294347,-0.24356472013020591,0.0,0.0,0.0,8.41892339283827e-6,11489.9886372277,-136.05949650724895,-290661.8677
t36,2.2300501618452505e6,0.08842107767408688,-1.1253607110480717e6,0.0,0.0,0.0,1.0690712980847065e-5,-33311.88877079968,-409.27983761863493,-1.07e6,1.3349405500872394e6,0.013145398437297107,-556383.3491537002,0.0,0.0,0.0,1.0184142268360327e-5,22266.426366455984,-540.0850101285326,-798584.0068,304024.8186296777,0.036071608513375514,-17518.796339471814,0.0,0.0,0.0,8.444252404158334e-6,11045.462404343692,-130.80517250989774,-296959.4203
t37,2.2071180893020704e6,0.0894307688092788,-1.0624287854746187e6,0.0,0.0,0.0,1.0732825209276029e-5,-33311.886464101095,-409.2798250205525,-1.11e6,1.322672175744386e6,0.09614339680345368,-524568.2366931416,0.0,0.0,0.0,1.0219860806132976e-5,25890.5057503005,-497.1687169887257,-821840.863,311804.0392878143,0.0356245077642211,-16283.945612209536,0.0,0.0,0.0,8.462034883357123e-6,7421.380713800592,-87.88889196817317,-302435.2368
t38,2.206693830085903e6,0.08934931685429603,-1.0120045987594821e6,0.0,0.0,0.0,1.0809250238351102e-5,-33311.887141908,-409.2798333152664,-1.16e6,1.3102392381833375e6,0.08608542916890916,-495437.9492294162,0.0,0.0,0.0,1.026386443869222e-5,27585.519952250303,-477.09716119848133,-840273.4007,314163.84879257134,0.03527456222069546,-12196.636891358772,0.0,0.0,0.0,8.479847869977828e-6,5726.367189657699,-67.81732788321493,-307227.4853
t39,2.172913064293e6,0.08925037812138534,-950211.6472325847,0.0,0.0,0.0,1.0863666361980468e-5,-31348.77552504828,-396.9608709016402,-1.19e6,1.2824600170219373e6,0.08385411560047756,-441850.67947819957,0.0,0.0,0.0,1.0317349088170998e-5,19858.871755317377,-533.0198599891148,-858243.2286,304723.9689700764,0.03492614664449692,-6020.408562366976,0.0,0.0,0.0,8.488315903288379e-6,11489.903769730903,-136.05898908747457,-309590.8855
t40,2.0085350881685338e6,0.09270294934000714,-770306.6852943689,0.0,0.0,0.0,1.0895883301796635e-5,-26929.62743866002,-369.9877818805064,-1.21e6,1.1422802868439395e6,0.08512511835198433,-279821.25448180485,0.0,0.0,0.0,1.0366243473194807e-5,15439.730118996617,-506.0467341136159,-875727.5905,278698.7341808175,22273.75607856562,-0.04881408650540245,0.0,0.0,0.0,8.492788768009223e-6,11489.897319663403,-136.05895223310952,-311859.7497
t41,1.4111217653765215e6,0.09203230606743418,-166433.33439437975,0.0,0.0,0.0,1.0875118567349698e-5,-33311.98208977633,-409.28042625476724,-1.21e6,669311.1770360671,189547.983979405,-0.03813188464836484,0.0,0.0,0.0,1.0361161535789693e-5,21822.29133981845,-545.3369434436,-878435.5806,204686.30783056654,96998.92874234986,-0.03253128985210002,0.0,0.0,0.0,8.48723771321828e-6,11489.690749957877,-136.05651718883277,-312572.4058
t42,414081.5249986192,786474.3419090817,-0.03554059714897431,0.0,0.0,0.0,1.0794250408367644e-5,0.025848085431840334,-0.0017357648949346532,-1.2e6,340632.91067666234,533452.4430033294,-0.03325151852972727,0.0,0.0,0.0,1.0304353904623223e-5,-11489.83878083583,-136.05981306800544,-861315.3183,201745.99334932395,95975.82085641568,-0.031384156232143565,0.0,0.0,0.0,8.47216097057168e-6,11489.812932750398,-136.0580773031105,-308609.1654
t43,213231.95431020393,957323.89750484,-0.030365031331138728,0.0,0.0,0.0,1.0768951934533948e-5,0.022879378922112975,-0.0017080630126824238,-1.17e6,358097.6721516392,500932.3937641359,-0.03284360072209977,0.0,0.0,0.0,1.029937626406023e-5,-11489.734580912413,-136.05851179992692,-846220.3594,209693.7004770717,86595.68662204237,-0.030703795533961964,0.0,0.0,0.0,8.473928654694608e-6,11489.71170153349,-136.05680373691425,-307176.5813
t44,225944.0067528524,914611.8317077466,-0.029745763267191874,0.0,0.0,0.0,1.0745589059241431e-5,0.022150257322211278,-0.001705581776824451,-1.14e6,377907.76304627594,482722.8029928715,-0.033100098953554646,0.0,0.0,0.0,1.032475653485044e-5,-11489.723571638948,-136.05838788048405,-847820.8802,211386.7917106602,84917.15006019946,-0.030658627941236305,0.0,0.0,0.0,8.478460947026875e-6,11489.701421381626,-136.05668229870722,-307191.1253
t45,230200.43980641424,890355.3905323385,-0.029256126353414014,0.0,0.0,0.0,1.0728606520942428e-5,0.021437850797839983,-0.001703842615293437,-1.12e6,385815.09218664275,428514.1273284884,-0.032599701307050116,0.0,0.0,0.0,1.023255443266704e-5,-11489.706076429778,-136.05816920528173,-801519.5591,211252.41379930565,71481.99101670664,-0.02989807112670699,0.0,0.0,0.0,8.41969627291066e-6,11489.684638578981,-136.05646536266644,-293621.572
t46,228399.0937713974,822156.7295524749,-0.026670376535930768,0.0,0.0,0.0,1.0620761916015353e-5,0.02088011213762278,-0.0017037416969751496,-1.05e6,389728.8078098151,356893.0610883833,-0.031753119549663145,0.0,0.0,0.0,1.0067072891240824e-5,-11489.697411118295,-136.0580568749294,-733812.2211,210997.57413151464,48640.96617810414,-0.03018143783938991,0.0,0.0,0.0,8.30521691934313e-6,11489.676531006158,-136.05635313323242,-270525.6978
t47,223294.25565027638,732832.9897150265,-0.026540601691009844,0.0,0.0,0.0,1.0446200125566294e-5,0.020568983875002292,-0.0017039626372986271,-955571.4243,389877.23015985015,287967.782571809,-0.030918966981840948,0.0,0.0,0.0,9.86750822235332e-6,-11489.722899678405,-136.05834806423564,-665035.3407,210702.81111573,22494.710164638407,-0.029267844901003107,0.0,0.0,0.0,8.166834913685747e-6,11489.70233069453,-136.05664410159835,-244084.7033
t48,216436.33952017897,653032.2476825751,-0.02785396071720775,0.0,0.0,0.0,1.0278511990185564e-5,0.02037484585196339,-0.0017042038313911181,-868912.7655,386529.55150589684,239362.7316855724,-0.0308414812487232,0.0,0.0,0.0,9.711140981244303e-6,-11126.362645648533,-131.75592696443695,-613454.5767,211328.2134023158,0.8411189045420469,-0.03494589945463644,0.0,0.0,0.0,8.05811701821068e-6,11126.342270802681,-131.75422276060556,-221861.4691
t49,207201.36003402204,598191.0121706774,-0.029455721658419767,0.0,0.0,0.0,1.0142059852784474e-5,0.019969507650747495,-0.0017031799973168866,-804836.5475,380396.7110634844,196856.0032695866,-0.03079150165012684,0.0,0.0,0.0,9.60597140356055e-6,2864.6281947975476,-33.92442134714296,-579001.6606,210580.35605181998,0.06693061685234086,-0.06634153664416931,0.0,0.0,0.0,7.98517071433593e-6,-2864.6481643051984,-33.922718167145646,-207317.4678
t50,200273.65534996256,562540.7673169575,-0.030482587179196136,0.0,0.0,0.0,1.0053201689026794e-5,0.019860521756002364,-0.0017031386117387103,-762258.5937,373926.66662216035,176144.59950028,-0.03034842498204912,0.0,0.0,0.0,9.543695992259187e-6,9797.95354597075,-116.02599092764304,-558589.3318,208733.28834332462,0.10552546985949324,-0.07154830415146399,0.0,0.0,0.0,7.945705758083488e-6,-9797.973406492505,-116.02428778903129,-198372.9069
t51,195254.83341908726,543069.5549518852,-0.033133280351986316,0.0,0.0,0.0,9.994896795519531e-6,0.019799042179437953,-0.0017025755871621653,-737768.5507,367785.1526740578,169430.58367015992,-0.030103480374272823,0.0,0.0,0.0,9.504100343565047e-6,11489.913741574219,-136.06080057256386,-547385.6865,207093.5136031148,0.04138097062120598,-1064.1029863766375,0.0,0.0,0.0,7.922191929059806e-6,-11489.9335406164,-136.0590979969767,-193936.9865
t52,191200.63991201794,537132.8645774012,-0.03326971286138426,0.0,0.0,0.0,9.958290443474134e-6,0.01957875610139631,-0.0017017902464874252,-727777.6561,360204.5748145939,181134.92699288696,-0.030108515894970697,0.0,0.0,0.0,9.501771950806774e-6,10436.04581626266,-123.58197497925408,-550480.5323,204147.30045420164,323.4005575705863,-0.03747285628179442,0.0,0.0,0.0,7.912689694924183e-6,-10436.06539501876,-123.5802731890076,-193457.0344
t53,186937.95339447082,555585.9323967606,-0.034110693981628734,0.0,0.0,0.0,9.992647135911375e-6,0.019001212364943995,-0.0017003365783298937,-741968.0201,356289.4583607282,219636.87692614814,-0.031557545880323765,0.0,0.0,0.0,9.61588728181694e-6,9024.710839359257,-106.86960011627994,-583689.4418,210476.65526026388,577.562520516378,-0.018259419831973607,0.0,0.0,0.0,7.952512148211963e-6,-9024.729840571623,-106.86789977970162,-201485.3232
t54,320765.80655760324,474429.86242105765,-0.010181732956708902,0.0,0.0,0.0,1.0136164253585433e-5,0.02478649916132465,-0.0017345455739690918,-794639.7966,578192.1168435086,61510.05340358092,-0.022415817166608704,0.0,0.0,0.0,9.836657333343456e-6,11489.951702190621,-136.06115228020371,-649872.1132,285922.3833707689,0.02327241176615691,-50734.924963290236,0.0,0.0,0.0,8.07205752010204e-6,-11489.976488689783,-136.05941773462973,-222166.8932
t55,1.2919764128116397e6,0.010100303451904914,-404014.46019704465,0.0,0.0,0.0,1.0301579600099074e-5,-33311.90729241726,-409.27985785960607,-853267.6833,1.0876445859490037e6,0.019218934983779308,-441855.0092481538,0.0,0.0,0.0,9.914444333354527e-6,44801.7801278992,-545.3385460677569,-688345.2947,373171.4701058932,0.007493630009012802,-111707.29700159127,0.0,0.0,0.0,8.224403439860442e-6,-11489.872835481938,-136.05868820815078,-248404.2717
t56,2.123704833954467e6,13669.054151633918,-1.2129664819626708e6,0.0,0.0,0.0,1.0353163016898327e-5,-31687.357718109382,-399.1262231968672,-891357.9688,1.252528691138341e6,0.003034126862521803,-556383.4079751845,0.0,0.0,0.0,9.913920285053873e-6,20197.461529977474,-535.1851612039166,-714112.9205,370036.9960238774,0.00812548058251663,-111707.2980999546,0.0,0.0,0.0,8.301673870525286e-6,11489.896188131906,-136.0589380070493,-268249.5616
