Time_Index,lignite,coal,ng,ngccus90,oil,biomass,uranium,None,ng_dac_solvent,ng_dac_sorbent
65,1.701,1.86165,9.03,9.03,13.797,2.051582649,0.44415,0,13.28442527,11.04987152
66,1.701,1.86165,9.03,9.03,13.797,2.051582649,0.44415,0,13.28442527,11.04987152
67,1.701,1.86165,9.03,9.03,13.797,2.051582649,0.44415,0,13.28442527,11.04987152
68,1.701,1.86165,9.03,9.03,13.797,2.051582649,0.44415,0,13.28442527,11.04987152
69,1.701,1.86165,9.03,9.03,13.797,2.051582649,0.44415,0,13.28442527,11.04987152
70,1.701,1.86165,9.03,9.03,13.797,2.051582649,0.44415,0,13.28442527,11.04987152
71,1.701,1.86165,9.03,9.03,13.797,2.051582649,0.44415,0,13.28442527,11.04987152
72,1.701,1.86165,9.03,9.03,13.797,2.051582649,0.44415,0,13.28442527,11.04987152
73,1.701,1.86165,9.03,9.03,13.797,2.051582649,0.44415,0,13.28442527,11.04987152
74,1.701,1.86165,9.03,9.03,13.797,2.051582649,0.44415,0,13.28442527,11.04987152
75,1.701,1.86165,9.03,9.03,13.797,2.051582649,0.44415,0,13.28442527,11.04987152
76,1.701,1.86165,9.03,9.03,13.797,2.051582649,0.44415,0,13.28442527,11.04987152
77,1.701,1.86165,9.03,9.03,13.797,2.051582649,0.44415,0,13.28442527,11.04987152
78,1.701,1.86165,9.03,9.03,13.797,2.051582649,0.44415,0,13.28442527,11.04987152
79,1.701,1.86165,9.03,9.03,13.797,2.051582649,0.44415,0,13.28442527,11.04987152
80,1.701,1.86165,9.03,9.03,13.797,2.051582649,0.44415,0,13.28442527,11.04987152
81,1.701,1.86165,9.03,9.03,13.797,2.051582649,0.44415,0,13.28442527,11.04987152
82,1.701,1.86165,9.03,9.03,13.797,2.051582649,0.44415,0,13.28442527,11.04987152
83,1.701,1.86165,9.03,9.03,13.797,2.051582649,0.44415,0,13.28442527,11.04987152
84,1.701,1.86165,9.03,9.03,13.797,2.051582649,0.44415,0,13.28442527,11.04987152
85,1.701,1.86165,9.03,9.03,13.797,2.051582649,0.44415,0,13.28442527,11.04987152
86,1.701,1.86165,9.03,9.03,13.797,2.051582649,0.44415,0,13.28442527,11.04987152
87,1.701,1.86165,9.03,9.03,13.797,2.051582649,0.44415,0,13.28442527,11.04987152
88,1.701,1.86165,9.03,9.03,13.797,2.051582649,0.44415,0,13.28442527,11.04987152
89,1.701,1.86165,9.03,9.03,13.797,2.051582649,0.44415,0,13.28442527,11.04987152
90,1.701,1.86165,9.03,9.03,13.797,2.051582649,0.44415,0,13.28442527,11.04987152
91,1.701,1.86165,9.03,9.03,13.797,2.051582649,0.44415,0,13.28442527,11.04987152
92,1.701,1.86165,9.03,9.03,13.797,2.051582649,0.44415,0,13.28442527,11.04987152
93,1.701,1.86165,9.03,9.03,13.797,2.051582649,0.44415,0,13.28442527,11.04987152
94,1.701,1.86165,9.03,9.03,13.797,2.051582649,0.44415,0,13.28442527,11.04987152
95,1.701,1.86165,9.03,9.03,13.797,2.051582649,0.44415,0,13.28442527,11.04987152
96,1.701,1.86165,9.03,9.03,13.797,2.051582649,0.44415,0,13.28442527,11.04987152
97,1.701,1.86165,9.03,9.03,13.797,2.051582649,0.44415,0,13.28442527,11.04987152
98,1.701,1.86165,9.03,9.03,13.797,2.051582649,0.44415,0,13.28442527,11.04987152
99,1.701,1.86165,9.03,9.03,13.797,2.051582649,0.44415,0,13.28442527,11.04987152
100,1.701,1.86165,9.03,9.03,13.797,2.051582649,0.44415,0,13.28442527,11.04987152
101,1.701,1.86165,9.03,9.03,13.797,2.051582649,0.44415,0,13.28442527,11.04987152
102,1.701,1.86165,9.03,9.03,13.797,2.051582649,0.44415,0,13.28442527,11.04987152
103,1.701,1.86165,9.03,9.03,13.797,2.051582649,0.44415,0,13.28442527,11.04987152
104,1.701,1.86165,9.03,9.03,13.797,2.051582649,0.44415,0,13.28442527,11.04987152
105,1.701,1.86165,9.03,9.03,13.797,2.051582649,0.44415,0,13.28442527,11.04987152
106,1.701,1.86165,9.03,9.03,13.797,2.051582649,0.44415,0,13.28442527,11.04987152
107,1.701,1.86165,9.03,9.03,13.797,2.051582649,0.44415,0,13.28442527,11.04987152
108,1.701,1.86165,9.03,9.03,13.797,2.051582649,0.44415,0,13.28442527,11.04987152
109,1.701,1.86165,9.03,9.03,13.797,2.051582649,0.44415,0,13.28442527,11.04987152
110,1.701,1.86165,9.03,9.03,13.797,2.051582649,0.44415,0,13.28442527,11.04987152
111,1.701,1.86165,9.03,9.03,13.797,2.051582649,0.44415,0,13.28442527,11.04987152
112,1.701,1.86165,9.03,9.03,13.797,2.051582649,0.44415,0,13.28442527,11.04987152
113,1.701,1.86165,9.03,9.03,13.797,2.051582649,0.44415,0,13.28442527,11.04987152
114,1.701,1.86165,9.03,9.03,13.797,2.051582649,0.44415,0,13.28442527,11.04987152
115,1.701,1.86165,9.03,9.03,13.797,2.051582649,0.44415,0,13.28442527,11.04987152
116,1.701,1.86165,9.03,9.03,13.797,2.051582649,0.44415,0,13.28442527,11.04987152
117,1.701,1.86165,9.03,9.03,13.797,2.051582649,0.44415,0,13.28442527,11.04987152
118,1.701,1.86165,9.03,9.03,13.797,2.051582649,0.44415,0,13.28442527,11.04987152
119,1.701,1.86165,9.03,9.03,13.797,2.051582649,0.44415,0,13.28442527,11.04987152
120,1.701,1.86165,9.03,9.03,13.797,2.051582649,0.44415,0,13.28442527,11.04987152
121,1.701,1.86165,9.03,9.03,13.797,2.051582649,0.44415,0,13.28442527,11.04987152
