Time_Index,BE0 0 CCGT,BE0 0 OCGT,BE0 0 biomass,BE0 0 coal,BE0 0 nuclear,BE0 0 offwind-ac,BE0 0 offwind-dc,BE0 0 onwind,BE0 0 ror,BE0 0 solar,DE0 0 CCGT,DE0 0 OCGT,DE0 0 biomass,DE0 0 coal,DE0 0 lignite,DE0 0 nuclear,DE0 0 offwind-ac,DE0 0 offwind-dc,DE0 0 oil,DE0 0 onwind,DE0 0 ror,DE0 0 solar,DK0 0 OCGT,DK0 0 biomass,DK0 0 coal,DK0 0 offwind-ac,DK0 0 offwind-dc,DK0 0 onwind,DK0 0 solar,DK0 0 nuclear,DK0 0 CCGT,DK3 0 CCGT,DK3 0 OCGT,DK3 0 biomass,DK3 0 coal,DK3 0 offwind-ac,DK3 0 offwind-dc,DK3 0 oil,DK3 0 onwind,DK3 0 nuclear,FR0 0 CCGT,FR0 0 OCGT,FR0 0 coal,FR0 0 nuclear,FR0 0 offwind-ac,FR0 0 offwind-dc,FR0 0 oil,FR0 0 onwind,FR0 0 ror,FR0 0 solar,GB4 0 CCGT,GB4 0 coal,GB4 0 offwind-ac,GB4 0 offwind-dc,GB4 0 oil,GB4 0 onwind,GB4 0 solar,GB5 0 CCGT,GB5 0 OCGT,GB5 0 biomass,GB5 0 coal,GB5 0 nuclear,GB5 0 offwind-ac,GB5 0 offwind-dc,GB5 0 oil,GB5 0 onwind,GB5 0 ror,GB5 0 solar,NL0 0 CCGT,NL0 0 OCGT,NL0 0 coal,NL0 0 nuclear,NL0 0 offwind-ac,NL0 0 offwind-dc,NL0 0 onwind,NL0 0 solar,NO3 0 CCGT,NO3 0 OCGT,NO3 0 offwind-ac,NO3 0 offwind-dc,NO3 0 onwind,NO3 0 solar,NO3 0 coal,NO3 0 nuclear,SE3 0 CCGT,SE3 0 biomass,SE3 0 coal,SE3 0 nuclear,SE3 0 offwind-ac,SE3 0 offwind-dc,SE3 0 oil,SE3 0 onwind,SE3 0 ror,SE3 0 solar,DE0 0 hydro,FR0 0 hydro,GB5 0 hydro,NO3 0 hydro,SE3 0 hydro,DE0 0 PHS,FR0 0 PHS,GB5 0 PHS,NO3 0 PHS,SE3 0 PHS,BE0 0 Battery,DE0 0 Battery,DK0 0 Battery,DK3 0 Battery,FR0 0 Battery,GB4 0 Battery,GB5 0 Battery,NL0 0 Battery,NO0 0 Battery,SE3 0 Battery,BE0 0 CCGT_CCS,DE0 0 CCGT_CCS,DK0 0 CCGT_CCS,DK3 0 CCGT_CCS,FR0 0 CCGT_CCS,GB4 0 CCGT_CCS,GB5 0 CCGT_CCS,NL0 0 CCGT_CCS,NO3 0 CCGT_CCS,SE3 0 CCGT_CCS
1,0.9,0.9,0.9,0.9,0.9,0.234,0.297,0.117,0.9,0.0,0.9,0.9,0.9,0.9,0.9,0.9,0.396,0.612,0.9,0.045,0.729,0.0,0.9,0.9,0.9,0.207,0.36,0.171,0.0,0.9,1.0,0.9,0.9,0.9,0.9,0.351,0.54,0.9,0.351,0.9,0.9,0.9,0.9,0.9,0.27,0.378,0.9,0.108,0.45,0.0,0.9,0.9,0.225,0.405,0.9,0.162,0.0,0.9,0.9,0.9,0.9,0.9,0.351,0.279,0.9,0.288,0.891,0.0,0.9,0.9,0.9,0.9,0.162,0.261,0.117,0.0,0.9,0.9,0.324,0.414,0.135,0.0,0.9,0.9,0.9,0.9,0.9,0.9,0.207,0.315,0.9,0.153,0.468,0.0,0.84031086,0.498255465,0.989307085,0.272693703,0.520306055,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2,0.9,0.9,0.9,0.9,0.9,0.27,0.288,0.126,0.9,0.0,0.9,0.9,0.9,0.9,0.9,0.9,0.36,0.567,0.9,0.036,0.729,0.0,0.9,0.9,0.9,0.18,0.297,0.144,0.0,0.9,1.0,0.9,0.9,0.9,0.9,0.333,0.513,0.9,0.342,0.9,0.9,0.9,0.9,0.9,0.288,0.333,0.9,0.117,0.45,0.0,0.9,0.9,0.207,0.432,0.9,0.135,0.0,0.9,0.9,0.9,0.9,0.9,0.333,0.27,0.9,0.261,0.891,0.0,0.9,0.9,0.9,0.9,0.144,0.243,0.117,0.0,0.9,0.9,0.324,0.432,0.126,0.0,0.9,0.9,0.9,0.9,0.9,0.9,0.198,0.297,0.9,0.153,0.468,0.0,0.840103546,0.497904422,0.988433125,0.272574549,0.520123195,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
3,0.9,0.9,0.9,0.9,0.9,0.288,0.306,0.126,0.9,0.0,0.9,0.9,0.9,0.9,0.9,0.9,0.342,0.504,0.9,0.036,0.729,0.0,0.9,0.9,0.9,0.162,0.252,0.135,0.0,0.9,1.0,0.9,0.9,0.9,0.9,0.324,0.486,0.9,0.333,0.9,0.9,0.9,0.9,0.9,0.297,0.324,0.9,0.117,0.45,0.0,0.9,0.9,0.207,0.459,0.9,0.117,0.0,0.9,0.9,0.9,0.9,0.9,0.324,0.27,0.9,0.243,0.891,0.0,0.9,0.9,0.9,0.9,0.135,0.243,0.126,0.0,0.9,0.9,0.315,0.423,0.126,0.0,0.9,0.9,0.9,0.9,0.9,0.9,0.189,0.279,0.9,0.153,0.468,0.0,0.83989937,0.497558559,0.987558501,0.27245426,0.519940233,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
4,0.9,0.9,0.9,0.9,0.9,0.252,0.288,0.099,0.9,0.0,0.9,0.9,0.9,0.9,0.9,0.9,0.315,0.45,0.9,0.036,0.729,0.0,0.9,0.9,0.9,0.144,0.216,0.126,0.0,0.9,1.0,0.9,0.9,0.9,0.9,0.288,0.432,0.9,0.315,0.9,0.9,0.9,0.9,0.9,0.306,0.279,0.9,0.117,0.45,0.0,0.9,0.9,0.225,0.486,0.9,0.135,0.0,0.9,0.9,0.9,0.9,0.9,0.315,0.261,0.9,0.225,0.891,0.0,0.9,0.9,0.9,0.9,0.153,0.252,0.144,0.0,0.9,0.9,0.315,0.405,0.126,0.0,0.9,0.9,0.9,0.9,0.9,0.9,0.18,0.261,0.9,0.153,0.468,0.0,0.839692853,0.497313993,0.986683789,0.272334273,0.51975694,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
5,0.9,0.9,0.9,0.9,0.9,0.234,0.288,0.09,0.9,0.0,0.9,0.9,0.9,0.9,0.9,0.9,0.297,0.414,0.9,0.045,0.729,0.0,0.9,0.9,0.9,0.144,0.189,0.135,0.0,0.9,1.0,0.9,0.9,0.9,0.9,0.27,0.396,0.9,0.297,0.9,0.9,0.9,0.9,0.9,0.315,0.252,0.9,0.108,0.45,0.0,0.9,0.9,0.252,0.513,0.9,0.171,0.0,0.9,0.9,0.9,0.9,0.9,0.306,0.252,0.9,0.207,0.891,0.0,0.9,0.9,0.9,0.9,0.171,0.261,0.144,0.0,0.9,0.9,0.315,0.396,0.126,0.0,0.9,0.9,0.9,0.9,0.9,0.9,0.18,0.252,0.9,0.153,0.468,0.0,0.839487503,0.497157622,0.985808158,0.272214278,0.519573014,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
6,0.9,0.9,0.9,0.9,0.9,0.225,0.27,0.09,0.9,0.0,0.9,0.9,0.9,0.9,0.9,0.9,0.288,0.387,0.9,0.045,0.729,0.0,0.9,0.9,0.9,0.144,0.171,0.135,0.0,0.9,1.0,0.9,0.9,0.9,0.9,0.261,0.351,0.9,0.279,0.9,0.9,0.9,0.9,0.9,0.324,0.225,0.9,0.108,0.45,0.0,0.9,0.9,0.315,0.558,0.9,0.207,0.0,0.9,0.9,0.9,0.9,0.9,0.306,0.243,0.9,0.198,0.882,0.0,0.9,0.9,0.9,0.9,0.18,0.27,0.144,0.0,0.9,0.9,0.306,0.387,0.126,0.0,0.9,0.9,0.9,0.9,0.9,0.9,0.171,0.234,0.9,0.153,0.468,0.0,0.839279323,0.497110973,0.984932939,0.272094486,0.519388048,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
7,0.9,0.9,0.9,0.9,0.9,0.216,0.252,0.09,0.9,0.0,0.9,0.9,0.9,0.9,0.9,0.9,0.297,0.369,0.9,0.045,0.729,0.0,0.9,0.9,0.9,0.135,0.162,0.126,0.0,0.9,1.0,0.9,0.9,0.9,0.9,0.27,0.324,0.9,0.297,0.9,0.9,0.9,0.9,0.9,0.315,0.189,0.9,0.108,0.45,0.0,0.9,0.9,0.405,0.639,0.9,0.243,0.0,0.9,0.9,0.9,0.9,0.9,0.306,0.243,0.9,0.189,0.882,0.0,0.9,0.9,0.9,0.9,0.198,0.279,0.135,0.0,0.9,0.9,0.306,0.387,0.135,0.0,0.9,0.9,0.9,0.9,0.9,0.9,0.171,0.225,0.9,0.162,0.468,0.0,0.839070976,0.49716944,0.984060958,0.271974743,0.51920244,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
8,0.9,0.9,0.9,0.9,0.9,0.207,0.234,0.09,0.9,0.0,0.9,0.9,0.9,0.9,0.9,0.9,0.288,0.351,0.9,0.036,0.729,0.0,0.9,0.9,0.9,0.117,0.153,0.117,0.0,0.9,1.0,0.9,0.9,0.9,0.9,0.279,0.324,0.9,0.306,0.9,0.9,0.9,0.9,0.9,0.315,0.171,0.9,0.108,0.45,0.0,0.9,0.9,0.486,0.738,0.9,0.261,0.0,0.9,0.9,0.9,0.9,0.9,0.288,0.234,0.9,0.171,0.882,0.0,0.9,0.9,0.9,0.9,0.207,0.279,0.126,0.0,0.9,0.9,0.306,0.369,0.135,0.0,0.9,0.9,0.9,0.9,0.9,0.9,0.18,0.234,0.9,0.171,0.468,0.0,0.838860527,0.496932219,0.983183709,0.271855512,0.519019348,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
9,0.9,0.9,0.9,0.9,0.9,0.216,0.243,0.081,0.9,0.045,0.9,0.9,0.9,0.9,0.9,0.9,0.27,0.324,0.9,0.036,0.729,0.054,0.9,0.9,0.9,0.108,0.135,0.099,0.018,0.9,1.0,0.9,0.9,0.9,0.9,0.279,0.315,0.9,0.288,0.9,0.9,0.9,0.9,0.9,0.315,0.144,0.9,0.108,0.45,0.045,0.9,0.9,0.576,0.801,0.9,0.288,0.0,0.9,0.9,0.9,0.9,0.9,0.27,0.225,0.9,0.162,0.882,0.0,0.9,0.9,0.9,0.9,0.207,0.27,0.126,0.027,0.9,0.9,0.306,0.342,0.135,0.0,0.9,0.9,0.9,0.9,0.9,0.9,0.189,0.243,0.9,0.171,0.468,0.063,0.838648923,0.496525579,0.982301393,0.271736164,0.518836366,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
10,0.9,0.9,0.9,0.9,0.9,0.207,0.243,0.054,0.9,0.108,0.9,0.9,0.9,0.9,0.9,0.9,0.243,0.27,0.9,0.027,0.729,0.072,0.9,0.9,0.9,0.09,0.099,0.081,0.027,0.9,1.0,0.9,0.9,0.9,0.9,0.252,0.297,0.9,0.234,0.9,0.9,0.9,0.9,0.9,0.324,0.135,0.9,0.099,0.45,0.117,0.9,0.9,0.621,0.828,0.9,0.315,0.009,0.9,0.9,0.9,0.9,0.9,0.252,0.234,0.9,0.144,0.882,0.018,0.9,0.9,0.9,0.9,0.189,0.252,0.108,0.054,0.9,0.9,0.297,0.324,0.135,0.045,0.9,0.9,0.9,0.9,0.9,0.9,0.189,0.243,0.9,0.18,0.468,0.117,0.838436437,0.495917157,0.981413257,0.271616868,0.518652983,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
