Period_Index,Rep_Period,Rep_Period_Index
1,152,5
2,152,5
3,111,4
4,111,4
5,111,4
6,111,4
7,111,4
8,111,4
9,111,4
10,111,4
11,111,4
12,111,4
13,152,5
14,111,4
15,111,4
16,111,4
17,111,4
18,111,4
19,111,4
20,111,4
21,111,4
22,111,4
23,111,4
24,12,1
25,111,4
26,111,4
27,111,4
28,111,4
29,111,4
30,111,4
31,111,4
32,111,4
33,111,4
34,111,4
35,12,1
36,152,5
37,111,4
38,111,4
39,111,4
40,111,4
41,111,4
42,111,4
43,111,4
44,152,5
45,152,5
46,152,5
47,111,4
48,111,4
49,152,5
50,111,4
51,111,4
52,111,4
53,152,5
54,152,5
55,152,5
56,152,5
57,152,5
58,152,5
59,152,5
60,152,5
61,152,5
62,152,5
63,152,5
64,12,1
65,152,5
66,152,5
67,152,5
68,152,5
69,152,5
70,111,4
71,152,5
72,12,1
73,152,5
74,152,5
75,152,5
76,152,5
77,152,5
78,152,5
79,152,5
80,152,5
81,152,5
82,152,5
83,152,5
84,152,5
85,152,5
86,152,5
87,152,5
88,152,5
89,152,5
90,152,5
91,152,5
92,152,5
93,152,5
94,12,1
95,152,5
96,12,1
97,12,1
98,12,1
99,12,1
100,12,1
101,12,1
102,12,1
103,12,1
104,152,5
105,12,1
106,12,1
107,12,1
108,12,1
109,12,1
110,12,1
111,152,5
112,152,5
113,12,1
114,12,1
115,152,5
116,152,5
117,12,1
118,12,1
119,152,5
120,152,5
121,12,1
122,12,1
123,45,2
124,45,2
125,45,2
126,45,2
127,45,2
128,12,1
129,45,2
130,45,2
131,45,2
132,45,2
133,152,5
134,45,2
135,45,2
136,45,2
137,45,2
138,45,2
139,12,1
140,45,2
141,45,2
142,45,2
143,45,2
144,45,2
145,45,2
146,45,2
147,45,2
148,45,2
149,45,2
150,12,1
151,76,3
152,76,3
153,76,3
154,76,3
155,76,3
156,76,3
157,76,3
158,76,3
159,76,3
160,76,3
161,12,1
162,76,3
163,76,3
164,76,3
165,76,3
166,76,3
167,76,3
168,76,3
169,76,3
170,76,3
171,76,3
172,12,1
173,76,3
174,111,4
175,111,4
176,111,4
177,111,4
178,111,4
179,111,4
180,111,4
181,111,4
182,111,4
