Line,Existing_Trans_Capacity,New_Trans_Capacity
1,0.0,0.0006306676
2,0.0,0.0001362439
3,0.0,0.00013008121
4,0.0,11.953283
5,0.0,0.0001430128
6,0.0,0.004155752
7,0.0,10.837362
8,0.0,0.00012936996
9,0.0,6.677719e-5
10,0.0,0.00048771463
11,0.0,0.8291641
12,0.0,0.00040429915
13,0.0,9.034372e-5
14,0.0,0.00022941822
15,0.0,38.00123
16,0.0,0.00023658795
17,0.0,0.00012897952
18,0.0,1.5049912
19,0.0,0.000100648125
20,0.0,7.1342896e-5
21,0.0,0.0001495311
22,0.0,0.00020310153
23,0.0,5.0370045
24,0.0,0.00018543145
25,0.0,9.939645e-5
26,0.0,5.9776914e-5
27,0.0,0.00011322872
28,0.0,0.00016535519
29,0.0,1.1415786
30,0.0,0.15701458
31,0.0,0.0001434741
32,0.0,0.003225356
33,0.0,0.00045065992
34,0.0,8.4060026e-5
35,0.0,5.0388553e-5
36,0.0,6.2362375
37,0.0,0.00013025655
38,0.0,8.180694e-5
39,0.0,4.0540246e-5
40,0.0,0.84137356
41,0.0,0.00017198578
42,0.0,5.615583e-5
43,0.0,0.00022219024
44,0.0,8.465053e-5
45,0.0,0.5111705
