Resource,Zone,THERM,MUST_RUN,STOR,FLEX,HYDRO,VRE,LDS,CCS,Num_VRE_Bins,New_Build,Existing_Cap_MW,Existing_Cap_MWh,Existing_Charge_Cap_MW,Max_Cap_MW,Max_Cap_MWh,Max_Charge_Cap_MW,Min_Cap_MW,Min_Cap_MWh,Min_Charge_Cap_MW,Inv_Cost_per_MWyr,Inv_Cost_per_MWhyr,Inv_Cost_Charge_per_MWyr,Fixed_OM_Cost_per_MWyr,Fixed_OM_Cost_per_MWhyr,Fixed_OM_Cost_Charge_per_MWyr,Var_OM_Cost_per_MWh,Var_OM_Cost_per_MWh_In,Heat_Rate_MMBTU_per_MWh,Fuel,CCS_Percentage,Cap_Size,Start_Cost_per_MW,Start_Fuel_MMBTU_per_MW,Up_Time,Down_Time,Ramp_Up_Percentage,Ramp_Dn_Percentage,Hydro_Energy_to_Power_Ratio,Min_Power,Self_Disch,Eff_Up,Eff_Down,Min_Duration,Max_Duration,Max_Flexible_Demand_Advance,Max_Flexible_Demand_Delay,Flexible_Demand_Energy_Eff,Reg_Max,Rsv_Max,Reg_Cost,Rsv_Cost,MinCapTag,MinCapTag_1,MinCapTag_2,MinCapTag_3,MGA,Resource_Type,CapRes_1,ESR_1,ESR_2,region,cluster
Wind_3_0,3,0,0,0,0,0,1,0,0,3,1,0,0,0,5965.663833,-1,-1,0,0,0,75994.55528,0,0,35000,0,0,0,0,0,none,0,1,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,12,0,0,1,0,Wind,0.95,0,0,3,3
Wind_3_1,3,0,0,0,0,0,1,0,0,0,1,0,0,0,3626.721141,-1,-1,0,0,0,75837.91541,0,0,35000,0,0,0,0,0,none,0,1,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,12,0,0,1,0,Wind,0.95,0,0,3,3
Wind_3_2,3,0,0,0,0,0,1,0,0,0,1,0,0,0,1552.653802,-1,-1,0,0,0,75821.86038,0,0,35000,0,0,0,0,0,none,0,1,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,2,0,0,0,1,Wind,0.93,0,0,3,3
Nuclear_4,4,1,0,0,0,0,0,0,0,0,1,0,0,0,-1,-1,-1,0,0,0,412000,0,0,119000,0,0,2,0,10,uranium,0,1000,208,0,24,24,0.17,0.17,0,0.5,0,1,1,0,0,0,0,1,0.5,0.1,0,0,7,1,0,0,1,Nuclear,0.8,1,1,4,4
PV_4_0,4,0,0,0,0,0,1,0,0,1,1,0,0,0,26776.03748,-1,-1,0,0,0,62552.19917,0,0,8000,0,0,0,0,0,none,0,1,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,2,0,0,0,1,PV,0.93,0,0,4,4
Wind_4_0,4,0,0,0,0,0,1,0,0,3,1,0,0,0,318.8296042,-1,-1,0,0,0,86544.89998,0,0,35000,0,0,0,0,0,none,0,1,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,6,0,1,0,1,Wind,0.8,1,1,4,4
Wind_4_1,4,0,0,0,0,0,1,0,0,0,1,0,0,0,970.6140934,-1,-1,0,0,0,86958.45927,0,0,35000,0,0,0,0,0,none,0,1,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,7,0,0,0,1,Wind,0.8,1,1,4,4
Wind_4_2,4,0,0,0,0,0,1,0,0,0,1,0,0,0,42.24480553,-1,-1,0,0,0,80045.20644,0,0,35000,0,0,0,0,0,none,0,1,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,2,0,0,0,1,Wind,0.93,0,0,4,4
Nuclear_5,5,1,0,0,0,0,0,0,0,0,1,0,0,0,-1,-1,-1,0,0,0,412000,0,0,119000,0,0,2,0,10,uranium,0,1000,208,0,24,24,0.17,0.17,0,0.5,0,1,1,0,0,0,0,1,0.5,0.1,0,0,6,0,0,0,1,Nuclear,0.8,1,1,5,5
Hydro_Res_5,5,0,0,0,0,2,0,0,0,0,-1,278.8,0,0,0,-1,-1,0,0,0,0,0,0,41000,0,0,0,0,0,none,0,1,0,0,0,0,1,1,0,0.1,0,1,1,0,0,0,0,1,1,1,0,0,12,0,0,1,0,Hydro_Res,0.95,0,0,5,5
Hydro_RoR_5,5,0,0,0,0,3,0,0,0,0,-1,283.1,0,0,0,-1,-1,0,0,0,0,0,0,41000,0,0,0,0,0,none,0,1,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,12,0,0,1,0,Hydro_RoR,0.95,0,0,5,5
PV_5_0,5,0,0,0,0,0,1,0,0,1,1,0,0,0,798348.3313,-1,-1,0,0,0,58008.34123,0,0,8000,0,0,0,0,0,none,0,1,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,12,0,0,1,0,PV,0.95,0,0,5,5
Wind_5_0,5,0,0,0,0,0,1,0,0,3,1,0,0,0,15184.43951,-1,-1,0,0,0,80876.12053,0,0,35000,0,0,0,0,0,none,0,1,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,2,0,0,0,1,Wind,0.93,0,0,5,5
Wind_5_1,5,0,0,0,0,0,1,0,0,0,1,0,0,0,16264.54171,-1,-1,0,0,0,81161.11734,0,0,35000,0,0,0,0,0,none,0,1,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,7,1,0,0,1,Wind,0.8,1,1,5,5
Wind_5_2,5,0,0,0,0,0,1,0,0,0,1,0,0,0,8163.464976,-1,-1,0,0,0,84899.47652,0,0,35000,0,0,0,0,0,none,0,1,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,2,0,0,0,1,Wind,0.93,0,0,5,5
Nuclear_6,6,1,0,0,0,0,0,0,0,0,1,0,0,0,-1,-1,-1,0,0,0,412000,0,0,119000,0,0,2,0,10,uranium,0,1000,208,0,24,24,0.17,0.17,0,0.5,0,1,1,0,0,0,0,1,0.5,0.1,0,0,6,0,1,0,1,Nuclear,0.8,1,1,6,6
Hydro_Res_6,6,0,0,0,0,2,0,0,0,0,-1,3625.8,0,0,0,-1,-1,0,0,0,0,0,0,41000,0,0,0,0,0,none,0,1,0,0,0,0,1,1,0,0.1,0,1,1,0,0,0,0,1,1,1,0,0,7,0,0,0,1,Hydro_Res,0.8,1,1,6,6
Hydro_RoR_6,6,0,0,0,0,3,0,0,0,0,-1,496.6,0,0,0,-1,-1,0,0,0,0,0,0,41000,0,0,0,0,0,none,0,1,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,2,0,0,0,1,Hydro_RoR,0.93,0,0,6,6
PV_6_0,6,0,0,0,0,0,1,0,0,1,1,0,0,0,2262162.433,-1,-1,0,0,0,57258.29861,0,0,8000,0,0,0,0,0,none,0,1,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,6,0,0,0,1,PV,0.8,1,1,6,6
Wind_6_0,6,0,0,0,0,0,1,0,0,3,1,0,0,0,57621.04313,-1,-1,0,0,0,79929.49942,0,0,35000,0,0,0,0,0,none,0,1,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,12,0,0,1,0,Wind,0.95,0,0,6,6
Wind_6_1,6,0,0,0,0,0,1,0,0,0,1,0,0,0,44002.52283,-1,-1,0,0,0,81983.61637,0,0,35000,0,0,0,0,0,none,0,1,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,12,0,0,1,0,Wind,0.95,0,0,6,6
Wind_6_2,6,0,0,0,0,0,1,0,0,0,1,0,0,0,10559.30741,-1,-1,0,0,0,83277.85064,0,0,35000,0,0,0,0,0,none,0,1,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,12,0,0,1,0,Wind,0.95,0,0,6,6
Hydro_Can,7,0,0,0,0,2,0,0,0,0,-1,3872.318514,0,0,0,-1,-1,0,0,0,0,0,0,41000,0,0,0,0,0,none,0,1,0,0,0,0,1,1,0,0.1,0,1,1,0,0,0,0,1,0,0,0,0,2,0,0,0,1,Hydro_Can,0.93,0,0,7,7
CCGT_1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,-1,-1,-1,0,0,0,64000,0,0,13000,0,0,2,0,6,natural_gas,0,573,79,9.16,4,4,1,1,0,0.33,0,1,1,0,0,0,0,1,0.67,0.67,0,0,7,1,0,0,1,CCGT,0.8,1,1,1,1
CCGT_2,2,1,0,0,0,0,0,0,0,0,1,0,0,0,-1,-1,-1,0,0,0,64000,0,0,13000,0,0,2,0,6,natural_gas,0,573,79,9.16,4,4,1,1,0,0.33,0,1,1,0,0,0,0,1,0.67,0.67,0,0,2,0,0,0,1,CCGT,0.93,0,0,2,2
CCGT_3,3,1,0,0,0,0,0,0,0,0,1,0,0,0,-1,-1,-1,0,0,0,64000,0,0,13000,0,0,2,0,6,natural_gas,0,573,79,9.16,4,4,1,1,0,0.33,0,1,1,0,0,0,0,1,0.67,0.67,0,0,6,0,1,0,1,CCGT,0.8,1,1,3,3
CCGT_4,4,1,0,0,0,0,0,0,0,0,1,0,0,0,-1,-1,-1,0,0,0,64000,0,0,13000,0,0,2,0,6,natural_gas,0,573,79,9.16,4,4,1,1,0,0.33,0,1,1,0,0,0,0,1,0.67,0.67,0,0,7,0,0,0,1,CCGT,0.8,1,1,4,4
CCGT_5,5,1,0,0,0,0,0,0,0,0,1,0,0,0,-1,-1,-1,0,0,0,64000,0,0,13000,0,0,2,0,6,natural_gas,0,573,79,9.16,4,4,1,1,0,0.33,0,1,1,0,0,0,0,1,0.67,0.67,0,0,2,0,0,0,1,CCGT,0.93,0,0,5,5
CCGT_6,6,1,0,0,0,0,0,0,0,0,1,0,0,0,-1,-1,-1,0,0,0,64000,0,0,13000,0,0,2,0,6,natural_gas,0,573,79,9.16,4,4,1,1,0,0.33,0,1,1,0,0,0,0,1,0.67,0.67,0,0,6,0,0,0,1,CCGT,0.8,1,1,6,6
OCGT_F_1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,-1,-1,-1,0,0,0,58000,0,0,11000,0,0,4,0,10,natural_gas,0,384,103,0.22,1,1,1,1,0,0.25,0,1,1,0,0,0,0,1,0.75,0.75,0,0,12,0,0,1,0,OCGT_F,0.95,0,0,1,1
OCGT_F_2,2,1,0,0,0,0,0,0,0,0,1,0,0,0,-1,-1,-1,0,0,0,58000,0,0,11000,0,0,4,0,10,natural_gas,0,384,103,0.22,1,1,1,1,0,0.25,0,1,1,0,0,0,0,1,0.75,0.75,0,0,12,0,0,1,0,OCGT_F,0.95,0,0,2,2
OCGT_F_3,3,1,0,0,0,0,0,0,0,0,1,0,0,0,-1,-1,-1,0,0,0,58000,0,0,11000,0,0,4,0,10,natural_gas,0,384,103,0.22,1,1,1,1,0,0.25,0,1,1,0,0,0,0,1,0.75,0.75,0,0,12,0,0,1,0,OCGT_F,0.95,0,0,3,3
OCGT_F_4,4,1,0,0,0,0,0,0,0,0,1,0,0,0,-1,-1,-1,0,0,0,58000,0,0,11000,0,0,4,0,10,natural_gas,0,384,103,0.22,1,1,1,1,0,0.25,0,1,1,0,0,0,0,1,0.75,0.75,0,0,2,0,0,0,1,OCGT_F,0.93,0,0,4,4
OCGT_F_5,5,1,0,0,0,0,0,0,0,0,1,0,0,0,-1,-1,-1,0,0,0,58000,0,0,11000,0,0,4,0,10,natural_gas,0,384,103,0.22,1,1,1,1,0,0.25,0,1,1,0,0,0,0,1,0.75,0.75,0,0,7,1,0,0,1,OCGT_F,0.8,1,1,5,5
OCGT_F_6,6,1,0,0,0,0,0,0,0,0,1,0,0,0,-1,-1,-1,0,0,0,58000,0,0,11000,0,0,4,0,10,natural_gas,0,384,103,0.22,1,1,1,1,0,0.25,0,1,1,0,0,0,0,1,0.75,0.75,0,0,2,0,0,0,1,OCGT_F,0.93,0,0,6,6
CCGT_CCS_1,1,1,0,0,0,0,0,0,1,0,1,0,0,0,-1,-1,-1,0,0,0,142000,0,0,27000,0,0,6,0,8,natural_gas_ccs,0.9,400,94.8,10.992,4,4,1,1,0,0.5,0,1,1,0,0,0,0,1,0.5,0.67,0,0,6,0,1,0,1,CCGT_CCS,0.8,1,1,1,1
CCGT_CCS_2,2,1,0,0,0,0,0,0,1,0,1,0,0,0,-1,-1,-1,0,0,0,142000,0,0,27000,0,0,6,0,8,natural_gas_ccs,0.9,400,94.8,10.992,4,4,1,1,0,0.5,0,1,1,0,0,0,0,1,0.5,0.67,0,0,7,0,0,0,1,CCGT_CCS,0.8,1,1,2,2
CCGT_CCS_3,3,1,0,0,0,0,0,0,1,0,1,0,0,0,-1,-1,-1,0,0,0,142000,0,0,27000,0,0,6,0,8,natural_gas_ccs,0.9,400,94.8,10.992,4,4,1,1,0,0.5,0,1,1,0,0,0,0,1,0.5,0.67,0,0,2,0,0,0,1,CCGT_CCS,0.93,0,0,3,3
CCGT_CCS_4,4,1,0,0,0,0,0,0,1,0,1,0,0,0,-1,-1,-1,0,0,0,142000,0,0,27000,0,0,6,0,8,natural_gas_ccs,0.9,400,94.8,10.992,4,4,1,1,0,0.5,0,1,1,0,0,0,0,1,0.5,0.67,0,0,6,0,0,0,1,CCGT_CCS,0.8,1,1,4,4
CCGT_CCS_5,5,1,0,0,0,0,0,0,1,0,1,0,0,0,-1,-1,-1,0,0,0,142000,0,0,27000,0,0,6,0,8,natural_gas_ccs,0.9,400,94.8,10.992,4,4,1,1,0,0.5,0,1,1,0,0,0,0,1,0.5,0.67,0,0,12,0,0,1,0,CCGT_CCS,0.95,0,0,5,5
CCGT_CCS_6,6,1,0,0,0,0,0,0,1,0,1,0,0,0,-1,-1,-1,0,0,0,142000,0,0,27000,0,0,6,0,8,natural_gas_ccs,0.9,400,94.8,10.992,4,4,1,1,0,0.5,0,1,1,0,0,0,0,1,0.5,0.67,0,0,12,0,0,1,0,CCGT_CCS,0.95,0,0,6,6
Wind_offshore_2,2,0,0,0,0,0,1,0,0,1,1,0,0,0,-1,-1,-1,0,0,0,148000,0,0,59000,0,0,0,0,0,none,0,1,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,12,0,0,1,0,Wind_offshore,0.95,0,0,2,2
Wind_offshore_4,4,0,0,0,0,0,1,0,0,1,1,0,0,0,-1,-1,-1,0,0,0,148000,0,0,59000,0,0,0,0,0,none,0,1,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,2,0,0,0,1,Wind_offshore,0.93,0,0,4,4
PHS_1,1,0,0,1,0,0,0,0,0,0,-1,0,0,0,1000,-1,-1,0,0,0,114000,0,0,41000,0,0,0,0,0,none,0,1,0,0,0,0,1,1,12.00000005,0,0,0.894427191,0.894427191,12,12,0,0,1,1,1,0,0,7,1,0,0,1,PHS,0.8,1,1,1,1
PHS_2,2,0,0,1,0,0,0,0,0,0,-1,1540,0,0,1700,-1,-1,0,0,0,256600,0,0,41000,0,0,0,0,0,none,0,1,0,0,0,0,1,1,12.00000005,0,0,0.894427191,0.894427191,12,12,0,0,1,1,1,0,0,2,0,0,0,1,PHS,0.93,0,0,2,2
PHS_3,3,0,0,1,0,0,0,0,0,0,0,31,0,0,31,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,none,0,1,0,0,0,0,1,1,12.00000005,0,0,0.894427191,0.894427191,12,12,0,0,1,1,1,0,0,6,0,1,0,1,PHS,0.8,1,1,3,3
