Resource,MA_natural_gas_combined_cycle,MA_solar_pv,CT_natural_gas_combined_cycle,CT_onshore_wind,CT_solar_pv,ME_natural_gas_combined_cycle,ME_onshore_wind,MA_battery,CT_battery,ME_battery,Total
Zone,1,1,2,2,2,3,3,1,2,3,0
AnnualSum,0.0,4.832581e-5,0.0,0.00010331102,4.5915127e-5,0.0,0.00015331715,0.0,0.0,0.0,0.00035086912
t1,8051.220777081753,0.0,2290.923191916898,2.797815810565392e-8,0.0,113.84163569240883,3.414183352159899e-8,6.421893673505997e-7,6.416581050652701e-7,6.413706254732636e-7,10455.985606678396
t2,8363.64722422501,0.0,2369.6997922950072,2.9238689144558585e-8,0.0,113.84163567611695,3.350538767697603e-8,6.461312740883863e-7,6.463291084487098e-7,6.446605477774304e-7,10847.188654195998
t3,8489.189762209151,0.0,2367.8031793122477,2.8980032233036825e-8,0.0,113.84163563953264,3.3545723372077224e-8,6.498050360933555e-7,6.516472907309394e-7,6.47970184427957e-7,10970.834579172879
t4,8463.183420133595,0.0,2297.4731158232275,2.884933791275639e-8,0.0,113.84163566824331,3.490182304800326e-8,6.544159093227895e-7,6.559436628922847e-7,6.566016111783001e-7,10874.498173655778
t5,8201.057070951887,0.0,2144.283224455456,2.683098602655104e-8,0.0,113.84163565247665,3.378512871173817e-8,6.596868109747736e-7,6.63338481531214e-7,6.576746408444006e-7,10459.181933101134
t6,7351.96309029787,0.0,1886.4742799133073,2.2593404108520378e-8,0.0,113.84163561031181,3.5076158618052605e-8,6.41020302617874e-7,6.521942059856946e-7,6.376209303621644e-7,9352.279007809995
t7,5855.517618097512,0.0,1490.1225953367762,2.4578886597763024e-8,0.0,113.84163574204155,3.4946302227580506e-8,6.441137954317244e-7,6.487160034589219e-7,6.458775872017854e-7,7459.481851174563
t8,5120.293621128341,1.6826026020798424e-10,1294.4976324546083,2.607443131638425e-8,0.0,113.8416357391168,3.332395554533054e-8,6.447431015341056e-7,6.495947512547393e-7,6.473792257422071e-7,6528.632891323351
t9,5043.05755205049,1.0511768676323294e-8,1276.5886067578508,2.1596600538032148e-8,9.77078087391593e-9,113.84163573222256,3.22788173278703e-8,6.569399863943775e-7,6.5550636428711e-7,6.501933789239043e-7,6433.48779657736
t10,5032.946583978684,1.575888218290363e-8,1272.4985846741438,1.4072120810363584e-8,1.51415566219983e-8,113.84163571743524,3.3518709189021385e-8,6.595524080110697e-7,6.624364309930384e-7,6.551010382809937e-7,6419.286806425845
t11,5018.602393424988,1.8192660094281398e-8,1267.691882100536,2.216608287522141e-8,1.7477486754194994e-8,113.84163576050669,3.181375291906603e-8,6.406052398168471e-7,6.417533182946118e-7,6.395240821187854e-7,6400.135913297563
