,Generation,H2-G2P,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,HSC_Consumption,Demand,Generation,H2-G2P,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,HSC_Consumption,Demand,Generation,H2-G2P,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,HSC_Consumption,Demand
t15,11431.845089145527,2.5748372717518223e-9,1.267264673520162e-7,-1.754181956839757e-7,0,-0.0,0.0,0.0,-1424.2259823771924,-13.995759892629305,-2.136239104944859e-7,-9993.623346615967,3553.6573076480627,9.997801842186536e-10,1.2767371483482276e-7,-1.7323945000478367e-7,0,-0.0,0.0,0.0,4.706639210499507e-7,-7.756726036935323e-8,-698.9577955700559,-2854.6995124267705,102.58733256098337,9.341438374974467e-10,1.287678198835066e-7,-1.7153673027234736e-7,0,-0.0,0.0,0.0,1424.2259819065284,-13.995759815062044,-150.89851087579646,-1361.9190437331242
t16,11444.67362658824,2.5717269000753107e-9,1.4107688616588798e-7,-1.6040994304088355e-7,0,-0.0,0.0,0.0,-1428.984776437675,-14.042524196665957,-2.1702075512624804e-7,-10001.646325720125,3538.975673965567,1.0018314023161637e-9,1.452822428607894e-7,-1.5359149954735894e-7,0,-0.0,0.0,0.0,4.5557022567417916e-7,-7.799518561971793e-8,-682.2700484077284,-2856.705625928125,102.58733260094732,9.414808734483494e-10,1.4691263184713814e-7,-1.5126025010584418e-7,0,-0.0,0.0,0.0,1428.9847759821048,-14.042524118670771,-154.6076548345924,-1362.9219296268893
t17,11835.486347092105,2.6189907513802308e-9,1.3724862908580281e-7,-1.6367403671784103e-7,0,-0.0,1.1709678763491186e-10,0.0,-1474.3634625865718,-14.48845706994349,-2.1300528517775484e-7,-10346.63442719889,3645.332405821815,9.994380048534105e-10,1.4023133721952633e-7,-1.573803406642148e-7,0,-0.0,0.0,0.0,8.321890731931217e-7,-7.932618615247122e-8,-690.327219063622,-2955.0051874944716,102.58733262541627,9.411920181102087e-10,1.404890617500885e-7,-1.5651969868929333e-7,0,-0.0,0.0,0.0,1474.3634617543828,-14.488456990617303,-151.40188484431116,-1411.0604525276185
t18,12863.454177776492,2.606208407865781e-9,1.4353095831913215e-7,-1.5452127512444682e-7,0,-0.0,2.02607551381397e-10,1.8726030865944867e-11,-1588.5948768073147,-15.61100044176104,-2.2246804223995638e-7,-11259.248300296784,3922.354410825328,9.923496581094462e-10,1.3993246846604202e-7,-1.5551574753282159e-7,0,-0.0,0.0,0.0,9.363783801304744e-7,-8.333630947133451e-8,-706.5544689941088,-3215.799942670494,102.58733262902767,9.30934180515754e-10,1.3784749887178916e-7,-1.5816589210956842e-7,0,-0.0,0.0,0.0,1588.5948758709362,-15.61100035842473,-141.15579066034618,-1534.4154174607365
t19,13131.586501423533,2.6184139130731833e-9,1.367132680604215e-7,-1.5930982469954504e-7,0,-0.0,2.024195510188996e-10,1.854165729477268e-11,-1628.6812427118834,-16.00492609384531,-2.2080004508266075e-7,-11486.900332377249,4014.6601640225167,9.953583166100022e-10,1.3498077327019918e-7,-1.6025609587202183e-7,0,-0.0,0.0,0.0,8.053628475329213e-7,-8.269306050564598e-8,-733.6615332560409,-3280.9986314645,102.58733260829759,9.318579099002455e-10,1.3242901354872276e-7,-1.651040128226582e-7,0,-0.0,0.0,0.0,1628.6812419065207,-16.00492601115225,-149.75876830402706,-1565.5048801674573
t20,12939.522890967472,2.6390778466734763e-9,1.3174032068082662e-7,-1.6626939192583092e-7,0,-0.0,2.0297140118455092e-10,1.8620438551079706e-11,-1667.8957954654927,-16.390284504865473,-2.20728784063766e-7,-11255.236810744706,3936.2643686839306,9.893913791716311e-10,1.286041736858594e-7,-1.7083356688600294e-7,0,-0.0,0.0,0.0,3.2166777854538464e-7,-7.965643817353033e-8,-721.4674829655571,-3214.796885919817,102.5873326090609,9.951043337234593e-10,1.2820937539534838e-7,-1.7160482704991683e-7,0,-0.0,0.0,0.0,1667.895795143825,-16.390284425209035,-219.67742582452723,-1534.4154174607365
t21,12483.249643095243,2.6379236108713137e-9,1.4864019146287314e-7,-1.4938572458368912e-7,0,-0.0,2.0603430158840323e-10,1.865430178727912e-11,-1622.2459518504836,-15.941686982185336,-2.2002543840073845e-7,-10845.062004044663,3789.609009578222,9.77170566727132e-10,1.4675379011717817e-7,-1.512354412803498e-7,0,-0.0,0.0,0.0,3.821804829755698e-7,-7.918303280620662e-8,-692.1697637872146,-3097.439246090607,102.58733263106126,9.805220882065916e-10,1.4815338690155467e-7,-1.4867849146512782e-7,0,-0.0,0.0,0.0,1622.245951468303,-15.941686903002303,-230.63778978694157,-1478.253807409886
t22,11687.336642653632,2.617565323462972e-9,1.3672722357199467e-7,-1.5945601193878515e-7,0,-0.0,2.0953636121658788e-10,1.8579508312536267e-11,-1531.2436405353935,-15.047414228805305,-2.1469604959620394e-7,-10141.045587654857,3538.095700098039,9.873646227745477e-10,1.4281915503729648e-7,-1.5183411349587886e-7,0,-0.0,0.0,0.0,9.432726788880176e-7,-8.165227966497963e-8,-641.2678049957588,-2896.827895955205,102.58733264443711,9.84714658133407e-10,1.4041676385669978e-7,-1.5635719538819276e-7,0,-0.0,0.0,0.0,1531.2436395921209,-15.047414147153026,-236.80679646601962,-1381.976761608428
t23,10642.227338912107,2.6342999894038477e-9,1.3172920712392382e-7,-1.68441236960422e-7,0,-0.0,2.1123261145425362e-10,1.8670370175489797e-11,-1411.9549196648798,-13.875173096398651,-2.1624970080475242e-7,-9216.397245900725,3206.729616441592,9.775785839426449e-10,1.296624488786456e-7,-1.6905052620974862e-7,0,-0.0,0.0,0.0,5.095365511376675e-7,-7.950846024749752e-8,-573.7056463007357,-2633.0239705271515,102.58733259812213,9.902989401695898e-10,1.317440323659964e-7,-1.6775507206993412e-7,0,-0.0,0.0,0.0,1411.9549191553433,-13.87517301689019,-244.05105381377638,-1256.6160248877795
t24,9732.51678071846,2.6459572982868517e-9,1.2771996418640586e-7,-1.755322175191719e-7,0,-0.0,2.1291549887640644e-10,1.8769517178802695e-11,-1298.635744028216,-12.761594228542911,-2.1563323582891482e-7,-8421.11944220113,2930.489990177851,9.708583807260118e-10,1.1925914245611102e-7,-1.828645412096869e-7,0,-0.0,0.0,0.0,2.483826935002473e-7,-7.889049757023138e-8,-525.1599021489933,-2405.33008812347,102.58733263465862,1.010189580189294e-9,1.293833433208888e-7,-1.7207329690870287e-7,0,-0.0,0.0,0.0,1298.6357437798333,-12.761594149652414,-240.1571338620084,-1148.3043483611393
t25,8076.474372971067,9.72905431681996e-10,1.143132407244405e-7,-1.003794923222751e-7,0,-0.0,7.459958630656941e-11,7.372620530875691e-12,-1099.7159412202814,-10.8068244730784,-1.0806596491918865e-7,-6965.9516071845965,2591.0007656395387,4.098435363173459e-10,1.0782053509509892e-7,-1.0290116821835959e-7,0,-0.0,0.0,0.0,4.913724370866235e-7,-3.3708963440637034e-8,-601.9392295099773,-1989.061536592511,102.58733151861902,4.0149834892893196e-10,9.739327533465618e-8,-1.0942885243897474e-7,0,-0.0,0.0,0.0,1099.715940728909,-10.806824439369437,-241.76350640091377,-949.7329413956323
t26,7879.040139664208,9.955582965211467e-10,9.765862783074021e-8,-1.181069819092504e-7,0,-0.0,7.678524266009019e-11,7.471071982480065e-12,-1202.5219740565271,-11.428274696350863,-1.1329090355746965e-7,-6665.089890778697,2405.976798598221,4.056542314144694e-10,9.758613185287457e-8,-1.1335377571096956e-7,0,-0.0,0.0,0.0,105.82913926248241,-0.6511580873671289,-607.3530669734064,-1903.801712784965,102.58733135042257,4.0239312614421894e-10,9.262000806067621e-8,-1.1737917043810606e-7,0,-0.0,3.694027932918421e-11,0.0,1096.6928347940448,-10.777116608983734,-279.88842975987643,-908.6146197512596
t27,7879.0401394847995,9.990947031052618e-10,8.976816457574026e-8,-1.3106453260843987e-7,0,-0.0,7.644222487464686e-11,7.487820570833138e-12,-1348.1273630705416,-12.24225413004531,-1.16136994874257e-7,-6518.670522127825,2220.5158386144717,4.04312075606211e-10,9.734090687151837e-8,-1.1402626672488697e-7,0,-0.0,3.929538382769515e-11,0.0,273.7313563843655,-1.6842467447875247,-630.8896189814529,-1861.6733292565307,102.58733133972362,4.0183691993954014e-10,8.575862283232475e-8,-1.256897775390347e-7,0,-0.0,3.685412373992054e-11,0.0,1074.3960066861762,-10.558007385257786,-277.8684287251998,-888.5569018759559
t28,7879.040139467126,1.001809569712144e-9,9.012170564262965e-8,-1.3064634482155633e-7,0,-0.0,7.679183024437491e-11,7.488065952169856e-12,-1359.1382064296008,-12.263007021209646,-1.1727700571790272e-7,-6507.638925859609,2229.0531020310423,4.0288291650883706e-10,9.62528601047468e-8,-1.1559245635564806e-7,0,-0.0,5.540932215810716e-11,0.0,297.5336715263292,-1.8307004500204744,-666.0919140835556,-1858.6641590044997,102.58733135813443,4.017128512605065e-10,8.66949882971121e-8,-1.2988374753973674e-7,0,-0.0,0.0,0.0,1061.6045349032715,-10.432306571189171,-267.2084295590111,-886.5511300884255
t29,7879.040139534949,1.0129563614969255e-9,8.591283654252158e-8,-1.4080949305909793e-7,0,-0.0,7.768529958659205e-11,7.501626746854646e-12,-1178.7155468779981,-11.165764392588924,-1.1947054779899657e-7,-6689.158828091169,2508.139658639998,4.0397676037165517e-10,9.490936810733745e-8,-1.1673894837976471e-7,0,-0.0,6.979453583822067e-11,7.41575684044163e-12,113.60440516820523,-0.6989986654254214,-710.221955081373,-1910.8231100397043,102.5873314456955,4.0666826378352103e-10,9.460768640400889e-8,-1.1383305137928069e-7,0,-0.0,0.0,0.0,1065.111141709793,-10.466765727163503,-245.6084299769787,-911.6232774325551
t30,8515.787179421997,1.0125333939869632e-9,1.0897986864732129e-7,-1.0955610719083516e-7,0,-0.0,7.696340174346262e-11,7.444339408145501e-12,-1132.542843043515,-11.129411928935292,-1.1752434926534874e-7,-7372.114924332561,2840.368975110912,4.039702163838384e-10,1.0122786335464551e-7,-1.1006257875095808e-7,0,-0.0,3.9687425915876663e-11,0.0,1.3399667370102946e-7,-3.2996847867712504e-8,-734.9528555322911,-2105.4161196710443,102.58733161579113,4.0573871109031445e-10,1.070096109236007e-7,-9.769714497045789e-8,0,-0.0,0.0,0.0,1132.5428429095182,-11.129411895938444,-219.1090970863817,-1004.8916655527175
t31,9999.66639013063,9.981972367644688e-10,1.0037870592076853e-7,-1.176864551031246e-7,0,-0.0,7.996009864568154e-11,7.455781027040775e-12,-1266.2448128238116,-12.443290959005047,-1.1257557210279504e-7,-8720.978286219011,3232.8950484907127,4.052017833858125e-10,1.0186306252388023e-7,-1.0832384990748257e-7,0,-0.0,4.0391248100262974e-11,0.0,9.218884834194417e-8,-3.3276795311320334e-8,-741.3020798618267,-2491.592968681693,102.58733151196435,3.735871675833157e-10,9.380485940515832e-8,-1.1314035113481277e-7,0,-0.0,0.0,0.0,1266.2448127316227,-12.443290925728252,-166.96618329338622,-1189.4226700055121
t32,10959.43113634363,9.97015623135826e-10,1.022196671142291e-7,-1.1490691707489518e-7,0,-0.0,0.0,0.0,-1369.54429593974,-13.458407082098082,-1.1031955069198389e-7,-9576.428433199786,3476.9041716828137,4.0443338906988707e-10,9.329532112655015e-8,-1.1800303145570932e-7,0,-0.0,0.0,0.0,-3.5591689268486354e-7,-3.292519280363125e-8,-741.5684121732171,-2735.3357590962064,102.58733148952608,3.7509419477248446e-10,9.548866868354946e-8,-1.1332479892460522e-7,0,-0.0,0.0,0.0,1369.544296295657,-13.458407049172889,-152.91578703628042,-1305.7574336822738
t33,11187.326622638888,9.535830011642245e-10,9.884912119844214e-8,-1.1543432454751926e-7,0,-0.0,0.0,0.0,-1399.5787752732344,-13.753553611812972,-9.85434646605767e-8,-9773.99429363966,3527.4253345906727,4.0504760275415547e-10,9.036563563355647e-8,-1.239564250149389e-7,0,-0.0,0.0,0.0,-3.811998253838867e-7,-3.2236521814073925e-8,-735.9183970108,-2791.506937134119,102.58733156459984,3.7933700772103203e-10,9.785252780246938e-8,-1.0597601395437536e-7,0,-0.0,0.0,0.0,1399.5787756544344,-13.753553579576451,-156.58008671155395,-1331.8324669201686
t34,11285.166069023431,9.005951526530258e-10,9.716526903958984e-8,-1.1368278252169626e-7,0,-0.0,0.0,0.0,-1409.0721607477797,-13.846844383028039,-9.161616499575358e-8,-9862.247063785391,3558.8409167202253,4.0891138581033214e-10,9.273097745527705e-8,-1.2212453386986924e-7,0,-0.0,0.0,0.0,-1.0177921009581022e-7,-3.319539815790907e-8,-741.25450390471,-2817.5864126517213,102.58733155402767,3.7988370857996965e-10,9.315923485036205e-8,-1.1085378654056712e-7,0,-0.0,0.0,0.0,1409.072160849559,-13.84684434983264,-152.9426644973189,-1344.869983539116
t35,11377.444035085637,8.952264908430018e-10,1.090468870032446e-7,-1.028736843208222e-7,0,-0.0,0.0,0.0,-1421.9962045889297,-13.97384797256413,-9.22630357103563e-8,-9941.473982438943,3581.3586887680576,4.0802956991466974e-10,1.0155257690019032e-7,-1.103873492607017e-7,0,-0.0,0.0,0.0,-2.7841154196335005e-8,-3.338374201041475e-8,-741.7050275316928,-2839.6536611666156,102.58733152502504,3.769454100473498e-10,1.0329736511105894e-7,-1.0184386362709645e-7,0,-0.0,0.0,0.0,1421.996204616771,-13.973847939180388,-154.70795983391656,-1355.9017283705332
t36,11330.654460883683,9.089464514476468e-10,1.016691571293174e-7,-1.086395841469355e-7,0,-0.0,0.0,0.0,-1419.358931724681,-13.947931695141653,-9.171271974510752e-8,-9897.347597366079,3566.024412124032,4.075499401611916e-10,9.918643636211449e-8,-1.1267615861500124e-7,0,-0.0,0.0,0.0,-1.9580664553661883e-7,-3.2874122902573116e-8,-738.4074317238272,-2827.6169801584915,102.5873315149481,3.759873847129993e-10,9.563835420547537e-8,-1.1033076680987238e-7,0,-0.0,3.785751948495551e-11,0.0,1419.3589319204877,-13.94793166226753,-158.113918750931,-1349.884413007942
t37,11196.183754553884,9.005204799039916e-10,9.952344806346846e-8,-1.1077477772342835e-7,0,-0.0,0.0,0.0,-1407.356602695724,-13.829985725753993,-9.437087012550286e-8,-9774.997166027679,3518.151337228287,4.079737926460119e-10,9.640766680875523e-8,-1.1558978557227262e-7,0,-0.0,0.0,0.0,-1.7148430685170306e-7,-3.2948858028202075e-8,-725.6413431219714,-2792.509993884796,102.58733152525564,3.765664448105982e-10,9.404687525731331e-8,-1.1098217571808884e-7,0,-0.0,3.7871225217449204e-11,0.0,1407.3566028672083,-13.829985692805135,-164.28148176299655,-1331.8324669201686
t38,11103.019525070598,9.010512677335757e-10,9.735758401391763e-8,-1.1297174933413441e-7,0,-0.0,0.0,0.0,-1399.5135987895792,-13.752913126287078,-9.400400349791771e-8,-9689.753013046007,3484.381523628967,4.0786686215383375e-10,9.353919165795565e-8,-1.1925930493899766e-7,0,-0.0,0.0,0.0,-1.765910450932153e-7,-3.2781127813850304e-8,-715.9448915261372,-2768.436631868548,102.58733153606742,3.7677255474791747e-10,9.161358872483083e-8,-1.140982034503287e-7,0,-0.0,3.7853905761395594e-11,0.0,1399.5135989661703,-13.752913093505951,-166.54440940419897,-1321.8036079825167
t39,10906.856942164366,9.155178877310577e-10,9.498681004423059e-8,-1.166338872364265e-7,0,-0.0,0.0,0.0,-1382.0340709292504,-13.581143143445948,-9.242704204721377e-8,-9511.241727978508,3411.026656293507,4.102299980373676e-10,9.400962409151806e-8,-1.1674602987880725e-7,0,-0.0,0.0,0.0,-2.3671008035761385e-7,-3.23383365779378e-8,-693.7459184188622,-2717.2807375840202,102.58733153885392,3.765535141342563e-10,8.795679211842099e-8,-1.1947609748231412e-7,0,-0.0,3.7850079338105375e-11,0.0,1382.0340711659605,-13.581143111107611,-174.3087989242109,-1296.731460638387
t40,10802.760433418418,9.32051153385116e-10,1.0461825647820781e-7,-1.0741139827190508e-7,0,-0.0,0.0,0.0,-1372.3031912803897,-13.485518534467621,-9.704378871514059e-8,-9416.97172350466,3365.6203887564925,4.09278621962027e-10,1.0274618779405624e-7,-1.0793383766103687e-7,0,-0.0,0.0,0.0,-3.8280912162376937e-7,-3.1798031539250514e-8,-675.4221830218236,-2690.198205315741,102.5873315236792,3.764971675694766e-10,9.936962744943518e-8,-1.0679941292117018e-7,0,-0.0,3.7909020273515985e-11,0.0,1372.3031916631987,-13.48551850266959,-177.71106065774126,-1283.6939440194396
t41,10875.717676197175,9.793955022594428e-10,1.0098778800845572e-7,-1.1151576912718668e-7,0,-0.0,0.0,0.0,-1379.0049982870712,-13.551376679682809,-1.0692448679705803e-7,-9483.161301113956,3392.510259061677,4.073651962622543e-10,1.0021251447844032e-7,-1.1035736490877201e-7,0,-0.0,0.0,0.0,-4.266990705501118e-7,-3.1929382941833474e-8,-684.2570317652013,-2708.253226827927,102.5873315157773,3.7722740517341575e-10,9.822503512838853e-8,-1.0839916760618597e-7,0,-0.0,3.783544585807039e-11,0.0,1379.0049987137702,-13.551376647753425,-175.32103650874572,-1292.7199170633264
