Resource,MA_natural_gas_combined_cycle,MA_solar_pv,CT_natural_gas_combined_cycle,CT_onshore_wind,CT_solar_pv,ME_natural_gas_combined_cycle,ME_onshore_wind,MA_battery,CT_battery,ME_battery,Total
Zone,1,1,2,2,2,3,3,1,2,3,0
AnnualSum,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0011872075,0.0011777253,0.0011684826,0.0035334155
t1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5521924060364402e-7,1.5299518570747046e-7,1.557850894140022e-7,4.6399951572511665e-7
t2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.579478389621427e-7,1.5428278165530427e-7,1.5916357780662678e-7,4.7139419842407374e-7
t3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6105591670448712e-7,1.594270383888628e-7,1.6238584333553063e-7,4.828687984288805e-7
t4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6701291800391142e-7,1.6470537665519955e-7,1.7367252051391554e-7,5.053908151730265e-7
t5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7545692195617972e-7,1.765971679118178e-7,1.7701688003485103e-7,5.290709699028486e-7
t6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5299948615129292e-7,1.6071772017528247e-7,1.5376885830008047e-7,4.6748606462665586e-7
t7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5509414893954692e-7,1.6010596070674783e-7,1.6108187563714375e-7,4.762819852834385e-7
t8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5562067813705934e-7,1.579086755422393e-7,1.6176565580064044e-7,4.7529500947993906e-7
t9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6983642759693353e-7,1.646655060460193e-7,1.6387272184641196e-7,4.983746554893647e-7
t10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.736164037543971e-7,1.7417680979973315e-7,1.6898079523816218e-7,5.167740087922924e-7
t11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.514368910666836e-7,1.5183333467393314e-7,1.5247384765332453e-7,4.5574407339394124e-7
t12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5690800697327483e-7,1.5461798239618508e-7,1.547339019900246e-7,4.6625989135948456e-7
t13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6029373637107038e-7,1.6075771942356687e-7,1.6212184876123593e-7,4.831733045558732e-7
t14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6508971518568267e-7,1.6784403969986697e-7,1.6691346589457452e-7,4.998472207801242e-7
t15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.754181956839757e-7,1.7323945000478367e-7,1.7153673027234736e-7,5.201943759611067e-7
t16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6040994304088355e-7,1.5359149954735894e-7,1.5126025010584418e-7,4.6526169269408666e-7
t17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6367403671784103e-7,1.573803406642148e-7,1.5651969868929333e-7,4.775740760713492e-7
t18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5452127512444682e-7,1.5551574753282159e-7,1.5816589210956842e-7,4.6820291476683683e-7
t19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5930982469954504e-7,1.6025609587202183e-7,1.651040128226582e-7,4.846699333942251e-7
t20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6626939192583092e-7,1.7083356688600294e-7,1.7160482704991683e-7,5.087077858617506e-7
t21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4938572458368912e-7,1.512354412803498e-7,1.4867849146512782e-7,4.4929965732916675e-7
t22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5945601193878515e-7,1.5183411349587886e-7,1.5635719538819276e-7,4.676473208228568e-7
t23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.68441236960422e-7,1.6905052620974862e-7,1.6775507206993412e-7,5.052468352401047e-7
t24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.755322175191719e-7,1.828645412096869e-7,1.7207329690870287e-7,5.304700556375616e-7
t25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.003794923222751e-7,1.0290116821835959e-7,1.0942885243897474e-7,3.127095129796094e-7
t26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.181069819092504e-7,1.1335377571096956e-7,1.1737917043810606e-7,3.48839928058326e-7
t27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3106453260843987e-7,1.1402626672488697e-7,1.256897775390347e-7,3.707805768723615e-7
t28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3064634482155633e-7,1.1559245635564806e-7,1.2988374753973674e-7,3.761225487169411e-7
t29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4080949305909793e-7,1.1673894837976471e-7,1.1383305137928069e-7,3.7138149281814335e-7
