Zone,1,2,3,Total
CO2_Price_1,0.0,0.0,0.0,0.0
AnnualSum,3.021412201659697e7,9.290312689735401e6,291105.88045525,3.979554058678762e7
t1,2788.675012277704,845.388212976581,32.56737455547173,3666.630599809757
t2,2689.492112367606,820.3797934205464,32.56737456064375,3542.439280348796
t3,2649.63737825916,820.9818921780533,32.567374572257805,3503.1866450094712
t4,2657.893351614466,843.3088741332776,32.56737456314332,3533.769600310887
t5,2741.1079824256913,891.9405370468903,32.5673745681486,3665.6158940407304
t6,3010.6613575241154,973.7845645812408,32.567374581534246,4017.0132966868905
t7,3485.722937128841,1099.6103703669064,32.567374539715324,4617.9006820354625
t8,3719.1271472066737,1161.7134710834794,32.56737454064382,4913.4079928307965
t9,3743.6465096961283,1167.398870381172,32.56737454283246,4943.612754620132
t10,3746.8563376202037,1168.6972887918657,32.567374547526846,4948.121000959596
t11,3751.4100443533803,1170.223224590883,32.56737453385338,4954.200643478117
t12,3738.5940187488327,1166.4696239331852,32.56737453664309,4937.631017218661
t13,3701.089060567218,1154.7333481122384,32.567374532805275,4888.389783212261
t14,3672.7480843001154,1145.586002880915,32.56737453108442,4850.901461712115
t15,3629.1535419894894,1128.1440488457051,32.5673745361256,4789.86496537132
t16,3633.226089489075,1123.4832174208934,32.567374541457575,4789.276681451426
t17,3757.2934957437956,1157.2472255204646,32.56737454747054,4947.108095811731
t18,4083.6321632769245,1245.190631231573,32.56737454772604,5361.390169056223
t19,4168.753450741914,1274.4940156458792,32.56737454524304,5475.814840933036
t20,4107.780936966533,1249.6064864653904,32.567374545486636,5389.95479797741
t21,3962.9324316970155,1203.0492761642302,32.56737455018216,5198.549082411428
t22,3710.2618905768218,1123.2038609283588,32.567374554517016,4866.033126059698
t23,3378.481491011037,1018.0083840176804,32.567374549309505,4429.057249578027
t24,3089.6847772068822,930.3133522686237,32.56737456114378,4052.56550403665
t25,2563.9575544433947,822.5391030432767,32.56737425292761,3419.0640317395987
t26,2501.280082737799,763.801394477648,32.5673742025308,3297.648851417978
t27,2501.2800826808443,704.9249581235194,32.5673741978151,3238.772415002179
t28,2501.2800826752336,707.6351977699136,32.56737419619046,3241.482654641338
t29,2501.2800826967646,796.2340160311905,32.56737421704332,3330.0814729449985
t30,2703.421797979307,901.7035348358174,32.56737427192791,3637.692707087052
t31,3174.494092210869,1026.314862091514,32.567374243221536,4233.376328545605
t32,3479.181008540976,1103.7779983388202,32.567374241079996,4615.526381120876
t33,3551.5287096152965,1119.8164467117415,32.567374249690154,4703.912530576728
t34,3582.588820260839,1129.789637411506,32.56737425036138,4744.945831922706
t35,3611.8833833650656,1136.9381293244396,32.567374247862716,4781.388886937368
t36,3597.0295651388046,1132.0701098598206,32.56737425607021,4761.6670492546955
t37,3554.340494706966,1116.872323502078,32.56737425856624,4703.78019246761
t38,3524.764578414609,1106.1517584746948,32.56737426119272,4663.483711150497
t39,3462.4908048464154,1082.8645222883933,32.567374264458216,4577.922701399267
t40,3429.4443271823975,1068.4498485982606,32.56737426018446,4530.461550040843
t41,3452.605333479351,1076.986306828478,32.56737425599153,4562.15901456382
t42,3536.087329722905,1104.7569422070455,32.56737425000195,4673.411646179953
t43,3649.17568540924,1146.3204427479104,32.56737424919567,4828.063502406346
t44,3819.094689690877,1181.1084354757543,32.56737425402319,5032.770499420654
t45,3725.3731979667623,1149.7331340542046,32.56737423828153,4907.673706259248
t46,3505.254007023586,1084.5010964064934,32.56737425175492,4622.322477681834
t47,3176.6419154204973,989.4574813346329,32.56737425994237,4198.666771015072
t48,2867.048583962326,903.2155577138177,32.56737426500925,3802.831515941153
t49,2501.2800828979694,713.1578044434824,32.56737425854899,3247.0052616000007
t50,2501.2800828593968,589.6853756386914,32.56737426047051,3123.5328327585585
t51,2501.280082858738,554.9205733844374,32.56737426376879,3088.768030506944
t52,2501.2800828510253,550.3420592326513,32.56737426037745,3084.189516344054
t53,2501.2800828678146,621.3244106597094,32.567374261807366,3155.1718677893314
t54,2589.152022552694,834.0297344750314,32.56737433928798,3455.7491313670134
t55,3052.852995369598,974.4961597812344,32.567374321977844,4059.91652947281
t56,3321.8791743174856,1054.339243051473,32.567374315090476,4408.7857916840485
t57,3366.6407506833,1073.4771618041068,32.56737431170646,4472.685286799114
t58,3392.1460279797743,1080.873911404313,32.5673743172619,4505.58731370135
t59,3439.783234522913,1092.0205623862457,32.567374326253145,4564.371171235412
t60,3469.7994207829747,1097.4288481161336,32.567374330584975,4599.795643229693
t61,3484.113792610691,1096.3414454212962,32.56737432529744,4613.022612357285
t62,3511.338051446046,1099.4020665245382,32.567374319294814,4643.307492289879
