Resource,MA_natural_gas_combined_cycle,MA_solar_pv,CT_natural_gas_combined_cycle,CT_onshore_wind,CT_solar_pv,ME_natural_gas_combined_cycle,ME_onshore_wind,MA_battery,CT_battery,ME_battery
Zone,1,1,2,2,2,3,3,1,2,3
t1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.217063467732035e-7,7.153039177516243e-7,7.384581665147184e-7
t2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.136269730526609e-7,7.008402664822848e-7,7.314823005129629e-7
t3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.124002367077768e-7,6.968899506054356e-7,7.310683362216579e-7
t4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.216657602860086e-7,7.024656756742088e-7,7.504201005326662e-7
t5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.444290084263969e-7,7.270196950457333e-7,7.740150121965225e-7
t6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.262417326296594e-7,7.248512795153849e-7,7.54424232470655e-7
t7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.133440525050902e-7,7.18339404071553e-7,7.505360694124232e-7
t8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.016147938963793e-7,7.107611732060275e-7,7.489091861914651e-7
t9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.162215083345262e-7,7.15824892743513e-7,7.522796658866356e-7
t10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.371453895513356e-7,7.371716929365112e-7,7.656839854468785e-7
t11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.170693710582499e-7,7.154808517763533e-7,7.469704391397141e-7
t12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.085954302028604e-7,7.024467740527636e-7,7.341431369909142e-7
t13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.073927393756533e-7,7.017495523717942e-7,7.357640210570865e-7
t14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.150313978038851e-7,7.133347666166016e-7,7.455795165995347e-7
