Region,Resource,Zone,Cluster,AnnualSum
MA,MA_natural_gas_combined_cycle,1,1,2.6906877e9
MA,MA_solar_pv,1,1,0.0
CT,CT_natural_gas_combined_cycle,2,1,7.702569e8
CT,CT_onshore_wind,2,1,0.0
CT,CT_solar_pv,2,1,0.0
ME,ME_natural_gas_combined_cycle,3,1,0.0
ME,ME_onshore_wind,3,1,0.0
MA,MA_battery,1,0,0.0
CT,CT_battery,2,0,0.0
ME,ME_battery,3,0,5.556131e7
MA,MB_natural_gas_combined_cycle,4,1,1.8899621e9
MA,MC_natural_gas_combined_cycle,5,1,1.3018113e9
MA,MD_natural_gas_combined_cycle,6,1,1.4575832e9
MA,MF_natural_gas_combined_cycle,7,1,1.5643194e9
MA,MH_natural_gas_combined_cycle,8,1,1.404532e9
MA,MG_natural_gas_combined_cycle,9,1,1.5100901e9
MA,MJ_natural_gas_combined_cycle,10,1,1.5488645e9
ME,MB_battery,4,0,3.9855212e7
ME,MC_battery,5,0,0.0
ME,MD_battery,6,0,9.588247e7
ME,MF_battery,7,0,0.0
ME,MH_battery,8,0,1.6934331e8
ME,MG_battery,9,0,9.319924e7
ME,MJ_battery,10,0,4.13134e7
