Line,1,2,3,4,5,6,7,8,9,10,Total
Sum,-244812.16,2.932106e6,313169.97,-7.1077065e6,3.560898e6,672904.8,37306.906,2.6903605e6,-1.8623378e6,-1.817319e6,-825429.25
t1,0.0,100.91524285078827,1996.9428176153451,-2001.9999999999998,414.8209682325475,3173.804579946759,997.8339839349702,188.86481555435898,955.8222417588987,-2580.493146306032,3246.511503587636
t2,0.0,1711.291096923242,882.6893301239627,14.460826195895322,0.0,3173.804579946759,2156.033145766607,1486.3524522981515,611.4715311644316,2282.499246897687,12318.602209316738
t3,0.0,0.0,0.0,-1046.1200117502542,1499.6199691114525,0.0,248.97981849305395,1393.9664801316783,0.0,1089.68503784606,3186.13129383199
t4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1857.9532327086276,-1027.5507641983736,0.0,-2885.5039969070012
t5,0.0,0.0,0.0,564.5760200042499,0.0,0.0,0.0,10.157264122417367,-1605.5719216991201,-311.9118984757226,-1342.7505360481755
t6,-906.2406487715213,1996.711180568097,2453.0959436743788,-1461.6943399384606,970.2970426495203,-333.10071484250847,0.0,474.3231174882083,2335.3449102988016,657.6961155817645,6186.43260670828
t7,0.0,389.9850381545268,0.0,-2001.9999999999998,0.0,-257.2799144148333,0.0,1781.4567348299145,1144.9089134321841,-1057.8525209392324,-0.7817489374399429
t8,0.0,0.0,0.0,8.134762960846487,0.0,0.0,-1672.7113041564708,481.7527113598897,-1393.7472705455011,0.0,-2576.5711003812357
t9,0.0,913.0630773200845,-2453.0959436743788,-2001.9999999999998,1190.9964944820622,1246.05775551121,0.0,1587.2947337602013,1439.6805239169753,-567.1903819773655,1354.806259338789
t10,0.0,0.0,-1180.9737549666318,0.0,0.0,-1177.8255682945637,0.0,1344.6105044699527,-1522.3555412791795,2580.493146306032,43.94878623560999
t11,-1.0445960851579787,0.0,-0.10858299782403552,0.0,0.0,-389.15301966848114,0.0,1507.1886757475233,-1566.9290993523505,-64.46047813753408,-514.5071004938244
t12,54.99157546830097,0.0,-254.4400149120993,0.0,0.0,0.0,-130.83302477111997,0.0,-1593.460979157809,-2580.493146306032,-4504.235589678759
t13,85.65995409485353,0.0,-393.85708832534027,-1608.318831848866,0.0,-1810.1974726471806,289.8334324877621,-2227.50339818279,0.0,-2580.493146306032,-8244.876550727593
t14,106.73371241224939,-520.3407653142636,0.0,592.7361727678363,-37.70200771494066,-1411.7523750381397,-2010.2561377135833,-1868.2434223499313,-2728.1443551371895,-2580.493146306032,-10457.462324393993
t15,84.24996786894702,117.7423681244809,-618.6349043773994,-1475.231695395264,0.0,3022.7109194818654,2199.5877020976227,1866.192248139239,0.0,-495.3798558364175,4701.236750103073
t16,85.30749816641446,1908.1617740914382,-2453.0959436743788,-2001.9999999999998,838.3220476869801,-3173.804579946759,-535.147387245311,2195.519094611494,2271.048617058063,1244.2746491119017,378.58576985984314
t17,121.61598420874286,0.0,-556.689440170698,-1640.569561249458,0.0,0.0,-1761.058440578623,0.0,14.973126230458952,2264.04994489016,-1557.6783866694173
t18,59.92677102719819,-245.2198212987741,-146.89895119247092,-2001.9999999999998,453.3190122526834,-1278.2537589273961,-2755.707990291417,-2227.50339818279,167.2922315510024,-2580.493146306032,-10555.539051367996
