Line,New_Trans_Capacity,Cost_Trans_Capacity
1,0.0,0.0
2,0.0,0.0
3,452.09595561027527,8.707819938659668e6
4,0.0,0.0
5,12.378240004181862,238417.28270053864
6,1169.804573059082,2.2531606674194336e7
7,867.3756122589111,1.6706521987915039e7
8,221.5033918619156,4.266376972198486e6
9,721.1443781852722,1.3889961242675781e7
10,572.4931359291077,1.1026790618896484e7
