Resource,MA_natural_gas_combined_cycle,MA_solar_pv,CT_natural_gas_combined_cycle,CT_onshore_wind,CT_solar_pv,ME_natural_gas_combined_cycle,ME_onshore_wind,MA_battery,CT_battery,ME_battery,MB_natural_gas_combined_cycle,MC_natural_gas_combined_cycle,MD_natural_gas_combined_cycle,MF_natural_gas_combined_cycle,MH_natural_gas_combined_cycle,MG_natural_gas_combined_cycle,MJ_natural_gas_combined_cycle,MB_battery,MC_battery,MD_battery,MF_battery,MH_battery,MG_battery,MJ_battery
Zone,1,1,2,2,2,3,3,1,2,3,4,5,6,7,8,9,10,4,5,6,7,8,9,10
t1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,302.097662404357,0.0,0.0,0.0,0.0,0.0,0.0,0.0,176.65539658020165,0.0,671.5948217751125,0.0,2347.8691231991525,1066.8289028155536,397.36275814765986
t2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,302.097662404357,0.0,0.0,0.0,0.0,0.0,0.0,0.0,176.65539658020165,0.0,0.0,0.0,0.0,1066.8289028155536,397.36275814765986
t3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,302.097662404357,0.0,0.0,0.0,0.0,0.0,0.0,0.0,176.65539658020165,0.0,0.0,0.0,0.0,1066.8289028155536,397.36275814765986
t4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,302.097662404357,0.0,0.0,0.0,0.0,0.0,0.0,0.0,176.65539658020165,0.0,0.0,0.0,0.0,1066.8289028155536,397.36275814765986
t5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,302.097662404357,0.0,0.0,0.0,0.0,0.0,0.0,0.0,176.65539658020165,0.0,0.0,0.0,0.0,1066.8289028155536,397.36275814765986
t6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,302.097662404357,0.0,0.0,0.0,0.0,0.0,0.0,0.0,176.65539658020165,0.0,0.0,0.0,0.0,1066.8289028155536,107.1916166046436
t7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,302.097662404357,0.0,0.0,0.0,0.0,0.0,0.0,0.0,176.65539658020165,0.0,0.0,0.0,0.0,1066.8289028155536,107.1916166046436
t8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,302.097662404357,0.0,0.0,0.0,0.0,0.0,0.0,0.0,176.65539658020165,0.0,0.0,0.0,0.0,1066.8289028155536,107.1916166046436
t9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,302.097662404357,0.0,0.0,0.0,0.0,0.0,0.0,0.0,376.8938080941263,0.0,0.0,0.0,0.0,1066.8289028155536,107.1916166046436
t10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,302.097662404357,0.0,0.0,0.0,0.0,0.0,0.0,0.0,376.8938080941263,0.0,1484.040749094714,0.0,0.0,1066.8289028155536,107.1916166046436
t11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,302.097662404357,0.0,0.0,0.0,0.0,0.0,0.0,0.0,376.8938080941263,0.0,1484.040749094714,0.0,0.0,1066.8289028155536,107.1916166046436
t12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,302.097662404357,0.0,0.0,0.0,0.0,0.0,0.0,0.0,376.8938080941263,0.0,1484.040749094714,0.0,1528.2051379757784,1066.8289028155536,697.8620872698158
t13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,302.097662404357,0.0,0.0,0.0,0.0,0.0,0.0,0.0,376.8938080941263,0.0,1484.040749094714,0.0,1720.6887885050464,1066.8289028155536,697.8620872698158
t14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,302.097662404357,0.0,0.0,0.0,0.0,0.0,0.0,0.0,376.8938080941263,0.0,1484.040749094714,0.0,2133.0831487545247,1066.8289028155536,697.8620872698158
t15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,302.097662404357,0.0,0.0,0.0,0.0,0.0,0.0,0.0,376.8938080941263,0.0,1484.040749094714,0.0,493.33950374636316,901.1188521844257,547.5463946739126
t16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,302.097662404357,0.0,0.0,0.0,0.0,0.0,0.0,0.0,376.8938080941263,0.0,1484.040749094714,0.0,1301.1531669810004,662.6381578464021,547.5463946739126
t17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,302.097662404357,0.0,0.0,0.0,0.0,0.0,0.0,0.0,376.8938080941263,0.0,1484.040749094714,0.0,1914.1290483845328,662.6381578464021,547.5463946739126
t18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,302.097662404357,0.0,0.0,0.0,0.0,0.0,0.0,0.0,376.8938080941263,0.0,1484.040749094714,0.0,1914.1290483845328,546.1264072994708,547.5463946739126
t19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,302.097662404357,0.0,0.0,0.0,0.0,0.0,0.0,0.0,376.8938080941263,0.0,1484.040749094714,0.0,1914.1290483845328,546.1264072994708,547.5463946739126
t20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,302.097662404357,0.0,0.0,0.0,0.0,0.0,0.0,0.0,376.8938080941263,0.0,1484.040749094714,0.0,1914.1290483845328,546.1264072994708,547.5463946739126
t21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,302.097662404357,0.0,0.0,0.0,0.0,0.0,0.0,0.0,376.8938080941263,0.0,0.0,0.0,0.0,546.1264072994708,547.5463946739126
t22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,302.097662404357,0.0,0.0,0.0,0.0,0.0,0.0,0.0,376.8938080941263,0.0,0.0,0.0,0.0,546.1264072994708,547.5463946739126
t23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,302.097662404357,0.0,0.0,0.0,0.0,0.0,0.0,0.0,701.4876620480909,0.0,0.0,0.0,79.97422989371543,546.1264072994708,547.5463946739126
t24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,302.097662404357,0.0,0.0,0.0,0.0,0.0,0.0,0.0,701.4876620480909,0.0,0.0,0.0,760.8575548875041,1445.7934243517373,547.5463946739126
t25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,302.097662404357,0.0,0.0,0.0,0.0,0.0,0.0,0.0,701.4876620480909,0.0,0.0,0.0,302.3506170740551,1445.7934243517373,697.8620872698158
t26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,302.097662404357,0.0,0.0,0.0,0.0,0.0,0.0,0.0,701.4876620480909,0.0,0.0,0.0,1028.6420581287048,1445.7934243517373,697.8620872698158
t27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,302.097662404357,0.0,0.0,0.0,0.0,0.0,0.0,0.0,701.4876620480909,0.0,0.0,0.0,1184.1182884675952,1445.7934243517373,697.8620872698158
t28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,302.097662404357,0.0,0.0,0.0,0.0,0.0,0.0,0.0,701.4876620480909,0.0,0.0,0.0,809.9319243560248,1073.0142730689777,697.8620872698158
t29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,302.097662404357,0.0,0.0,0.0,0.0,0.0,0.0,0.0,701.4876620480909,0.0,0.0,0.0,8.556459620108205,1073.0142730689777,697.8620872698158
