Line,1,2,3,4,5,6,7,8,9,10,Total
Sum,4.7822475e6,8.968881e7,9.870822e7,1.7215803e8,1.3376534e8,1.8511506e8,1.8539429e8,1.868814e8,2.2520027e8,2.0710544e8,1.4887991e9
t1,0.0,1983.3727429572364,39247.6086051609,39347.001694,8152.827842034349,62377.46962217287,19611.27645165836,3711.9201885885914,18785.584098726406,50716.61748204736,243933.67872734606
t2,0.0,33633.453391391566,17348.241042788854,284.2108655477187,0.0,62377.46962217287,42374.345573825594,29212.543685542667,12017.76791836147,44859.890976142364,242107.9230757731
t3,0.0,0.0,0.0,20560.2826545777,29473.301431061212,0.0,4893.411258750253,27396.803923636544,0.0,21416.50301201567,103740.30228004137
t4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36515.928568810756,20195.325504287914,0.0,56711.254073098666
t5,0.0,0.0,0.0,11096.090717032466,0.0,0.0,0.0,199.6293150005802,31555.664896570488,6130.268730121385,48981.653658724914
t6,11152.049706556589,39243.05604607475,48212.77235329686,28727.916917916493,19070.069620786147,6546.71048510529,0.0,9322.27397967627,45898.51155924137,12926.258828138316,221099.61949679206
t7,0.0,7664.706272178232,0.0,39347.001694,0.0,5056.540074082228,0.0,35012.4781034667,22501.86461353239,20790.87159510397,130373.46235236354
t8,0.0,0.0,0.0,159.87938661374383,0.0,0.0,32875.21204706174,9468.294080902433,27392.495611968883,0.0,69895.8811265468
t9,0.0,17945.20202299811,48212.77235329686,39347.001694,23407.66288008679,24489.828479980726,0.0,31196.447841228728,28295.26074594407,11147.472987254698,224041.64900479
t10,0.0,0.0,23210.67749112967,0.0,0.0,23148.803511949405,0.0,26426.769129445267,29920.142887903177,50716.61748204736,153423.01050247488
t11,12.854629154792207,0.0,2.134073626034927,0.0,0.0,7648.353908152319,0.0,29622.05563327443,30796.18477851889,1266.8963748619396,69348.47939758841
t12,676.7173640861105,0.0,5000.725123760117,0.0,0.0,0.0,2571.3722513988014,0.0,31317.638284837765,50716.61748204736,90283.07050613016
t13,1054.1174325187503,0.0,7740.806953811723,31609.652248376337,0.0,35577.344167194366,5696.341937599304,43779.01097986464,0.0,50716.61748204736,176173.89120141248
t14,1313.447667350018,10226.697789349444,0.0,11649.54605094462,740.9894912222633,27746.36518088622,39509.26656143369,36718.17038162193,53618.53174977998,50716.61748204736,232239.6323546355
t15,1036.7663718504994,2314.0904885362247,12158.555759493038,28993.97803084912,0.0,59407.8979367259,43230.360160108256,36677.85691751464,0.0,9736.119893491006,193555.6255585687
t16,1049.7801673136953,37502.71955924169,48212.77235329686,39347.001694,16476.253261966613,62377.46962217287,10517.704871369095,43150.39637107282,44634.84204922075,24454.783579624,327723.7235292784
t17,1496.5864782673634,0.0,10941.089083630553,32243.503149653974,0.0,0.0,34611.573149190845,0.0,294.279532045127,44497.29121722963,124084.3226100175
t18,737.4490761970236,4819.512849173447,2887.129511197291,39347.001694,8909.462509005363,25122.603805133924,54160.26321786499,43779.01097986464,3287.9359231919734,50716.61748204736,233766.987047676
t19,26.02759092639186,455.44989608966995,738.0590994325249,39347.001694,31431.58636681679,29203.233153095956,5708.53590844092,35268.21715905704,9218.975792713323,11780.74416408346,163177.83082465606
t20,0.0,0.0,0.0,2245.1396582396605,0.0,2293.955102147396,32488.329831307346,9839.408867496728,27933.785556186664,31583.412799833117,106384.03181521091
t21,0.0,0.0,0.0,30616.3140574151,4959.016397180124,62377.46962217287,30550.345373861994,18458.553959196626,0.0,0.0,146961.69940982672
t22,0.0,0.0,0.0,22029.848034190898,0.0,0.0,0.0,15735.667250042894,7760.854088683417,38511.331316144955,84037.70068906216
