,Generation,H2-G2P,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,HSC_Consumption,Demand,Generation,H2-G2P,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,HSC_Consumption,Demand,Generation,H2-G2P,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,HSC_Consumption,Demand,Generation,H2-G2P,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,HSC_Consumption,Demand,Generation,H2-G2P,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,HSC_Consumption,Demand,Generation,H2-G2P,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,HSC_Consumption,Demand,Generation,H2-G2P,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,HSC_Consumption,Demand,Generation,H2-G2P,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,HSC_Consumption,Demand,Generation,H2-G2P,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,HSC_Consumption,Demand,Generation,H2-G2P,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,HSC_Consumption,Demand
Zone,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,6,6,6,6,6,6,6,6,6,6,6,6,7,7,7,7,7,7,7,7,7,7,7,7,8,8,8,8,8,8,8,8,8,8,8,8,9,9,9,9,9,9,9,9,9,9,9,9,10,10,10,10,10,10,10,10,10,10,10,10
AnnualSum,8.565388712858018e7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.000463717780591e6,-96589.6384186379,-62519.77238095232,-8.249431400000001e7,2.44891975014312e7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-244812.15612191477,-2391.1238697678755,-677918.2214395148,-2.3564076000000004e7,0.0,0.0,314007.63868823944,-370992.0116827026,0.0,0.0,0.0,0.0,1.1902150242725689e7,-243523.55391684297,-355423.31581438245,-1.1246218999999998e7,5.606885193220619e7,0.0,173290.11310953944,-204737.8463014407,0.0,0.0,0.0,0.0,-1.0668604740627391e7,-152961.69208225785,-25331.133074267393,-4.519050663323036e7,4.0174769472253904e7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.018482247650553e6,-312347.0412360835,-103961.97326598303,-4.477694270540238e7,4.453852032373517e7,0.0,529332.1261502262,-625392.3985706831,0.0,0.0,0.0,0.0,635597.884770177,-185254.67333075166,-176800.84393042367,-4.471600241882373e7,4.772559278082457e7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.6530535140338405e6,-186137.8436224896,-30994.590939032907,-4.4855406832229204e7,4.2749064846016936e7,0.0,2.245254522614059e6,-2.6527109199126395e6,0.0,0.0,0.0,0.0,2.6903604199202885e6,-93440.70191457863,-196813.60855982814,-4.474171455816425e7,4.661306359202752e7,0.0,795906.5832951808,-940343.3167476141,0.0,0.0,0.0,0.0,-1.862337691328942e6,-112600.13300261088,-290068.90501862083,-4.420362012922491e7,4.706153460932034e7,0.0,267265.4498692312,-315767.3084466342,0.0,0.0,0.0,0.0,-1.8173189751740275e6,-103552.72389634697,-29661.737381842864,-4.5062499314290725e7
t1,9701.774423686347,0,0.0,-0.0,0.0,-0.0,0.0,0.0,-2097.8580604661333,-20.615490674059064,-19.05295370370368,-7564.2479188424495,2342.051289210969,0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-181.14717935431116,-2160.904109856658,0.0,0,0.0,-0.0,0.0,-0.0,0.0,0.0,1147.0930010918896,-30.057979267841816,-86.15497605182114,-1030.8800457722261,4215.062904485723,0,0.0,-0.0,0.0,-0.0,0.0,0.0,-2416.8209682325473,-23.74991476801717,-0.0,-1774.492021485159,5761.162194758102,0,0.0,-0.0,0.0,-0.0,0.0,0.0,1818.4523522071654,-80.24726177570773,-23.75582186543874,-7475.61146332412,6576.798308714582,0,995.2205347220205,-0.0,0.0,-0.0,0.0,0.0,2175.970596011789,-40.99437303691561,-3.9527500209332636,-9703.042316390542,7079.588623293759,0,0.0,-0.0,0.0,-0.0,0.0,0.0,808.9691683806113,-11.661598320123476,-0.0,-7876.896193354248,6385.3714659164025,0,0.0,-0.0,0.0,-0.0,0.0,0.0,188.86481555435898,-1.8559600942942958,-13.053638129806577,-6559.326683246661,6679.859619489012,0,0.0,-0.0,0.0,-0.0,0.0,0.0,955.8222417588987,-9.392792049363203,-15.265902719439852,-7611.023166479108,6770.237425428586,0,0.0,-0.0,0.0,-0.0,0.0,0.0,-2580.493146306032,-25.35830874102368,-0.0,-4164.385970381531
t2,9805.538788471682,0,0.0,-0.0,0.0,-0.0,0.0,0.0,-2593.980427047205,-25.49084721709021,-19.05295370370368,-7167.014560503682,2228.5407620395104,0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-181.14717935431116,-2047.3935826851991,0.0,0,0.0,-0.0,0.0,-0.0,0.0,0.0,1085.3587395629152,-22.967716087650377,-86.15497605182114,-976.2360474234434,9006.544667704537,0,0.0,-0.0,0.0,-0.0,0.0,0.0,14.460826195895322,-0.14210543277385934,-0.0,-9020.863388467658,5761.162194758102,0,0.0,-0.0,0.0,-0.0,0.0,0.0,-4573.614496720485,-62.29280082055204,-21.459001079438735,-1103.7958961376278,6576.798308714582,0,617.8672360331035,-0.0,0.0,-0.0,0.0,0.0,1017.771434180152,-52.37590759799923,-0.0,-8160.061071329838,7079.588623293759,0,0.0,-0.0,0.0,-0.0,0.0,0.0,669.6806934684556,-35.79344462968413,-0.0,-7713.475872132531,6385.3714659164025,0,2160.03959334322,-0.0,0.0,-0.0,0.0,0.0,1486.3524522981515,-14.606271842771333,-0.0,-10017.157239715003,6679.859619489012,0,0.0,-0.0,0.0,-0.0,0.0,0.0,611.4715311644316,-6.008883959180735,-40.65284521611256,-7244.669421478151,7064.468348405683,0,0.0,-0.0,0.0,-0.0,0.0,0.0,2282.499246897687,-22.429945488071183,-0.0,-9324.5376498153
t3,6988.501716938369,0,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,-19.05295370370368,-6969.448763234665,2171.785498453781,0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-181.14717935431116,-1990.63831909947,0.0,0,0.0,-0.0,0.0,-0.0,0.0,0.0,1046.1200117502542,-10.280141327288849,-85.87497605182112,-949.9648943711442,4215.062904485723,0,0.0,-0.0,0.0,-0.0,0.0,0.0,-2545.7399808617065,-25.016792042819453,-2.2991248918840985,-1642.0070066893131,2696.2239071467916,0,0.0,-0.0,0.0,-0.0,0.0,0.0,409.9349312653926,-25.444902221538438,-9.404564060600142,-3071.3093721300456,3077.9416084784248,0,0.0,-0.0,0.0,-0.0,0.0,0.0,-248.97981849305395,-2.4467056293751264,-20.55418587694459,-2805.960898479051,3809.120420038595,0,0.0,-0.0,0.0,-0.0,0.0,0.0,-1144.9866616386241,-16.145107591193398,-2.8615716297783855,-2645.127079178999,6385.3714659164025,0,0.0,-0.0,0.0,-0.0,0.0,0.0,1393.9664801316783,-13.698401961818272,-0.0,-7765.6395440862625,3903.0724566343492,0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-40.667630990112556,-3862.4048256442366,4482.125320114209,0,0.0,-0.0,0.0,-0.0,0.0,0.0,1089.68503784606,-10.708251506007835,-0.0,-5561.10210645426
t4,6928.601448617445,0,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,-19.05295370370368,-6909.548494913741,2140.1691240580094,0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-166.34717935431115,-1973.8219447036981,0.0,0,0.0,-0.0,0.0,-0.0,0.0,0.0,1027.5507641983736,-10.097662752143957,-75.89497605182113,-941.5581253944083,5153.481495299976,0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,-5153.481495299976,3429.4181527378937,0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-2.9137478775406573,-3426.5044048603527,6403.577541209634,0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-26.475457643123992,-6377.10208356651,7079.588623293759,0,0.0,-0.0,0.0,-0.0,0.0,0.0,1857.9532327086276,-18.25796428440538,-0.0,-8919.283891717982,4357.691576891175,0,0.0,-0.0,0.0,-0.0,0.0,0.0,-1857.9532327086276,-18.25796428440538,-3.4715206450401825,-2478.008859253101,5741.369513973309,0,0.0,-0.0,0.0,-0.0,0.0,0.0,-1027.5507641983736,-10.097662752143957,-36.74205242304336,-4666.979034599748,6607.321931422552,0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,-6607.321931422552
t5,7079.687030145116,0,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,-16.7097777777778,-7062.977252367338,2134.41210684691,0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-116.44717935431112,-2017.964927492599,0.0,0,0.0,-0.0,0.0,-0.0,0.0,0.0,1040.9959016948706,-21.325877806801476,-57.09497605182112,-962.5750478362478,6430.932730315842,0,0.0,-0.0,0.0,-0.0,0.0,0.0,564.5760200042499,-5.548045358516233,-0.0,-6989.960704961575,3702.3758505053925,0,0.0,-0.0,0.0,-0.0,0.0,0.0,311.9118984757226,-3.0651343650606924,-8.023996530783583,-4003.1986180852714,3365.100233083252,0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-12.933423990819477,-3352.1668090924327,4594.3288093477,0,0.0,-0.0,0.0,-0.0,0.0,0.0,-10.157264122417367,-0.0998146575002901,-0.0,-4584.071730567783,6385.3714659164025,0,0.0,-0.0,0.0,-0.0,0.0,0.0,10.157264122417367,-0.0998146575002901,-19.425595643846748,-6376.003319737473,3126.174301920858,0,0.0,-0.0,0.0,-0.0,0.0,0.0,-1605.5719216991201,-15.777832448285244,-36.74205242304336,-1468.0824953504093,3306.1711870538597,0,0.0,-0.0,0.0,-0.0,0.0,0.0,-311.9118984757226,-3.0651343650606924,-0.0,-2991.1941542130767
t6,11162.372742868203,0,0.0,-0.0,0.0,-0.0,0.0,0.0,-3543.5664754709546,-49.3039390529641,-0.0,-7569.502328344285,3138.4300096352404,0,0.0,-0.0,0.0,-0.0,0.0,0.0,-906.2406487715213,-5.576024853278295,-63.607179354311135,-2163.0061566561294,0.0,0,0.0,-0.0,0.0,-0.0,0.0,0.0,1123.060610207756,-56.93474226161631,-34.19497605182113,-1031.9308918943182,9006.544667704537,0,0.0,-0.0,0.0,-0.0,0.0,0.0,-2431.9913825879808,-23.89899326935132,-0.0,-6550.654291847205,5761.162194758102,0,0.0,-0.0,0.0,-0.0,0.0,0.0,3098.797585584643,-43.377905643663304,-16.769104153438736,-8799.812770545643,6576.798308714582,0,0.0,-0.0,0.0,-0.0,0.0,0.0,-333.10071484250847,-3.273355242552645,-14.357944007247358,-6226.066294622274,6465.369528360424,0,0.0,-0.0,0.0,-0.0,0.0,0.0,-474.3231174882083,-4.661136989838135,-0.0,-5986.385273882377,6385.3714659164025,0,0.0,-0.0,0.0,-0.0,0.0,0.0,474.3231174882083,-4.661136989838135,-24.83307126817305,-6830.2003751466,6679.859619489012,0,0.0,-0.0,0.0,-0.0,0.0,0.0,2335.3449102988016,-22.949255779620685,-41.908039628112554,-8950.34723438008,7064.468348405683,0,266.957450219575,-0.0,0.0,-0.0,0.0,0.0,657.6961155817645,-6.463129414069158,-0.0,-7982.658784792954
t7,9166.579495555237,0,0.0,-0.0,0.0,-0.0,0.0,0.0,-389.9850381545268,-3.8323531360891163,-0.0,-8772.762104264624,2538.5717976576216,0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-32.93201268764447,-2505.639784969977,0.0,0,0.0,-0.0,0.0,-0.0,0.0,0.0,1247.0761247223425,-34.75678628985531,-16.45645149182112,-1195.862886940666,8059.546792747207,0,0.0,-0.0,0.0,-0.0,0.0,0.0,-2001.9999999999998,-19.673500847,-0.0,-6037.873291900209,4466.862702736347,0,0.0,-0.0,0.0,-0.0,0.0,0.0,1315.1324353540656,-12.923705834593099,-0.0,-5769.07143225582,3077.9416084784248,0,0.0,-0.0,0.0,-0.0,0.0,0.0,-257.2799144148333,-2.5282700370411137,-20.55418587694459,-2797.5792381496058,3313.2474757014797,0,0.0,-0.0,0.0,-0.0,0.0,0.0,-1781.4567348299145,-17.506239051733353,-0.0,-1514.2845018198318,5649.543435469526,0,0.0,-0.0,0.0,-0.0,0.0,0.0,1781.4567348299145,-17.506239051733353,-22.55545349017305,-7390.938477757535,6679.859619489012,0,0.0,-0.0,0.0,-0.0,0.0,0.0,1144.9089134321841,-11.250932306766195,-51.09421066611256,-7762.423389948318,3306.1711870538597,0,0.0,-0.0,0.0,-0.0,0.0,0.0,-1057.8525209392324,-10.395435797551984,-10.498592098,-2227.4246382190754
t8,9856.221343543113,0,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,-9856.221343543113,2848.623700579661,0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-32.93201268764447,-2815.691687892017,0.0,0,0.0,-0.0,0.0,-0.0,0.0,0.0,1385.6125075846546,-13.776187499291314,-28.854976051821144,-1342.9813440335422,6577.515991528639,0,0.0,-0.0,0.0,-0.0,0.0,0.0,8.134762960846487,-0.07993969330687192,-0.0,-6585.570814796179,3771.678225279997,0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-28.29893535143877,-3743.379289928558,4533.177547450007,0,0.0,-0.0,0.0,-0.0,0.0,0.0,1672.7113041564708,-16.43760602353087,-22.670458056151634,-6166.780787526795,3313.2474757014797,0,0.0,-0.0,0.0,-0.0,0.0,0.0,-2154.4640155163606,-21.171753063982084,-11.475774885110807,-1126.1359322360265,2988.353846048876,0,0.0,-0.0,0.0,-0.0,0.0,0.0,481.7527113598897,-4.734147040451217,-26.10584190617305,-3439.2665684621415,3126.174301920858,0,0.0,-0.0,0.0,-0.0,0.0,0.0,-1393.7472705455011,-13.696247805984441,-36.74205242304336,-1681.988731146329,5761.297721924825,0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,-5761.297721924825
