Resource,MA_natural_gas_combined_cycle,MA_solar_pv,CT_natural_gas_combined_cycle,CT_onshore_wind,CT_solar_pv,ME_natural_gas_combined_cycle,ME_onshore_wind,MA_battery,CT_battery,ME_battery,MB_natural_gas_combined_cycle,MC_natural_gas_combined_cycle,MD_natural_gas_combined_cycle,MF_natural_gas_combined_cycle,MH_natural_gas_combined_cycle,MG_natural_gas_combined_cycle,MJ_natural_gas_combined_cycle,MB_battery,MC_battery,MD_battery,MF_battery,MH_battery,MG_battery,MJ_battery
t44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-23.58695652173913,-23.60869565217391,-23.586956521739136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-22.684049308103447,-23.131066514863292,-22.684049308103447,-23.131066514863285,-22.684049308103447,-23.13106651486329,-22.684049308103447
t45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-23.58695652173913,-23.60869565217391,-23.586956521739136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-22.684049308103447,-23.131066514863292,-22.684049308103447,-23.131066514863285,-22.684049308103447,-23.13106651486329,-22.684049308103447
t46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-23.58695652173913,-23.60869565217391,-23.586956521739136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-22.684049308103447,-23.131066514863292,-22.684049308103447,-23.131066514863285,-22.684049308103447,-23.13106651486329,-22.684049308103447
t47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-23.58695652173913,-23.60869565217391,-23.586956521739136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-22.684049308103447,-23.131066514863292,-22.684049308103447,-23.131066514863285,-22.684049308103447,-23.13106651486329,-22.684049308103447
t48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-23.58695652173913,-23.60869565217391,-23.586956521739136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-22.684049308103447,-23.131066514863292,-22.684049308103447,-23.131066514863285,-22.684049308103447,-23.13106651486329,-22.684049308103447
t49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-23.58695652173913,-23.60869565217391,-23.586956521739136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-22.684049308103447,-23.131066514863292,-22.684049308103447,-23.131066514863285,-22.684049308103447,-23.13106651486329,-22.684049308103447
t50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-23.58695652173913,-23.60869565217391,-23.586956521739136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-22.684049308103447,-23.131066514863292,-22.684049308103447,-23.131066514863285,-22.684049308103447,-23.13106651486329,-22.684049308103447
t51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-23.58695652173913,-23.60869565217391,-23.586956521739136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-22.684049308103447,-23.131066514863292,-22.684049308103447,-23.131066514863285,-78.21418774536967,-23.13106651486329,-22.684049308103447
t52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-23.58695652173913,-23.60869565217391,-23.586956521739136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-22.684049308103447,-23.131066514863292,-22.684049308103447,-23.131066514863285,-78.21418774536967,-23.13106651486329,-22.684049308103447
t53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-23.58695652173913,-23.60869565217391,-23.586956521739136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-22.684049308103447,-23.131066514863292,-22.684049308103447,-23.131066514863285,-23.13106651486329,-23.13106651486329,-22.684049308103447
t54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-23.58695652173913,-23.60869565217391,-23.586956521739136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-22.684049308103447,-23.131066514863292,-22.684049308103447,-23.131066514863285,-23.13106651486329,-23.13106651486329,-19.688
t55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-23.58695652173913,-23.60869565217391,-23.586956521739136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-22.684049308103447,-23.131066514863292,-22.684049308103447,-23.131066514863285,-23.13106651486329,-23.13106651486329,-19.688
t56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-23.58695652173913,-23.60869565217391,-23.76392177649933,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-22.684049308103447,-23.131066514863292,-22.684049308103447,-22.245732213792152,-21.815945905211176,-23.13106651486329,-19.688
t57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-23.58695652173913,-23.60869565217391,-23.76392177649933,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-22.684049308103447,-23.131066514863292,-22.684049308103447,-22.245732213792152,-21.815945905211176,-24.238348646660036,-19.688
t58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-23.58695652173913,-23.60869565217391,-23.76392177649933,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-22.684049308103447,-23.131066514863292,-22.684049308103447,-22.245732213792152,-21.815945905211176,-24.238348646660036,-19.688
t59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-23.58695652173913,-23.60869565217391,-23.763921776499338,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-22.684049308103447,-23.131066514863292,-22.684049308103447,-22.245732213792152,-21.815945905211176,-24.238348646660036,-23.13106651486329
t60,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-23.58695652173913,-23.60869565217391,-23.763921776499338,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-22.684049308103447,-23.131066514863292,-22.684049308103447,-22.245732213792152,-21.815945905211176,-24.238348646660036,-23.13106651486329
t61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-23.58695652173913,-23.60869565217391,-23.13106651486329,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-22.684049308103447,-23.131066514863292,-22.684049308103447,-22.245732213792152,-21.815945905211176,-22.684049308103447,-23.13106651486329
t62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-23.58695652173913,-23.60869565217391,-23.13106651486329,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-22.684049308103447,-23.131066514863292,-23.131066514863285,-23.125207429187917,-23.58695652173913,-22.684049308103447,-23.13106651486329
t63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-23.58695652173913,-23.60869565217391,-23.13106651486329,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-22.684049308103447,-23.131066514863292,-23.131066514863285,-23.125207429187917,-23.58695652173913,-22.684049308103447,-23.13106651486329
t64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-23.58695652173913,-23.60869565217391,-23.13106651486329,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-22.684049308103447,-23.131066514863292,-23.131066514863285,-23.125207429187917,-23.58695652173913,-22.684049308103447,-23.13106651486329
t65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-23.58695652173913,-23.60869565217391,-23.13106651486329,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-22.684049308103447,-23.131066514863292,-23.131066514863285,-23.125207429187917,-23.58695652173913,-22.684049308103447,-23.13106651486329
t66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-23.58695652173913,-23.60869565217391,-23.13106651486329,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-22.684049308103447,-23.131066514863292,-23.131066514863285,-23.125207429187917,-23.58695652173913,-23.58695652173913,-23.13106651486329
t67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-23.58695652173913,-23.60869565217391,-23.13106651486329,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-22.684049308103447,-23.131066514863292,-23.131066514863285,-23.125207429187917,-23.58695652173913,-23.58695652173913,-23.13106651486329
t68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-23.58695652173913,-23.60869565217391,-23.13106651486329,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-22.684049308103447,-23.131066514863292,-23.131066514863285,-23.125207429187917,-23.58695652173913,-23.58695652173913,-23.13106651486329
t69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-23.58695652173913,-23.60869565217391,-23.13106651486329,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-22.684049308103447,-23.131066514863292,-23.131066514863285,-23.125207429187917,-24.526062892845623,-23.58695652173913,-23.13106651486329
t70,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-23.58695652173913,-23.60869565217391,-23.13106651486329,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-22.684049308103447,-23.131066514863292,-23.131066514863285,-23.125207429187917,-24.526062892845623,-23.58695652173913,-23.13106651486329
t71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-23.58695652173913,-23.60869565217391,-23.13106651486329,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-22.684049308103447,-23.131066514863292,-23.131066514863285,-23.125207429187917,-24.526062892845623,-23.58695652173913,-23.13106651486329
t72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-23.58695652173913,-23.60869565217391,-23.131066514863292,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-22.684049308103447,-23.131066514863292,-23.131066514863285,-23.125207429187917,-24.063964812993415,-23.592931903823853,-23.58695652173913
t73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-23.58695652173913,-23.60869565217391,-23.131066514863292,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-22.684049308103447,-23.131066514863292,-23.131066514863285,-23.125207429187917,-23.58695652173913,-23.58695652173913,-23.58695652173913
t74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-23.58695652173913,-23.60869565217391,-23.131066514863292,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-22.684049308103447,-23.131066514863292,-23.131066514863285,-23.125207429187917,-23.58695652173913,-23.58695652173913,-23.58695652173913
t75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-23.58695652173913,-23.60869565217391,-23.131066514863292,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-22.684049308103447,-23.131066514863292,-23.131066514863285,-23.125207429187917,-23.58695652173913,-23.58695652173913,-23.58695652173913
t76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-23.58695652173913,-23.60869565217391,-23.131066514863292,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-22.684049308103447,-23.131066514863292,-23.131066514863285,-23.125207429187917,-23.58695652173913,-23.58695652173913,-23.58695652173913
t77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-23.58695652173913,-23.60869565217391,-23.131066514863292,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-22.684049308103447,-23.131066514863292,-23.131066514863285,-23.125207429187917,-23.58695652173913,-23.58695652173913,-23.58695652173913
t78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-23.58695652173913,-23.60869565217391,-23.131066514863292,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-22.684049308103447,-23.131066514863292,-23.131066514863285,-23.125207429187917,-23.58695652173913,-23.58695652173913,-23.58695652173913
t79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-23.58695652173913,-23.60869565217391,-23.131066514863292,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-22.684049308103447,-23.131066514863292,-23.131066514863285,-23.125207429187917,-23.58695652173913,-23.58695652173913,-23.58695652173913
t80,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-23.58695652173913,-23.60869565217391,-23.131066514863292,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-22.684049308103447,-23.131066514863292,-23.131066514863285,-23.125207429187917,-23.58695652173913,-23.58695652173913,-23.58695652173913
t81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-23.58695652173913,-23.60869565217391,-23.131066514863292,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-22.684049308103447,-23.131066514863292,-23.131066514863285,-23.125207429187917,-22.684049308103447,-23.58695652173913,-23.58695652173913
t82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-23.58695652173913,-23.60869565217391,-23.131066514863292,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-22.684049308103447,-23.131066514863292,-23.131066514863285,-23.125207429187917,-22.684049308103447,-23.58695652173913,-23.58695652173913
t83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-141.48509332772068,-139.75296029914992,-144.2961560338169,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-141.48509332772068,-144.2961560338169,-23.131066514863285,-23.125207429187917,-22.684049308103447,-147.16301524422562,-147.1630152442256
t84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-23.599025890673783,-23.60869565217391,-24.051895444058765,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-23.58695652173913,-23.131066514863285,-23.131066514863285,-20.08152430385134,-22.684049308103447,-23.58695652173913,-22.684049308103447
t85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-23.599025890673783,-23.60869565217391,-24.051895444058765,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-23.58695652173913,-23.131066514863285,-23.131066514863285,-20.08152430385134,-22.684049308103447,-23.58695652173913,-22.684049308103447
t86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-23.599025890673783,-23.60869565217391,-24.051895444058765,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-23.58695652173913,-23.131066514863285,-23.131066514863285,-20.08152430385134,-22.684049308103447,-23.58695652173913,-22.684049308103447
t87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-23.599025890673783,-23.60869565217391,-24.051895444058765,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-23.58695652173913,-23.131066514863285,-23.131066514863285,-20.08152430385134,-22.684049308103447,-23.58695652173913,-22.684049308103447
t88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-23.599025890673783,-23.60869565217391,-24.051895444058765,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-23.58695652173913,-23.131066514863285,-23.131066514863285,-20.08152430385134,-23.58695652173913,-23.58695652173913,-22.684049308103447
