Region,Resource,Zone,Cluster,AnnualSum
MA,MA_natural_gas_combined_cycle,1,1,0.0
MA,MA_solar_pv,1,1,0.0
CT,CT_natural_gas_combined_cycle,2,1,0.0
CT,CT_onshore_wind,2,1,0.0
CT,CT_solar_pv,2,1,0.0
ME,ME_natural_gas_combined_cycle,3,1,0.0
ME,ME_onshore_wind,3,1,0.0
MA,MA_battery,1,0,0.0
CT,CT_battery,2,0,0.0
ME,ME_battery,3,0,7.915872e6
MA,MB_natural_gas_combined_cycle,4,1,0.0
MA,MC_natural_gas_combined_cycle,5,1,0.0
MA,MD_natural_gas_combined_cycle,6,1,0.0
MA,MF_natural_gas_combined_cycle,7,1,0.0
MA,MH_natural_gas_combined_cycle,8,1,0.0
MA,MG_natural_gas_combined_cycle,9,1,0.0
MA,MJ_natural_gas_combined_cycle,10,1,0.0
ME,MB_battery,4,0,4.277502e6
ME,MC_battery,5,0,0.0
ME,MD_battery,6,0,6.9251195e6
ME,MF_battery,7,0,0.0
ME,MH_battery,8,0,3.8361e7
ME,MG_battery,9,0,1.9728622e7
ME,MJ_battery,10,0,5.888524e6
