Resource,CCGT-H2_1.0,Fuel_cell_1.0,CCGT-H2_2.0,Fuel_cell_2.0,CCGT-H2_3.0,Fuel_cell_3.0,CCGT-H2_4.0,Fuel_cell_4.0,CCGT-H2_5.0,Fuel_cell_5.0,CCGT-H2_6.0,Fuel_cell_6.0,CCGT-H2_7.0,Fuel_cell_7.0,CCGT-H2_8.0,Fuel_cell_8.0,CCGT-H2_9.0,Fuel_cell_9.0,CCGT-H2_10.0,Fuel_cell_10.0
Zone,1.0,1.0,2.0,2.0,3.0,3.0,4.0,4.0,5.0,5.0,6.0,6.0,7.0,7.0,8.0,8.0,9.0,9.0,10.0,10.0
AnnualSum,328.85196,31.868546,27109.447,34.069954,13614.322,56.061626,17246.027,44.533695,172.0556,30.97991,186345.6,61.179893,270824.88,37.849277,836649.4,50.508488,112.3314,25.026346,640.19714,63.36423
t1,0.04013228727528534,0.01020373265181948,0.03912190906224387,0.011066886321669881,0.03886538341385238,0.011428021234620138,0.03732278911678595,0.010792290721726409,0.04139834037186721,0.010596768624217741,179.32966882716028,0.13947917337618645,0.051635841529149844,0.015287710160808436,0.0543459056013618,0.0148754602769304,0.036788646960666145,0.011005043036741846,0.04536376661548455,0.013430845244402249
t2,0.04057540447972601,0.010700445173144082,0.03918506403426234,0.011217022124201722,0.03869677077640357,0.011194006005259584,0.03713041209731453,0.010575543397691772,0.04209298597856383,0.010951808247711102,281.70392397451644,0.15729505792496004,0.05197971921814483,0.015388610281046296,0.040119787048189345,0.010552120332141307,0.03719370906631496,0.011008966181561395,0.045444214448132035,0.013383373695010962
t3,0.03931378073470519,0.010502334709266477,0.03838052316570063,0.010998669462489133,0.0386829513836147,0.011087494939997517,0.03640067238519648,0.010313426277035938,0.04089767381209482,0.010735827380849362,332.11942531097196,0.1572203232797362,0.052333711881679665,0.015455290866815966,0.03915099500868354,0.010478258300498549,0.037464042768219116,0.011015116168250183,0.04541393896550243,0.013374987400137157
t4,0.03800541631992223,0.010221367910783473,0.0388438357324452,0.011145811356520726,0.03886217272415696,0.011239338202490769,0.036638554855394224,0.010606100900245542,0.041721687397732264,0.01079352626958284,360.3463317432463,0.15608433063989613,0.05457800514492115,0.01590662111169946,0.037765255369084455,0.010242762658709539,0.03759795686002644,0.011015569912240992,0.04538106366366856,0.013344979132106013
t5,0.040484125490593784,0.01044187806685599,0.039572823484040266,0.01127684325649024,0.038733643585133974,0.011083193269710741,0.03721714173387512,0.01068996664190949,0.04362653079534792,0.010645360239874509,376.5136718418101,0.15472530554187874,0.05096509374413638,0.014538347155423162,0.04031361439336865,0.010452914142399405,0.03776764735403507,0.011013552781852473,0.045424042437683575,0.013314130840105477
t6,0.059226581698245975,0.014929466037247902,0.053719872390730186,0.015112377648417163,0.04636513387351843,0.013390073128040761,0.047755628505815106,0.013865919802194178,0.05290117065470172,0.01281710971626305,442.2601230429571,0.153078283967875,0.055119610622263004,0.01579365946117931,0.05851647937976089,0.019542476654561363,0.037734320371976895,0.01100035735231423,0.04735114381654226,0.013866892532365527
t7,0.05975294673695086,0.018459688921180453,0.05794426037830114,0.015691583133868273,0.05170770089765847,0.015175755147545586,0.054677019293066884,0.01617261244441053,0.06023738892989213,0.01357668415300377,590.3814680856091,0.157143083135379,0.043645015744880264,0.012557612681750508,399.4849772675698,0.13120692557268662,0.03788864048946057,0.010995521759372955,0.047753457331994,0.013953272049631654
t8,0.161645106348805,0.06023774547967284,0.05685950805041199,0.015098410966936223,0.0510800355871878,0.015283383444861619,0.0548410580976183,0.01653298599531068,0.1007568892295877,0.02346495447284568,1188.5176891687952,0.1701311257588668,993.3695828503227,0.11932583837893657,6401.39903663913,0.14429259672096323,0.0378454140550688,0.010936798971472091,0.047687351065109164,0.013944750204675125
t9,0.23535389904830778,0.05844541758959299,0.05674444800988851,0.014885946259577976,0.05084098806160661,0.014827872274291267,0.0547402201590172,0.016474974401082216,0.09914305593913635,0.02328253343689843,1188.8170513157586,0.17736769020332663,4850.23445730604,0.1196501170637756,7173.108929171368,0.14120581385182077,0.03791199756366985,0.010939273631868232,0.04768070579998894,0.013957541462091298
t10,0.053831968074046506,0.016611176827128173,0.056698946564232966,0.014707175120020717,0.05516481849237095,0.016123165073350453,0.05453655761252197,0.01649085067294292,0.05592196952216104,0.012787331239115901,1188.9400110519741,0.19353723821247212,6034.505822498629,0.16196667521332314,8390.086058970139,0.12591513862351705,0.037815097579720125,0.010946383011197413,0.04767369302609964,0.014005561781966484
t11,0.052586740577616004,0.016576670973076208,0.05675297505079163,0.014812855519532035,0.05533463039499482,0.016150510753818945,0.054460618042651295,0.01651124935405445,0.056498725324463456,0.013446169115449701,1188.940118042286,0.1936462700537047,6034.4964673834065,0.16205440511054253,9592.16543011639,0.03398525581793113,0.0374299793869011,0.01094074655971293,0.04753962799040255,0.01400922512781664
t12,0.06490651578418118,0.017963793180909994,0.05670788186860586,0.015093903594132952,0.055316898810964105,0.01605652862591724,0.05441268536283852,0.016524529049488874,0.056703860511637595,0.014281299342721699,1188.940394175263,0.1937006781616255,6034.498678054948,0.1621808317047584,9074.904053293436,0.10645857690293105,0.03736336716682331,0.010944193247840666,0.04756809464478351,0.014020214228942006
t13,0.0611531208590939,0.015942557417740675,0.05673859473945799,0.015219563746830823,0.05533176216751883,0.016038955432284202,0.054337157545185866,0.016459202317453975,0.05339246206446313,0.01344242092406242,1188.9406556943488,0.1937515944607761,6034.5065446207,0.162470034957778,7835.9364620526385,0.13940756904546842,0.03725024270850007,0.010947219353185664,0.04756867580858598,0.01402887802004521
t14,0.05423102630620486,0.013819602604740203,0.056807950314254556,0.015300271961673557,0.05528315321964375,0.01601592575698167,0.05426802126292966,0.016411254191262655,0.04859049355237003,0.012290623318726338,1188.9406194255107,0.1941269554328662,6034.509757797028,0.16160958196056294,6265.999336318729,0.1453065374327114,0.037173502077187656,0.01094991598033426,0.047567881658960344,0.014036394696698751
t15,0.05407866891661557,0.013998835850537999,0.05688124897923693,0.01535205220795947,0.05065614424096471,0.014655273009905483,0.05423692381877813,0.01641914847708078,0.048557199518260576,0.01246690344679984,1188.9427200440769,0.1949075966400433,6034.518116062295,0.16172450480750195,4277.168732225662,0.1444132937720016,0.03718866969275218,0.010951732370771631,0.04759654806739702,0.014039270369023374
t16,0.05485803158358085,0.0144472446934716,0.05682783093985799,0.015403538209907286,0.05076981757545832,0.015032308332757585,0.054395955345002946,0.016467105631800243,0.04925347241289046,0.012686253885783353,1188.9390893390234,0.19333615190201955,6034.524506928465,0.1613348800111666,1507.4068414769981,0.1330537002515873,0.03696839938730908,0.010940497804799977,0.04746102621897337,0.013996354146725542
t17,0.06224308503152554,0.016177021568370756,0.05679596296105423,0.01526161280890919,0.05524155917740157,0.016136427440245717,0.05433999824966439,0.01635472667523491,0.05471940533182557,0.013503150372295936,1188.9384996822478,0.19317863763520224,6034.4633891056665,0.15959892977176066,0.05212252481924166,0.02255813091378601,0.0369728980587565,0.010942294932758527,0.04744733348811983,0.013995268982668289
t18,0.06294793106233361,0.016232532609461864,0.05644619060896484,0.014299591544599094,0.05513097013129547,0.015935860053693955,0.05404367222894884,0.01586276572025916,0.057442693981682856,0.012841452431853907,1188.9519327418777,0.19747111293652184,6034.50352393782,0.16577418326553378,0.05461612834866503,0.02035256650462257,0.03691687741527768,0.010945234851172308,0.047425153029362004,0.014007978562445926
t19,0.06741182637050319,0.017778698354406645,0.056655827382545994,0.01508134299944883,0.050489310771881596,0.014761329111937876,0.05432014373603261,0.016529516272152805,0.05817084372271408,0.013983195907848484,1188.9530045890504,0.1977828678628949,6034.546245755467,0.1668914735766219,0.07163197197334957,0.023476811430934236,0.0367635764437085,0.010949715324655891,0.047454560953512415,0.014033179172601374
