Resource,Small_Electrolyzer_1.0,Large_SMR_1.0,Large_SMR_wCCS_90pct_1.0,Above_ground_storage_1.0,Small_Electrolyzer_2.0,Large_SMR_2.0,Large_SMR_wCCS_90pct_2.0,Above_ground_storage_2.0,Small_Electrolyzer_3.0,Large_SMR_3.0,Large_SMR_wCCS_90pct_3.0,Above_ground_storage_3.0,Small_Electrolyzer_4.0,Large_SMR_4.0,Large_SMR_wCCS_90pct_4.0,Above_ground_storage_4.0,Small_Electrolyzer_5.0,Large_SMR_5.0,Large_SMR_wCCS_90pct_5.0,Above_ground_storage_5.0,Small_Electrolyzer_6.0,Large_SMR_6.0,Large_SMR_wCCS_90pct_6.0,Above_ground_storage_6.0,Small_Electrolyzer_7.0,Large_SMR_7.0,Large_SMR_wCCS_90pct_7.0,Above_ground_storage_7.0,Small_Electrolyzer_8.0,Large_SMR_8.0,Large_SMR_wCCS_90pct_8.0,Above_ground_storage_8.0,Small_Electrolyzer_9.0,Large_SMR_9.0,Large_SMR_wCCS_90pct_9.0,Above_ground_storage_9.0,Small_Electrolyzer_10.0,Large_SMR_10.0,Large_SMR_wCCS_90pct_10.0,Above_ground_storage_10.0
t306,0.0,0.0,0.0,1.3393156813627864,0.0,0.0,0.0,98.21238486793473,0.0,0.0,0.0,0.9232615923775446,0.0,0.0,0.0,0.977102508080144,0.0,0.0,0.0,44.78483441515097,0.0,0.0,0.0,2.0953498138136752,0.0,0.0,0.0,12.443157548198556,0.0,0.0,0.0,1.2862744469493488,0.0,0.0,0.0,0.6173128673475727,0.0,0.0,0.0,83.95086567279158
t307,0.0,0.0,0.0,1.3312945755959091,0.0,0.0,0.0,101.977362692918,0.0,0.0,0.0,0.8822718442209595,0.0,0.0,0.0,1.0031858589103892,0.0,0.0,0.0,46.67706246889024,0.0,0.0,0.0,2.161782027237302,0.0,0.0,0.0,12.761375057838585,0.0,0.0,0.0,1.2185556608764325,0.0,0.0,0.0,0.6090291915843163,0.0,0.0,0.0,87.2462756151631
t308,0.0,0.0,0.0,1.3348933872393955,0.0,0.0,0.0,105.74580422899908,0.0,0.0,0.0,0.8243575177745608,0.0,0.0,0.0,0.9930587299196252,0.0,0.0,0.0,47.065809607968056,0.0,0.0,0.0,2.249290743127732,0.0,0.0,0.0,13.126439858832564,0.0,0.0,0.0,1.1283621912441428,0.0,0.0,0.0,0.608413433447849,0.0,0.0,0.0,89.07549930323508
t309,0.0,0.0,0.0,1.3454408127689217,0.0,0.0,0.0,109.56140400123964,0.0,0.0,0.0,0.9223445240053836,0.0,0.0,0.0,1.0057923550652128,0.0,0.0,0.0,47.52792522176212,0.0,0.0,0.0,2.3618545180084993,0.0,0.0,0.0,13.452085290124515,0.0,0.0,0.0,1.1782922119261614,0.0,0.0,0.0,0.6119882250490689,0.0,0.0,0.0,91.02784727780944
t310,0.0,0.0,0.0,1.3809024239811831,0.0,0.0,0.0,113.42862615306615,0.0,0.0,0.0,0.9801355981337079,0.0,0.0,0.0,1.0575010840700214,0.0,0.0,0.0,47.986232320187774,0.0,0.0,0.0,2.272677485909283,0.0,0.0,0.0,13.611919345501638,0.0,0.0,0.0,1.3107430692752822,0.0,0.0,0.0,0.6316862659878143,0.0,0.0,0.0,93.1367102378297
t311,0.0,0.0,0.0,1.343004636696851,0.0,0.0,0.0,117.37894920024495,0.0,0.0,0.0,0.9757029692613952,0.0,0.0,0.0,1.0937325881443132,0.0,0.0,0.0,48.46169443902964,0.0,0.0,0.0,2.216775609207832,0.0,0.0,0.0,13.753392953257308,0.0,0.0,0.0,1.3473028152017106,0.0,0.0,0.0,0.6001811831704242,0.0,0.0,0.0,95.48512037657818
t312,0.0,0.0,0.0,1.3328759080898687,0.0,0.0,0.0,110.40418669752124,0.0,0.0,0.0,0.9712486232354075,0.0,0.0,0.0,1.03812338833478,0.0,0.0,0.0,48.663636243455755,0.0,0.0,0.0,2.1474616057327,0.0,0.0,0.0,13.442234592574609,0.0,0.0,0.0,1.372088956882716,0.0,0.0,0.0,0.5930305853363287,0.0,0.0,0.0,89.65466760203765
t313,0.0,0.0,0.0,1.3352679679451607,0.0,0.0,0.0,93.67697388032326,0.0,0.0,0.0,0.9710859155172048,0.0,0.0,0.0,0.9953815794615634,0.0,0.0,0.0,41.53865355118631,0.0,0.0,0.0,2.1124133387485595,0.0,0.0,0.0,13.138099094102909,0.0,0.0,0.0,1.393939298730471,0.0,0.0,0.0,0.5938465723265165,0.0,0.0,0.0,76.48119352179359
t314,0.0,0.0,0.0,1.348560067928382,0.0,0.0,0.0,77.58480180126885,0.0,0.0,0.0,0.9778925970536719,0.0,0.0,0.0,0.9817948867513022,0.0,0.0,0.0,34.7865341555843,0.0,0.0,0.0,2.1020014109814977,0.0,0.0,0.0,12.81988977090215,0.0,0.0,0.0,1.4150824121722945,0.0,0.0,0.0,0.598825704488468,0.0,0.0,0.0,63.30861849225303
t315,0.0,0.0,0.0,1.384330935474942,0.0,0.0,0.0,61.47693737631026,0.0,0.0,0.0,0.9993557506124445,0.0,0.0,0.0,0.9826034605639924,0.0,0.0,0.0,28.01381054090872,0.0,0.0,0.0,2.1084845977963154,0.0,0.0,0.0,12.524884326215414,0.0,0.0,0.0,1.445085146784546,0.0,0.0,0.0,0.6223841114637431,0.0,0.0,0.0,50.136779322644564
t316,0.0,0.0,0.0,1.3505906335913176,0.0,0.0,0.0,56.01760300372362,0.0,0.0,0.0,0.9828597333331922,0.0,0.0,0.0,0.9324331282308191,0.0,0.0,0.0,28.319830726741753,0.0,0.0,0.0,2.063589348400933,0.0,0.0,0.0,12.218415273297996,0.0,0.0,0.0,1.435435739233463,0.0,0.0,0.0,0.5942129010441036,0.0,0.0,0.0,44.709905456931125
