CO2_Pipelines,z1,z2,z3,z4,z5,z6,z7,z8,z9,z10,Max_No_Pipe,Existing_No_Pipe,Max_Flow_Tonne_p_hr_Per_Pipe,Pipe_length_miles,CO2PipeLoss_tonne_per_mile_per_tonne,CO2PipeCap_tonne_per_mile,Min_pipecap_stor_frac,CO2_len_bw_comp_mile,BoosterCompCapex_per_tonne_p_hr_yr,BoosterCompEnergy_MWh_per_tonne,CO2Pipe_Inv_Cost_per_mile_yr_Mean,CO2Pipe_Inv_Cost_per_mile_yr_C1,CO2Pipe_Inv_Cost_per_mile_yr_C2,CO2Pipe_Fixed_OM_Cost_per_mile_yr_Mean,CO2Pipe_Fixed_OM_Cost_per_mile_yr_C1,CO2Pipe_Fixed_OM_Cost_per_mile_yr_C2,CO2Pipe_Energy_MWh_per_mile_per_tonne_Mean,CO2Pipe_Energy_MWh_per_mile_per_tonne_E1,CO2Pipe_Energy_MWh_per_mile_per_tonne_E2
1,1,-1,0,0,0,0,0,0,0,0,1000,0,1141.552511,523.9891405,0.000000374,0,0,3.3,0,0.0008379,267852.5,285082,-313.28,16500,20778,-77.778,0.0000295,2.64E-05,5.56E-08
2,1,0,-1,0,0,0,0,0,0,0,1000,0,1141.552511,797.3212385,0.000000374,0,0,3.3,0,0.0008379,267852.5,285082,-313.28,16500,20778,-77.778,0.0000295,2.64E-05,5.56E-08
3,1,0,0,-1,0,0,0,0,0,0,1000,0,1141.552511,983.409271,0.000000374,0,0,3.3,0,0.0008379,267852.5,285082,-313.28,16500,20778,-77.778,0.0000295,2.64E-05,5.56E-08
4,1,0,0,0,-1,0,0,0,0,0,1000,0,1141.552511,473.1302693,0.000000374,0,0,3.3,0,0.0008379,267852.5,285082,-313.28,16500,20778,-77.778,0.0000295,2.64E-05,5.56E-08
5,1,0,0,0,0,-1,0,0,0,0,1000,0,1141.552511,1287.602782,0.000000374,0,0,3.3,0,0.0008379,267852.5,285082,-313.28,16500,20778,-77.778,0.0000295,2.64E-05,5.56E-08
6,1,0,0,0,0,0,-1,0,0,0,1000,0,1141.552511,804.3501523,0.000000374,0,0,3.3,0,0.0008379,267852.5,285082,-313.28,16500,20778,-77.778,0.0000295,2.64E-05,5.56E-08
7,1,0,0,0,0,0,0,-1,0,0,1000,0,1141.552511,199.0824665,0.000000374,0,0,3.3,0,0.0008379,267852.5,285082,-313.28,16500,20778,-77.778,0.0000295,2.64E-05,5.56E-08
8,1,0,0,0,0,0,0,0,-1,0,1000,0,1141.552511,1206.814272,0.000000374,0,0,3.3,0,0.0008379,267852.5,285082,-313.28,16500,20778,-77.778,0.0000295,2.64E-05,5.56E-08
9,1,0,0,0,0,0,0,0,0,-1,1000,0,1141.552511,1723.539245,0.000000374,0,0,3.3,0,0.0008379,267852.5,285082,-313.28,16500,20778,-77.778,0.0000295,2.64E-05,5.56E-08
10,0,1,-1,0,0,0,0,0,0,0,1000,0,1141.552511,566.3352478,0.000000374,0,0,3.3,0,0.0008379,267852.5,285082,-313.28,16500,20778,-77.778,0.0000295,2.64E-05,5.56E-08
11,0,1,0,-1,0,0,0,0,0,0,1000,0,1141.552511,596.8635916,0.000000374,0,0,3.3,0,0.0008379,267852.5,285082,-313.28,16500,20778,-77.778,0.0000295,2.64E-05,5.56E-08
12,0,1,0,0,-1,0,0,0,0,0,1000,0,1141.552511,834.5937799,0.000000374,0,0,3.3,0,0.0008379,267852.5,285082,-313.28,16500,20778,-77.778,0.0000295,2.64E-05,5.56E-08
