CO2_Capture_Compression,Zone,etaPCO2_MWh_p_tonne,RefCAPEX_per_y,RefFixedOM_per_y,RefCapacity_Mt_y,MaxCapacity_Mt_y,MinCapacity_Mt_y,CO2_Capture_Compression_Min_Output,CO2_Capture_Compression_Max_Output
CAPTURE_COMP_1,1,0.1112,11278000,3900000,2.628,262.8,0,0,1
CAPTURE_COMP_2,2,0.1112,11278000,3900000,2.628,262.8,0,0,1
CAPTURE_COMP_3,3,0.1112,11278000,3900000,2.628,262.8,0,0,1
CAPTURE_COMP_4,4,0.1112,11278000,3900000,2.628,262.8,0,0,1
CAPTURE_COMP_5,5,0.1112,11278000,3900000,2.628,262.8,0,0,1
CAPTURE_COMP_6,6,0.1112,11278000,3900000,2.628,262.8,0,0,1
CAPTURE_COMP_7,7,0.1112,11278000,3900000,2.628,262.8,0,0,1
CAPTURE_COMP_8,8,0.1112,11278000,3900000,2.628,262.8,0,0,1
CAPTURE_COMP_9,9,0.1112,11278000,3900000,2.628,262.8,0,0,1
CAPTURE_COMP_10,10,0.1112,11278000,3900000,2.628,262.8,0,0,1
