,Network_zones,CO_2_Cap_Zone_1,CO_2_Cap_Zone_2,CO_2_Cap_Zone_3,CO_2_Cap_Zone_4,CO_2_Cap_Zone_5,CO_2_Cap_Zone_6,CO_2_Cap_Zone_7,CO_2_Cap_Zone_8,CO_2_Cap_Zone_9,CO_2_Cap_Zone_10,CO_2_Max_Mtons_1,CO_2_Max_Mtons_2,CO_2_Max_Mtons_3,CO_2_Max_Mtons_4,CO_2_Max_Mtons_5,CO_2_Max_Mtons_6,CO_2_Max_Mtons_7,CO_2_Max_Mtons_8,CO_2_Max_Mtons_9,CO_2_Max_Mtons_10
BE0 0,z1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DE0 0,z2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DK0 0,z3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DK3 0,z4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FR0 0,z5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GB4 0,z6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GB5 0,z7,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
NL0 0,z8,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
NO3 0,z9,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
SE3 0,z10,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
