Biorefinery,Zone,Biomass_type,Biomass_carbon_tonne_CO2_per_tonne,Biomass_energy_MMBtu_per_tonne,Biorefinery_efficiency,BioElectricity_fraction,BioNG_fraction,Inv_Cost_per_tonne_per_hr_yr,Fixed_OM_Cost_per_tonne_per_hr_yr,Var_OM_per_tonne,Power_consumption_MWh_per_tonne,NG_consumption_MMBtu_per_tonne,CCS_Rate,Min_capacity_tonne_per_hr,Max_capacity_tonne_per_hr,Biomass_min_consumption,Biomass_max_consumption
CA_Bio_NG_Herb,1,1,1.721,18.19,0.516,0,1,867993.28,500251.36,9.0384,0.208,0,0,0,1000000,0.85,0.9
NW_Bio_NG_Herb,2,1,1.726,18.23,0.516,0,1,867993.28,500251.36,9.0384,0.208,0,0,0,1000000,0.85,0.9
SW_Bio_NG_Herb,3,1,1.71,18.11,0.516,0,1,867993.28,500251.36,9.0384,0.208,0,0,0,1000000,0.85,0.9
TX_Bio_NG_Herb,4,1,1.714,18.15,0.516,0,1,867993.28,500251.36,9.0384,0.208,0,0,0,1000000,0.85,0.9
NCEN_Bio_NG_Herb,5,1,1.74,18.34,0.516,0,1,867993.28,500251.36,9.0384,0.208,0,0,0,1000000,0.85,0.9
CEN_Bio_NG_Herb,6,1,1.723,18.23,0.516,0,1,867993.28,500251.36,9.0384,0.208,0,0,0,1000000,0.85,0.9
SE_Bio_NG_Herb,7,1,1.717,18.2,0.516,0,1,867993.28,500251.36,9.0384,0.208,0,0,0,1000000,0.85,0.9
MIDAT_Bio_NG_Herb,8,1,1.736,18.3,0.516,0,1,867993.28,500251.36,9.0384,0.208,0,0,0,1000000,0.85,0.9
NE_Bio_NG_Herb,9,1,1.745,18.37,0.516,0,1,867993.28,500251.36,9.0384,0.208,0,0,0,1000000,0.85,0.9
CA_Bio_NG_CCS_40_Herb,1,1,1.721,18.19,0.512,0,1,1015075.04,586130.72,9.7552,0.2528,0,0.3951,0,1000000,0.85,0.9
NW_Bio_NG_CCS_40_Herb,2,1,1.726,18.23,0.512,0,1,1015075.04,586130.72,9.7552,0.2528,0,0.3951,0,1000000,0.85,0.9
SW_Bio_NG_CCS_40_Herb,3,1,1.71,18.11,0.512,0,1,1015075.04,586130.72,9.7552,0.2528,0,0.3951,0,1000000,0.85,0.9
TX_Bio_NG_CCS_40_Herb,4,1,1.714,18.15,0.512,0,1,1015075.04,586130.72,9.7552,0.2528,0,0.3951,0,1000000,0.85,0.9
NCEN_Bio_NG_CCS_40_Herb,5,1,1.74,18.34,0.512,0,1,1015075.04,586130.72,9.7552,0.2528,0,0.3951,0,1000000,0.85,0.9
CEN_Bio_NG_CCS_40_Herb,6,1,1.723,18.23,0.512,0,1,1015075.04,586130.72,9.7552,0.2528,0,0.3951,0,1000000,0.85,0.9
SE_Bio_NG_CCS_40_Herb,7,1,1.717,18.2,0.512,0,1,1015075.04,586130.72,9.7552,0.2528,0,0.3951,0,1000000,0.85,0.9
MIDAT_Bio_NG_CCS_40_Herb,8,1,1.736,18.3,0.512,0,1,1015075.04,586130.72,9.7552,0.2528,0,0.3951,0,1000000,0.85,0.9
NE_Bio_NG_CCS_40_Herb,9,1,1.745,18.37,0.512,0,1,1015075.04,586130.72,9.7552,0.2528,0,0.3951,0,1000000,0.85,0.9
CA_Bio_NG_Wood,1,2,1.843,19.36,0.516,0,1,867993.28,500251.36,9.0384,0.208,0,0,0,1000000,0.85,0.9
NW_Bio_NG_Wood,2,2,1.818,19.32,0.516,0,1,867993.28,500251.36,9.0384,0.208,0,0,0,1000000,0.85,0.9
SW_Bio_NG_Wood,3,2,1.798,19.14,0.516,0,1,867993.28,500251.36,9.0384,0.208,0,0,0,1000000,0.85,0.9
TX_Bio_NG_Wood,4,2,1.821,18.99,0.516,0,1,867993.28,500251.36,9.0384,0.208,0,0,0,1000000,0.85,0.9
NCEN_Bio_NG_Wood,5,2,1.802,19.06,0.516,0,1,867993.28,500251.36,9.0384,0.208,0,0,0,1000000,0.85,0.9
CEN_Bio_NG_Wood,6,2,1.802,19.07,0.516,0,1,867993.28,500251.36,9.0384,0.208,0,0,0,1000000,0.85,0.9
SE_Bio_NG_Wood,7,2,1.821,19.14,0.516,0,1,867993.28,500251.36,9.0384,0.208,0,0,0,1000000,0.85,0.9
MIDAT_Bio_NG_Wood,8,2,1.806,19.01,0.516,0,1,867993.28,500251.36,9.0384,0.208,0,0,0,1000000,0.85,0.9
NE_Bio_NG_Wood,9,2,1.826,18.89,0.516,0,1,867993.28,500251.36,9.0384,0.208,0,0,0,1000000,0.85,0.9
CA_Bio_NG_CCS_40_Wood,1,2,1.843,19.36,0.512,0,1,1015075.04,586130.72,9.7552,0.2528,0,0.3951,0,1000000,0.85,0.9
NW_Bio_NG_CCS_40_Wood,2,2,1.818,19.32,0.512,0,1,1015075.04,586130.72,9.7552,0.2528,0,0.3951,0,1000000,0.85,0.9
SW_Bio_NG_CCS_40_Wood,3,2,1.798,19.14,0.512,0,1,1015075.04,586130.72,9.7552,0.2528,0,0.3951,0,1000000,0.85,0.9
TX_Bio_NG_CCS_40_Wood,4,2,1.821,18.99,0.512,0,1,1015075.04,586130.72,9.7552,0.2528,0,0.3951,0,1000000,0.85,0.9
NCEN_Bio_NG_CCS_40_Wood,5,2,1.802,19.06,0.512,0,1,1015075.04,586130.72,9.7552,0.2528,0,0.3951,0,1000000,0.85,0.9
CEN_Bio_NG_CCS_40_Wood,6,2,1.802,19.07,0.512,0,1,1015075.04,586130.72,9.7552,0.2528,0,0.3951,0,1000000,0.85,0.9
SE_Bio_NG_CCS_40_Wood,7,2,1.821,19.14,0.512,0,1,1015075.04,586130.72,9.7552,0.2528,0,0.3951,0,1000000,0.85,0.9
