Voll,Demand_Segment,Segment_Cost_of_Demand_Curtailment_Fraction,Max_Demand_Curtailment,Rep_Periods,Timesteps_per_Rep_Period,Sub_Weights,Time_Index,Load_H2_MW_z1,Load_H2_MW_z2,Load_H2_MW_z3
42307.69231,1,1,0,1,8760,8760,1,14771.25,7365.93,1811.94
,,,,,,,2,14771.25,7365.93,1811.94
,,,,,,,3,14771.25,7365.93,1811.94
,,,,,,,4,14771.25,7365.93,1811.94
,,,,,,,5,14771.25,7365.93,1811.94
,,,,,,,6,14771.25,7365.93,1811.94
,,,,,,,7,14771.25,7365.93,1811.94
,,,,,,,8,14771.25,7365.93,1811.94
,,,,,,,9,14771.25,7365.93,1811.94
,,,,,,,10,14771.25,7365.93,1811.94
,,,,,,,11,14771.25,7365.93,1811.94
,,,,,,,12,14771.25,7365.93,1811.94
,,,,,,,13,14771.25,7365.93,1811.94
,,,,,,,14,14771.25,7365.93,1811.94
,,,,,,,15,14771.25,7365.93,1811.94
,,,,,,,16,14771.25,7365.93,1811.94
,,,,,,,17,14771.25,7365.93,1811.94
,,,,,,,18,14771.25,7365.93,1811.94
,,,,,,,19,14771.25,7365.93,1811.94
,,,,,,,20,14771.25,7365.93,1811.94
,,,,,,,21,14771.25,7365.93,1811.94
,,,,,,,22,14771.25,7365.93,1811.94
,,,,,,,23,14771.25,7365.93,1811.94
,,,,,,,24,14771.25,7365.93,1811.94
,,,,,,,25,14771.25,7365.93,1811.94
,,,,,,,26,14771.25,7365.93,1811.94
,,,,,,,27,14771.25,7365.93,1811.94
,,,,,,,28,14771.25,7365.93,1811.94
,,,,,,,29,14771.25,7365.93,1811.94
,,,,,,,30,14771.25,7365.93,1811.94
,,,,,,,31,14771.25,7365.93,1811.94
,,,,,,,32,14771.25,7365.93,1811.94
,,,,,,,33,14771.25,7365.93,1811.94
,,,,,,,34,14771.25,7365.93,1811.94
,,,,,,,35,14771.25,7365.93,1811.94
,,,,,,,36,14771.25,7365.93,1811.94
,,,,,,,37,14771.25,7365.93,1811.94
,,,,,,,38,14771.25,7365.93,1811.94
,,,,,,,39,14771.25,7365.93,1811.94
,,,,,,,40,14771.25,7365.93,1811.94
,,,,,,,41,14771.25,7365.93,1811.94
,,,,,,,42,14771.25,7365.93,1811.94
,,,,,,,43,14771.25,7365.93,1811.94
,,,,,,,44,14771.25,7365.93,1811.94
,,,,,,,45,14771.25,7365.93,1811.94
,,,,,,,46,14771.25,7365.93,1811.94
,,,,,,,47,14771.25,7365.93,1811.94
,,,,,,,48,14771.25,7365.93,1811.94
,,,,,,,49,14771.25,7365.93,1811.94
,,,,,,,50,14771.25,7365.93,1811.94
,,,,,,,51,14771.25,7365.93,1811.94
,,,,,,,52,14771.25,7365.93,1811.94
,,,,,,,53,14771.25,7365.93,1811.94
,,,,,,,54,14771.25,7365.93,1811.94
,,,,,,,55,14771.25,7365.93,1811.94
,,,,,,,56,14771.25,7365.93,1811.94
,,,,,,,57,14771.25,7365.93,1811.94
,,,,,,,58,14771.25,7365.93,1811.94
,,,,,,,59,14771.25,7365.93,1811.94
,,,,,,,60,14771.25,7365.93,1811.94
,,,,,,,61,14771.25,7365.93,1811.94
,,,,,,,62,14771.25,7365.93,1811.94
,,,,,,,63,14771.25,7365.93,1811.94
,,,,,,,64,14771.25,7365.93,1811.94
,,,,,,,65,14771.25,7365.93,1811.94
,,,,,,,66,14771.25,7365.93,1811.94
,,,,,,,67,14771.25,7365.93,1811.94
,,,,,,,68,14771.25,7365.93,1811.94
,,,,,,,69,14771.25,7365.93,1811.94
,,,,,,,70,14771.25,7365.93,1811.94
,,,,,,,71,14771.25,7365.93,1811.94
,,,,,,,72,14771.25,7365.93,1811.94
,,,,,,,73,14771.25,7365.93,1811.94
,,,,,,,74,14771.25,7365.93,1811.94
,,,,,,,75,14771.25,7365.93,1811.94
,,,,,,,76,14771.25,7365.93,1811.94
,,,,,,,77,14771.25,7365.93,1811.94
,,,,,,,78,14771.25,7365.93,1811.94
,,,,,,,79,14771.25,7365.93,1811.94
,,,,,,,80,14771.25,7365.93,1811.94
,,,,,,,81,14771.25,7365.93,1811.94
,,,,,,,82,14771.25,7365.93,1811.94
,,,,,,,83,14771.25,7365.93,1811.94
,,,,,,,84,14771.25,7365.93,1811.94
,,,,,,,85,14771.25,7365.93,1811.94
,,,,,,,86,14771.25,7365.93,1811.94
,,,,,,,87,14771.25,7365.93,1811.94
,,,,,,,88,14771.25,7365.93,1811.94
,,,,,,,89,14771.25,7365.93,1811.94
,,,,,,,90,14771.25,7365.93,1811.94
,,,,,,,91,14771.25,7365.93,1811.94
,,,,,,,92,14771.25,7365.93,1811.94
,,,,,,,93,14771.25,7365.93,1811.94
,,,,,,,94,14771.25,7365.93,1811.94
,,,,,,,95,14771.25,7365.93,1811.94
,,,,,,,96,14771.25,7365.93,1811.94
,,,,,,,97,14771.25,7365.93,1811.94
,,,,,,,98,14771.25,7365.93,1811.94
,,,,,,,99,14771.25,7365.93,1811.94
,,,,,,,100,14771.25,7365.93,1811.94
,,,,,,,101,14771.25,7365.93,1811.94
,,,,,,,102,14771.25,7365.93,1811.94
,,,,,,,103,14771.25,7365.93,1811.94
,,,,,,,104,14771.25,7365.93,1811.94
,,,,,,,105,14771.25,7365.93,1811.94
,,,,,,,106,14771.25,7365.93,1811.94
,,,,,,,107,14771.25,7365.93,1811.94
,,,,,,,108,14771.25,7365.93,1811.94
,,,,,,,109,14771.25,7365.93,1811.94
,,,,,,,110,14771.25,7365.93,1811.94
,,,,,,,111,14771.25,7365.93,1811.94
,,,,,,,112,14771.25,7365.93,1811.94
,,,,,,,113,14771.25,7365.93,1811.94
,,,,,,,114,14771.25,7365.93,1811.94
,,,,,,,115,14771.25,7365.93,1811.94
,,,,,,,116,14771.25,7365.93,1811.94
,,,,,,,117,14771.25,7365.93,1811.94
,,,,,,,118,14771.25,7365.93,1811.94
,,,,,,,119,14771.25,7365.93,1811.94
,,,,,,,120,14771.25,7365.93,1811.94
,,,,,,,121,14771.25,7365.93,1811.94
,,,,,,,122,14771.25,7365.93,1811.94
,,,,,,,123,14771.25,7365.93,1811.94
,,,,,,,124,14771.25,7365.93,1811.94
,,,,,,,125,14771.25,7365.93,1811.94
,,,,,,,126,14771.25,7365.93,1811.94
,,,,,,,127,14771.25,7365.93,1811.94
,,,,,,,128,14771.25,7365.93,1811.94
,,,,,,,129,14771.25,7365.93,1811.94
,,,,,,,130,14771.25,7365.93,1811.94
,,,,,,,131,14771.25,7365.93,1811.94
,,,,,,,132,14771.25,7365.93,1811.94
,,,,,,,133,14771.25,7365.93,1811.94
,,,,,,,134,14771.25,7365.93,1811.94
,,,,,,,135,14771.25,7365.93,1811.94
,,,,,,,136,14771.25,7365.93,1811.94
,,,,,,,137,14771.25,7365.93,1811.94
,,,,,,,138,14771.25,7365.93,1811.94
,,,,,,,139,14771.25,7365.93,1811.94
,,,,,,,140,14771.25,7365.93,1811.94
,,,,,,,141,14771.25,7365.93,1811.94
,,,,,,,142,14771.25,7365.93,1811.94
,,,,,,,143,14771.25,7365.93,1811.94
,,,,,,,144,14771.25,7365.93,1811.94
,,,,,,,145,14771.25,7365.93,1811.94
,,,,,,,146,14771.25,7365.93,1811.94
,,,,,,,147,14771.25,7365.93,1811.94
,,,,,,,148,14771.25,7365.93,1811.94
,,,,,,,149,14771.25,7365.93,1811.94
,,,,,,,150,14771.25,7365.93,1811.94
,,,,,,,151,14771.25,7365.93,1811.94
,,,,,,,152,14771.25,7365.93,1811.94
,,,,,,,153,14771.25,7365.93,1811.94
,,,,,,,154,14771.25,7365.93,1811.94
,,,,,,,155,14771.25,7365.93,1811.94
,,,,,,,156,14771.25,7365.93,1811.94
,,,,,,,157,14771.25,7365.93,1811.94
,,,,,,,158,14771.25,7365.93,1811.94
,,,,,,,159,14771.25,7365.93,1811.94
,,,,,,,160,14771.25,7365.93,1811.94
,,,,,,,161,14771.25,7365.93,1811.94
,,,,,,,162,14771.25,7365.93,1811.94
,,,,,,,163,14771.25,7365.93,1811.94
,,,,,,,164,14771.25,7365.93,1811.94
,,,,,,,165,14771.25,7365.93,1811.94
,,,,,,,166,14771.25,7365.93,1811.94
,,,,,,,167,14771.25,7365.93,1811.94
,,,,,,,168,14771.25,7365.93,1811.94
,,,,,,,169,14771.25,7365.93,1811.94
,,,,,,,170,14771.25,7365.93,1811.94
,,,,,,,171,14771.25,7365.93,1811.94
,,,,,,,172,14771.25,7365.93,1811.94
,,,,,,,173,14771.25,7365.93,1811.94
,,,,,,,174,14771.25,7365.93,1811.94
,,,,,,,175,14771.25,7365.93,1811.94
,,,,,,,176,14771.25,7365.93,1811.94
,,,,,,,177,14771.25,7365.93,1811.94
,,,,,,,178,14771.25,7365.93,1811.94
,,,,,,,179,14771.25,7365.93,1811.94
,,,,,,,180,14771.25,7365.93,1811.94
,,,,,,,181,14771.25,7365.93,1811.94
,,,,,,,182,14771.25,7365.93,1811.94
,,,,,,,183,14771.25,7365.93,1811.94
,,,,,,,184,14771.25,7365.93,1811.94
,,,,,,,185,14771.25,7365.93,1811.94
,,,,,,,186,14771.25,7365.93,1811.94
,,,,,,,187,14771.25,7365.93,1811.94
,,,,,,,188,14771.25,7365.93,1811.94
,,,,,,,189,14771.25,7365.93,1811.94
,,,,,,,190,14771.25,7365.93,1811.94
,,,,,,,191,14771.25,7365.93,1811.94
,,,,,,,192,14771.25,7365.93,1811.94
,,,,,,,193,14771.25,7365.93,1811.94
,,,,,,,194,14771.25,7365.93,1811.94
,,,,,,,195,14771.25,7365.93,1811.94
,,,,,,,196,14771.25,7365.93,1811.94
,,,,,,,197,14771.25,7365.93,1811.94
,,,,,,,198,14771.25,7365.93,1811.94
,,,,,,,199,14771.25,7365.93,1811.94
,,,,,,,200,14771.25,7365.93,1811.94
,,,,,,,201,14771.25,7365.93,1811.94
,,,,,,,202,14771.25,7365.93,1811.94
,,,,,,,203,14771.25,7365.93,1811.94
,,,,,,,204,14771.25,7365.93,1811.94
,,,,,,,205,14771.25,7365.93,1811.94
,,,,,,,206,14771.25,7365.93,1811.94
,,,,,,,207,14771.25,7365.93,1811.94
,,,,,,,208,14771.25,7365.93,1811.94
,,,,,,,209,14771.25,7365.93,1811.94
,,,,,,,210,14771.25,7365.93,1811.94
,,,,,,,211,14771.25,7365.93,1811.94
,,,,,,,212,14771.25,7365.93,1811.94
,,,,,,,213,14771.25,7365.93,1811.94
,,,,,,,214,14771.25,7365.93,1811.94
,,,,,,,215,14771.25,7365.93,1811.94
,,,,,,,216,14771.25,7365.93,1811.94
,,,,,,,217,14771.25,7365.93,1811.94
,,,,,,,218,14771.25,7365.93,1811.94
,,,,,,,219,14771.25,7365.93,1811.94
,,,,,,,220,14771.25,7365.93,1811.94
,,,,,,,221,14771.25,7365.93,1811.94
,,,,,,,222,14771.25,7365.93,1811.94
,,,,,,,223,14771.25,7365.93,1811.94
,,,,,,,224,14771.25,7365.93,1811.94
,,,,,,,225,14771.25,7365.93,1811.94
,,,,,,,226,14771.25,7365.93,1811.94
,,,,,,,227,14771.25,7365.93,1811.94
,,,,,,,228,14771.25,7365.93,1811.94
,,,,,,,229,14771.25,7365.93,1811.94
,,,,,,,230,14771.25,7365.93,1811.94
,,,,,,,231,14771.25,7365.93,1811.94
,,,,,,,232,14771.25,7365.93,1811.94
,,,,,,,233,14771.25,7365.93,1811.94
,,,,,,,234,14771.25,7365.93,1811.94
,,,,,,,235,14771.25,7365.93,1811.94
,,,,,,,236,14771.25,7365.93,1811.94
,,,,,,,237,14771.25,7365.93,1811.94
,,,,,,,238,14771.25,7365.93,1811.94
,,,,,,,239,14771.25,7365.93,1811.94
,,,,,,,240,14771.25,7365.93,1811.94
,,,,,,,241,14771.25,7365.93,1811.94
,,,,,,,242,14771.25,7365.93,1811.94
,,,,,,,243,14771.25,7365.93,1811.94
,,,,,,,244,14771.25,7365.93,1811.94
,,,,,,,245,14771.25,7365.93,1811.94
,,,,,,,246,14771.25,7365.93,1811.94
,,,,,,,247,14771.25,7365.93,1811.94
,,,,,,,248,14771.25,7365.93,1811.94
,,,,,,,249,14771.25,7365.93,1811.94
,,,,,,,250,14771.25,7365.93,1811.94
,,,,,,,251,14771.25,7365.93,1811.94
,,,,,,,252,14771.25,7365.93,1811.94
,,,,,,,253,14771.25,7365.93,1811.94
,,,,,,,254,14771.25,7365.93,1811.94
,,,,,,,255,14771.25,7365.93,1811.94
,,,,,,,256,14771.25,7365.93,1811.94
,,,,,,,257,14771.25,7365.93,1811.94
,,,,,,,258,14771.25,7365.93,1811.94
,,,,,,,259,14771.25,7365.93,1811.94
,,,,,,,260,14771.25,7365.93,1811.94
,,,,,,,261,14771.25,7365.93,1811.94
,,,,,,,262,14771.25,7365.93,1811.94
,,,,,,,263,14771.25,7365.93,1811.94
,,,,,,,264,14771.25,7365.93,1811.94
