Resource,Small Electrolyzer,Large Electrolyzer,Small SMR,Large SMR,Large SMR with CCS 90%,Large SMR with CCS 56%,ATR,ATR with CCS,ATR with CCS 95%
Zone,1,1,1,1,1,1,1,1,1
AnnualSum,21785.715,5691.107,0.0,0.0,0.0,0.0,0.0,0.0,0.0
