,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand
Zone,1,1,1,1,1,1,1,1,1,1
AnnualSum,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-13738.410714285714
t1,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-11162.0
t2,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-10556.0
t3,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-10105.0
t4,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-9878.0
t5,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-9843.0
t6,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-10017.0
t7,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-10390.0
t8,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-10727.0
t9,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-11298.0
t10,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-11859.0
t11,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-12196.0
t12,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-12321.0
t13,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-12381.0
t14,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-12270.0
t15,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-12149.0
t16,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-12219.0
t17,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-13410.0
t18,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-14539.0
t19,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-14454.0
t20,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-14012.0
t21,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-13494.0
t22,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-12772.0
t23,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-11877.0
t24,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-10874.0
t25,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-10025.0
t26,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-9511.0
t27,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-9264.0
t28,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-9208.0
t29,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-9410.0
t30,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-9924.0
t31,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-10696.0
t32,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-11329.0
t33,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-12105.0
t34,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-12899.0
t35,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-13482.0
t36,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-13721.0
t37,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-13699.0
t38,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-13611.0
t39,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-13568.0
t40,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-13774.0
t41,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-15066.0
t42,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-16373.999999999998
t43,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-16230.0
t44,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-15838.0
t45,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-15197.0
t46,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-14189.0
t47,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-12940.0
t48,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-11808.0
t49,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-11057.0
t50,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-10682.0
t51,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-10502.0
t52,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-10524.0
t53,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-10901.0
t54,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-12021.0
t55,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-14003.0
t56,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-15113.0
t57,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-15301.0
t58,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-15406.0
t59,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-15544.0
