,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand
t60,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-15570.0
t61,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-15507.0
t62,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-15485.0
t63,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-15426.0
t64,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-15639.0
t65,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-16860.0
t66,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-18195.0
t67,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-18230.0
t68,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-17924.0
t69,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-17341.0
t70,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-16318.000000000002
t71,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-14952.0
t72,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-13756.0
t73,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-13012.0
t74,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-12621.0
t75,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-12422.0
t76,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-12444.0
t77,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-12784.0
t78,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-13840.0
t79,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-15761.0
t80,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-16807.0
t81,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-16828.0
t82,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-16783.0
t83,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-16745.0
t84,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-16581.0
t85,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-16344.000000000002
t86,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-16204.0
t87,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-16076.0
t88,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-16242.0
t89,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-17378.0
t90,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-18302.0
t91,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-18160.0
t92,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-17737.0
t93,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-17058.0
t94,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-15936.0
t95,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-14506.0
t96,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-13182.0
t97,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-12336.0
t98,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-11885.0
t99,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-11656.0
t100,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-11615.0
t101,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-11913.0
t102,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-12890.0
t103,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-14747.0
t104,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-15835.0
t105,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-15951.0
t106,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-16021.0
t107,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-15949.0
t108,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-15726.0
t109,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-15531.0
t110,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-15455.0
t111,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-15333.0
t112,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-15432.0
t113,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-16412.0
t114,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-17485.0
t115,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-17422.0
t116,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-17026.0
t117,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-16390.0
t118,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-15340.0
t119,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-13927.0
t120,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-12708.0
t121,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-11909.0
t122,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-11476.0
t123,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-11254.0
t124,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-11199.0
t125,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-11472.0
t126,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-12442.0
t127,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-14265.0
t128,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-15358.0
t129,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-15484.0
t130,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-15500.0
t131,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-15432.0
t132,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-15203.0
t133,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-14952.0
t134,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-14820.0
t135,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-14614.0
t136,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-14685.0
t137,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-15541.0
t138,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-16361.999999999998
t139,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-16100.000000000002
t140,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-15635.0
t141,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-15017.0
t142,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-14212.0
t143,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-13116.0
t144,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-11990.0
t145,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-11119.0
t146,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-10636.0
t147,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-10373.0
t148,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-10268.0
t149,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-10370.0
t150,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-10765.0
t151,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-11478.0
t152,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-12230.0
t153,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-13001.0
t154,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-13466.0
t155,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-13597.0
t156,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-13488.0
t157,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-13240.0
t158,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-12960.0
t159,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-12764.0
t160,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-12899.0
t161,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-13844.0
t162,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-14791.0
t163,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-14618.0
t164,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-14149.0
t165,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-13704.0
t166,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-13063.0
t167,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-12224.0
t168,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-11302.0
t169,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-10528.0
t170,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-10079.0
t171,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-9814.0
t172,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-9743.0
t173,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-9817.0
t174,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-10103.0
t175,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-10655.0
t176,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-11234.0
t177,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-12040.0
t178,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-12664.0
t179,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-13058.0
t180,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-13304.0
t181,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-13346.0
t182,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-13271.0
t183,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-13225.0
t184,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-13411.0
t185,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-14561.0
t186,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-15757.0
t187,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-15733.0
t188,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-15326.0
t189,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-14794.0
t190,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-13922.0
t191,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-12773.0
t192,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-11768.0
t193,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-11109.0
t194,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-10793.0
t195,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-10675.0
t196,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-10715.0
t197,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-11103.0
t198,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-12217.0
t199,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-14223.0
t200,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-15383.0
t201,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-15496.0
t202,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-15511.0
t203,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-15504.0
t204,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-15371.0
t205,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-15111.0
t206,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-14949.0
t207,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-14740.0
t208,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-14789.0
t209,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-15785.0
t210,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-17126.0
t211,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-17084.0
t212,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-16626.0
t213,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-15960.0
t214,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-14863.0
t215,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-13465.0
t216,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-12228.0
t217,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-11417.0
t218,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-11012.0
t219,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-10791.0
t220,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-10775.0
t221,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-11087.0
t222,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-12116.0
t223,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-14067.0
t224,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-15110.0
t225,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-15165.0
t226,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-15241.0
t227,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-15247.0
t228,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-15100.0
t229,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-14851.0
t230,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-14724.0
t231,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-14591.0
t232,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-14690.0
t233,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-15653.0
t234,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-16746.0
t235,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-16624.0
t236,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-16212.0
t237,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-15603.0
t238,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-14575.0
t239,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-13219.0
t240,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-12040.0
t241,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-11294.0
t242,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-10919.0
t243,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-10746.0
t244,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-10795.0
t245,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-11133.0
t246,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-12246.0
t247,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-14208.0
t248,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-15246.0
t249,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-15247.0
t250,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-15156.0
t251,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-15102.0
t252,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-14981.0
t253,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-14770.0
t254,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-14686.0
t255,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-14545.0
t256,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-14644.0
t257,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-15591.0
t258,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-16752.0
t259,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-16689.0
t260,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-16277.999999999998
t261,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-15654.0
t262,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-14582.0
t263,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-13189.0
t264,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-11960.0
t265,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-11150.0
t266,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-10705.0
t267,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-10495.0
t268,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-10490.0
t269,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-10816.0
t270,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-11833.0
t271,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-13662.0
t272,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-14926.0
t273,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-15276.0
t274,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-15527.0
t275,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-15744.0
t276,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-15800.0
t277,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-15738.0
t278,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-15668.0
t279,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-15460.0
t280,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-15424.0
t281,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-16160.0
t282,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-16994.0
t283,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-16821.0
t284,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-16322.0
t285,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-15636.0
t286,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-14537.0
t287,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-13154.0
t288,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-11951.0
t289,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-11107.0
t290,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-10682.0
t291,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-10480.0
t292,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-10443.0
