Biorefinery,Zone,Biomass_type,Biomass_carbon_tonne_CO2_per_tonne,Biomass_energy_MMBtu_per_tonne,Biorefinery_efficiency,BioElectricity_fraction,BioGasoline_fraction,BioJetfuel_fraction,BioDiesel_fraction,Inv_Cost_per_tonne_per_hr_yr,Fixed_OM_Cost_per_tonne_per_hr_yr,Var_OM_per_tonne,Power_consumption_MWh_per_tonne,NG_consumption_MMBtu_per_tonne,CCS_Rate,Min_capacity_tonne_per_hr,Max_capacity_tonne_per_hr,Biomass_min_consumption,Biomass_max_consumption
SW_FT_High_Diesel_Non_CCS_Herb,3,1,1.71,18.11,0.504,0,0.2455,0.2531,0.5014,492864.96,547339.52,0.00,2.8679,0,0,0,-1,0.85,0.9
TX_FT_High_Diesel_Non_CCS_Herb,4,1,1.714,18.15,0.504,0,0.2455,0.2531,0.5014,492864.96,547339.52,0.00,2.8679,0,0,0,-1,0.85,0.9
NCEN_FT_High_Diesel_Non_CCS_Herb,5,1,1.74,18.34,0.504,0,0.2455,0.2531,0.5014,492864.96,547339.52,0.00,2.8679,0,0,0,-1,0.85,0.9
CEN_FT_High_Diesel_Non_CCS_Herb,6,1,1.723,18.23,0.504,0,0.2455,0.2531,0.5014,492864.96,547339.52,0.00,2.8679,0,0,0,-1,0.85,0.9
SE_FT_High_Diesel_Non_CCS_Herb,7,1,1.717,18.2,0.504,0,0.2455,0.2531,0.5014,492864.96,547339.52,0.00,2.8679,0,0,0,-1,0.85,0.9
MIDAT_FT_High_Diesel_Non_CCS_Herb,8,1,1.736,18.3,0.504,0,0.2455,0.2531,0.5014,492864.96,547339.52,0.00,2.8679,0,0,0,-1,0.85,0.9
NE_FT_High_Diesel_Non_CCS_Herb,9,1,1.745,18.37,0.504,0,0.2455,0.2531,0.5014,492864.96,547339.52,0.00,2.8679,0,0,0,-1,0.85,0.9
CA_FT_High_Diesel_CCS_53_Herb,1,1,1.721,18.19,0.504,0,0.2455,0.2531,0.5014,547496.32,596414.56,1.06,2.9403,0,0.5279,0,-1,0.85,0.9
NW_FT_High_Diesel_CCS_53_Herb,2,1,1.726,18.23,0.504,0,0.2455,0.2531,0.5014,547496.32,596414.56,1.06,2.9403,0,0.5279,0,-1,0.85,0.9
SW_FT_High_Diesel_CCS_53_Herb,3,1,1.71,18.11,0.504,0,0.2455,0.2531,0.5014,547496.32,596414.56,1.06,2.9403,0,0.5279,0,-1,0.85,0.9
TX_FT_High_Diesel_CCS_53_Herb,4,1,1.714,18.15,0.504,0,0.2455,0.2531,0.5014,547496.32,596414.56,1.06,2.9403,0,0.5279,0,-1,0.85,0.9
NCEN_FT_High_Diesel_CCS_53_Herb,5,1,1.74,18.34,0.504,0,0.2455,0.2531,0.5014,547496.32,596414.56,1.06,2.9403,0,0.5279,0,-1,0.85,0.9
CEN_FT_High_Diesel_CCS_53_Herb,6,1,1.723,18.23,0.504,0,0.2455,0.2531,0.5014,547496.32,596414.56,1.06,2.9403,0,0.5279,0,-1,0.85,0.9
SE_FT_High_Diesel_CCS_53_Herb,7,1,1.717,18.2,0.504,0,0.2455,0.2531,0.5014,547496.32,596414.56,1.06,2.9403,0,0.5279,0,-1,0.85,0.9
MIDAT_FT_High_Diesel_CCS_53_Herb,8,1,1.736,18.3,0.504,0,0.2455,0.2531,0.5014,547496.32,596414.56,1.06,2.9403,0,0.5279,0,-1,0.85,0.9
NE_FT_High_Diesel_CCS_53_Herb,9,1,1.745,18.37,0.504,0,0.2455,0.2531,0.5014,547496.32,596414.56,1.06,2.9403,0,0.5279,0,-1,0.85,0.9
CA_FT_High_Diesel_CCS_99_Herb,1,1,1.721,18.19,0.504,0,0.2455,0.2531,0.5014,644392,646477.44,4.26,3.5965,0,0.9953,0,-1,0.85,0.9
NW_FT_High_Diesel_CCS_99_Herb,2,1,1.726,18.23,0.504,0,0.2455,0.2531,0.5014,644392,646477.44,4.26,3.5965,0,0.9953,0,-1,0.85,0.9
SW_FT_High_Diesel_CCS_99_Herb,3,1,1.71,18.11,0.504,0,0.2455,0.2531,0.5014,644392,646477.44,4.26,3.5965,0,0.9953,0,-1,0.85,0.9
TX_FT_High_Diesel_CCS_99_Herb,4,1,1.714,18.15,0.504,0,0.2455,0.2531,0.5014,644392,646477.44,4.26,3.5965,0,0.9953,0,-1,0.85,0.9
NCEN_FT_High_Diesel_CCS_99_Herb,5,1,1.74,18.34,0.504,0,0.2455,0.2531,0.5014,644392,646477.44,4.26,3.5965,0,0.9953,0,-1,0.85,0.9
CEN_FT_High_Diesel_CCS_99_Herb,6,1,1.723,18.23,0.504,0,0.2455,0.2531,0.5014,644392,646477.44,4.26,3.5965,0,0.9953,0,-1,0.85,0.9
SE_FT_High_Diesel_CCS_99_Herb,7,1,1.717,18.2,0.504,0,0.2455,0.2531,0.5014,644392,646477.44,4.26,3.5965,0,0.9953,0,-1,0.85,0.9
MIDAT_FT_High_Diesel_CCS_99_Herb,8,1,1.736,18.3,0.504,0,0.2455,0.2531,0.5014,644392,646477.44,4.26,3.5965,0,0.9953,0,-1,0.85,0.9
NE_FT_High_Diesel_CCS_99_Herb,9,1,1.745,18.37,0.504,0,0.2455,0.2531,0.5014,644392,646477.44,4.26,3.5965,0,0.9953,0,-1,0.85,0.9
CA_FT_High_Jetfuel_CCS_75_Herb,1,1,1.721,18.19,0.468,0.3104,0.1264,0.5632,0,756402.08,344508.64,49.22,0,0,0.7475,0,-1,0.85,0.9
NW_FT_High_Jetfuel_CCS_75_Herb,2,1,1.726,18.23,0.468,0.3104,0.1264,0.5632,0,756402.08,344508.64,49.22,0,0,0.7475,0,-1,0.85,0.9
SW_FT_High_Jetfuel_CCS_75_Herb,3,1,1.71,18.11,0.468,0.3104,0.1264,0.5632,0,756402.08,344508.64,49.22,0,0,0.7475,0,-1,0.85,0.9
TX_FT_High_Jetfuel_CCS_75_Herb,4,1,1.714,18.15,0.468,0.3104,0.1264,0.5632,0,756402.08,344508.64,49.22,0,0,0.7475,0,-1,0.85,0.9
NCEN_FT_High_Jetfuel_CCS_75_Herb,5,1,1.74,18.34,0.468,0.3104,0.1264,0.5632,0,756402.08,344508.64,49.22,0,0,0.7475,0,-1,0.85,0.9
CEN_FT_High_Jetfuel_CCS_75_Herb,6,1,1.723,18.23,0.468,0.3104,0.1264,0.5632,0,756402.08,344508.64,49.22,0,0,0.7475,0,-1,0.85,0.9
SE_FT_High_Jetfuel_CCS_75_Herb,7,1,1.717,18.2,0.468,0.3104,0.1264,0.5632,0,756402.08,344508.64,49.22,0,0,0.7475,0,-1,0.85,0.9
MIDAT_FT_High_Jetfuel_CCS_75_Herb,8,1,1.736,18.3,0.468,0.3104,0.1264,0.5632,0,756402.08,344508.64,49.22,0,0,0.7475,0,-1,0.85,0.9
NE_FT_High_Jetfuel_CCS_75_Herb,9,1,1.745,18.37,0.468,0.3104,0.1264,0.5632,0,756402.08,344508.64,49.22,0,0,0.7475,0,-1,0.85,0.9
CA_FT_High_Jetfuel_CCS_84_Herb,1,1,1.721,18.19,0.471,0.0983,0.165,0.7367,0,784258.72,351016.96,50.29,0,0,0.8388,0,-1,0.85,0.9
NW_FT_High_Jetfuel_CCS_84_Herb,2,1,1.726,18.23,0.471,0.0983,0.165,0.7367,0,784258.72,351016.96,50.29,0,0,0.8388,0,-1,0.85,0.9
SW_FT_High_Jetfuel_CCS_84_Herb,3,1,1.71,18.11,0.471,0.0983,0.165,0.7367,0,784258.72,351016.96,50.29,0,0,0.8388,0,-1,0.85,0.9
TX_FT_High_Jetfuel_CCS_84_Herb,4,1,1.714,18.15,0.471,0.0983,0.165,0.7367,0,784258.72,351016.96,50.29,0,0,0.8388,0,-1,0.85,0.9
NCEN_FT_High_Jetfuel_CCS_84_Herb,5,1,1.74,18.34,0.471,0.0983,0.165,0.7367,0,784258.72,351016.96,50.29,0,0,0.8388,0,-1,0.85,0.9
CEN_FT_High_Jetfuel_CCS_84_Herb,6,1,1.723,18.23,0.471,0.0983,0.165,0.7367,0,784258.72,351016.96,50.29,0,0,0.8388,0,-1,0.85,0.9
SE_FT_High_Jetfuel_CCS_84_Herb,7,1,1.717,18.2,0.471,0.0983,0.165,0.7367,0,784258.72,351016.96,50.29,0,0,0.8388,0,-1,0.85,0.9
MIDAT_FT_High_Jetfuel_CCS_84_Herb,8,1,1.736,18.3,0.471,0.0983,0.165,0.7367,0,784258.72,351016.96,50.29,0,0,0.8388,0,-1,0.85,0.9
NE_FT_High_Jetfuel_CCS_84_Herb,9,1,1.745,18.37,0.471,0.0983,0.165,0.7367,0,784258.72,351016.96,50.29,0,0,0.8388,0,-1,0.85,0.9
CA_FT_High_Jetfuel_CCS_99_Herb,1,1,1.721,18.19,0.418,0.2282,0.1414,0.6304,0,818543.04,359028.32,52.08,0,0,0.9903,0,-1,0.85,0.9
NW_FT_High_Jetfuel_CCS_99_Herb,2,1,1.726,18.23,0.418,0.2282,0.1414,0.6304,0,818543.04,359028.32,52.08,0,0,0.9903,0,-1,0.85,0.9
SW_FT_High_Jetfuel_CCS_99_Herb,3,1,1.71,18.11,0.418,0.2282,0.1414,0.6304,0,818543.04,359028.32,52.08,0,0,0.9903,0,-1,0.85,0.9
TX_FT_High_Jetfuel_CCS_99_Herb,4,1,1.714,18.15,0.418,0.2282,0.1414,0.6304,0,818543.04,359028.32,52.08,0,0,0.9903,0,-1,0.85,0.9
NCEN_FT_High_Jetfuel_CCS_99_Herb,5,1,1.74,18.34,0.418,0.2282,0.1414,0.6304,0,818543.04,359028.32,52.08,0,0,0.9903,0,-1,0.85,0.9
CEN_FT_High_Jetfuel_CCS_99_Herb,6,1,1.723,18.23,0.418,0.2282,0.1414,0.6304,0,818543.04,359028.32,52.08,0,0,0.9903,0,-1,0.85,0.9
SE_FT_High_Jetfuel_CCS_99_Herb,7,1,1.717,18.2,0.418,0.2282,0.1414,0.6304,0,818543.04,359028.32,52.08,0,0,0.9903,0,-1,0.85,0.9
MIDAT_FT_High_Jetfuel_CCS_99_Herb,8,1,1.736,18.3,0.418,0.2282,0.1414,0.6304,0,818543.04,359028.32,52.08,0,0,0.9903,0,-1,0.85,0.9
NE_FT_High_Jetfuel_CCS_99_Herb,9,1,1.745,18.37,0.418,0.2282,0.1414,0.6304,0,818543.04,359028.32,52.08,0,0,0.9903,0,-1,0.85,0.9
CA_Gasoline_Gasification_Non_CCS_Wood,1,2,1.843,19.36,0.379,0,1,0,0,356053.6,283503.36,22.04,0,0,0,0,-1,0.85,0.9
NW_Gasoline_Gasification_Non_CCS_Wood,2,2,1.818,19.32,0.379,0,1,0,0,356053.6,283503.36,22.04,0,0,0,0,-1,0.85,0.9
SW_Gasoline_Gasification_Non_CCS_Wood,3,2,1.798,19.14,0.379,0,1,0,0,356053.6,283503.36,22.04,0,0,0,0,-1,0.85,0.9
TX_Gasoline_Gasification_Non_CCS_Wood,4,2,1.821,18.99,0.379,0,1,0,0,356053.6,283503.36,22.04,0,0,0,0,-1,0.85,0.9
NCEN_Gasoline_Gasification_Non_CCS_Wood,5,2,1.802,19.06,0.379,0,1,0,0,356053.6,283503.36,22.04,0,0,0,0,-1,0.85,0.9
CEN_Gasoline_Gasification_Non_CCS_Wood,6,2,1.802,19.07,0.379,0,1,0,0,356053.6,283503.36,22.04,0,0,0,0,-1,0.85,0.9
SE_Gasoline_Gasification_Non_CCS_Wood,7,2,1.821,19.14,0.379,0,1,0,0,356053.6,283503.36,22.04,0,0,0,0,-1,0.85,0.9
MIDAT_Gasoline_Gasification_Non_CCS_Wood,8,2,1.806,19.01,0.379,0,1,0,0,356053.6,283503.36,22.04,0,0,0,0,-1,0.85,0.9
NE_Gasoline_Gasification_Non_CCS_Wood,9,2,1.826,18.89,0.379,0,1,0,0,356053.6,283503.36,22.04,0,0,0,0,-1,0.85,0.9
CA_Gasoline_Gasification_CCS_31_Wood,1,2,1.843,19.36,0.379,0,1,0,0,434628.32,354088,23.59,0.1041,0,0.3103,0,-1,0.85,0.9
NW_Gasoline_Gasification_CCS_31_Wood,2,2,1.818,19.32,0.379,0,1,0,0,434628.32,354088,23.59,0.1041,0,0.3103,0,-1,0.85,0.9
SW_Gasoline_Gasification_CCS_31_Wood,3,2,1.798,19.14,0.379,0,1,0,0,434628.32,354088,23.59,0.1041,0,0.3103,0,-1,0.85,0.9
TX_Gasoline_Gasification_CCS_31_Wood,4,2,1.821,18.99,0.379,0,1,0,0,434628.32,354088,23.59,0.1041,0,0.3103,0,-1,0.85,0.9
NCEN_Gasoline_Gasification_CCS_31_Wood,5,2,1.802,19.06,0.379,0,1,0,0,434628.32,354088,23.59,0.1041,0,0.3103,0,-1,0.85,0.9
CEN_Gasoline_Gasification_CCS_31_Wood,6,2,1.802,19.07,0.379,0,1,0,0,434628.32,354088,23.59,0.1041,0,0.3103,0,-1,0.85,0.9
SE_Gasoline_Gasification_CCS_31_Wood,7,2,1.821,19.14,0.379,0,1,0,0,434628.32,354088,23.59,0.1041,0,0.3103,0,-1,0.85,0.9
MIDAT_Gasoline_Gasification_CCS_31_Wood,8,2,1.806,19.01,0.379,0,1,0,0,434628.32,354088,23.59,0.1041,0,0.3103,0,-1,0.85,0.9
NE_Gasoline_Gasification_CCS_31_Wood,9,2,1.826,18.89,0.379,0,1,0,0,434628.32,354088,23.59,0.1041,0,0.3103,0,-1,0.85,0.9
CA_Gasoline_Gasification_CCS_99_Wood,1,2,1.843,19.36,0.379,0,1,0,0,590486.4,434613.76,28.74,1.1596,0,0.9931,0,-1,0.85,0.9
NW_Gasoline_Gasification_CCS_99_Wood,2,2,1.818,19.32,0.379,0,1,0,0,590486.4,434613.76,28.74,1.1596,0,0.9931,0,-1,0.85,0.9
SW_Gasoline_Gasification_CCS_99_Wood,3,2,1.798,19.14,0.379,0,1,0,0,590486.4,434613.76,28.74,1.1596,0,0.9931,0,-1,0.85,0.9
TX_Gasoline_Gasification_CCS_99_Wood,4,2,1.821,18.99,0.379,0,1,0,0,590486.4,434613.76,28.74,1.1596,0,0.9931,0,-1,0.85,0.9
NCEN_Gasoline_Gasification_CCS_99_Wood,5,2,1.802,19.06,0.379,0,1,0,0,590486.4,434613.76,28.74,1.1596,0,0.9931,0,-1,0.85,0.9
CEN_Gasoline_Gasification_CCS_99_Wood,6,2,1.802,19.07,0.379,0,1,0,0,590486.4,434613.76,28.74,1.1596,0,0.9931,0,-1,0.85,0.9
SE_Gasoline_Gasification_CCS_99_Wood,7,2,1.821,19.14,0.379,0,1,0,0,590486.4,434613.76,28.74,1.1596,0,0.9931,0,-1,0.85,0.9
