Syn_NG_Resource,Zone,mmbtu_syn_ng_p_tonne_co2,mwh_h2_p_tonne_co2,mwh_p_tonne_co2,Inv_Cost_p_tonne_co2_p_hr_yr,Fixed_OM_cost_p_tonne_co2_hr_yr,Var_OM_cost_p_tonne_co2,CCS_Rate,MinCapacity_tonne_p_hr,MaxCapacity_tonne_p_hr,sng_min_output,sng_max_output
CA_Syn_NG_Plant,1,18.007,7.169,0.291,91213.92,0,0,0,0,-1,0.85,0.9
NW_Syn_NG_Plant,2,18.007,7.169,0.291,91213.92,0,0,0,0,-1,0.85,0.9
SW_Syn_NG_Plant,3,18.007,7.169,0.291,91213.92,0,0,0,0,-1,0.85,0.9
TX_Syn_NG_Plant,4,18.007,7.169,0.291,91213.92,0,0,0,0,-1,0.85,0.9
NCEN_Syn_NG_Plant,5,18.007,7.169,0.291,91213.92,0,0,0,0,-1,0.85,0.9
CEN_Syn_NG_Plant,6,18.007,7.169,0.291,91213.92,0,0,0,0,-1,0.85,0.9
SE_Syn_NG_Plant,7,18.007,7.169,0.291,91213.92,0,0,0,0,-1,0.85,0.9
MIDAT_Syn_NG_Plant,8,18.007,7.169,0.291,91213.92,0,0,0,0,-1,0.85,0.9
NE_Syn_NG_Plant,9,18.007,7.169,0.291,91213.92,0,0,0,0,-1,0.85,0.9
