Resource,Zone,THERM,MUST_RUN,STOR,FLEX,HYDRO,VRE,LDS,Num_VRE_Bins,New_Build,Existing_Cap_MW,Existing_Cap_MWh,Existing_Charge_Cap_MW,Max_Cap_MW,Max_Cap_MWh,Max_Charge_Cap_MW,Min_Cap_MW,Min_Cap_MWh,Min_Charge_Cap_MW,Inv_Cost_per_MWyr,Inv_Cost_per_MWhyr,Inv_Cost_Charge_per_MWyr,Fixed_OM_Cost_per_MWyr,Fixed_OM_Cost_per_MWhyr,Fixed_OM_Cost_Charge_per_MWyr,Var_OM_Cost_per_MWh,Var_OM_Cost_per_MWh_In,VRE_Trans_Cost_per_MWyr,Heat_Rate_MMBTU_per_MWh,Fuel,NG_MMBtu_per_MWh,Cap_Size,Start_Cost_per_MW,Start_Fuel_MMBTU_per_MW,Start_NG_MMBTU_per_MW,Up_Time,Down_Time,Ramp_Up_Percentage,Ramp_Dn_Percentage,Hydro_Energy_to_Power_Ratio,Min_Power,Self_Disch,Eff_Up,Eff_Down,Min_Duration,Max_Duration,Max_Flexible_Demand_Advance,Max_Flexible_Demand_Delay,Flexible_Demand_Energy_Eff,Reg_Max,Rsv_Max,Reg_Cost,Rsv_Cost,MinCapTag,MinCapTag_1,MinCapTag_2,MinCapTag_3,MGA,Resource_Type,CapRes_1,CapRes_2,CapRes_3,CapRes_4,CapRes_5,CapRes_6,CapRes_7,CapRes_8,CapRes_9,ESR_1,ESR_2,region,cluster,LDS.1,CCS_Rate
CA_conventional_hydroelectric_1,1,0,0,0,0,1,0,0,0,-1,8768.208,0,0,0,-1,-1,0,0,0,0,0,0,45648,0,0,0,0,0,0,None,0,50.392,0,0,0,0,0,0.083,0.083,0,0.068,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,conventional_hydroelectric,0.8,0,0,0,0,0,0,0,0,0,1,CA,1,0,0
CA_hydroelectric_pumped_storage_1,1,0,0,1,0,0,0,0,0,-1,3941.888,0,0,0,-1,-1,0,0,0,0,0,0,39399,0,0,0,0,0,0,None,0,123.184,0,0,0,0,0,1,1,1,0.136,0,0.866,0.866,0,200,0,0,0,0,0,0,0,0,0,0,0,0,hydroelectric_pumped_storage,0.95,0,0,0,0,0,0,0,0,0,0,CA,1,0,0
CA_natural_gas_fired_combined_cycle_1,1,1,0,0,0,0,0,0,0,0,2350.794,0,0,0,-1,-1,0,0,0,0,0,0,16001,0,0,4.415,0,0,0,None,8.329,138.282,100.9542,0,2,6,6,0.64,0.64,1,0.461,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,natural_gas_fired_combined_cycle,0.93,0,0,0,0,0,0,0,0,0,0,CA,1,0,0
CA_natural_gas_fired_combined_cycle_2,1,1,0,0,0,0,0,0,0,0,15580.5,0,0,0,-1,-1,0,0,0,0,0,0,9981.782,0,0,3.493,0,0,0,None,7.311,458.25,100.9542,0,2,6,6,0.64,0.64,1,0.453,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,natural_gas_fired_combined_cycle,0.93,0,0,0,0,0,0,0,0,0,0,CA,2,0,0
CA_natural_gas_fired_combined_cycle_3,1,1,0,0,0,0,0,0,0,0,1683.99,0,0,0,-1,-1,0,0,0,0,0,0,16001,0,0,4.415,0,0,0,None,6.785,80.19,100.9542,0,2,6,6,0.64,0.64,1,0.453,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,natural_gas_fired_combined_cycle,0.93,0,0,0,0,0,0,0,0,0,0,CA,3,0,0
CA_natural_gas_fired_combined_cycle_4,1,1,0,0,0,0,0,0,0,0,340.698,0,0,0,-1,-1,0,0,0,0,0,0,16001,0,0,4.415,0,0,0,None,13.424,56.783,100.9542,0,2,6,6,0.64,0.64,1,0.471,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,natural_gas_fired_combined_cycle,0.93,0,0,0,0,0,0,0,0,0,0,CA,4,0,0
CA_natural_gas_fired_combustion_turbine_1,1,1,0,0,0,0,0,0,0,0,2418.186,0,0,0,-1,-1,0,0,0,0,0,0,13548,0,0,5.071,0,0,0,None,11.205,26.002,130.90146,0,3.5,1,1,0.64,0.64,1,0.486,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,natural_gas_fired_combustion_turbine,0.93,0,0,0,0,0,0,0,0,0,0,CA,1,0,0
CA_natural_gas_fired_combustion_turbine_2,1,1,0,0,0,0,0,0,0,0,5900.029,0,0,0,-1,-1,0,0,0,0,0,0,9992.107,0,0,5.071,0,0,0,None,10.48,83.099,130.90146,0,3.5,1,1,0.64,0.64,1,0.452,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,natural_gas_fired_combustion_turbine,0.93,0,0,0,0,0,0,0,0,0,0,CA,2,0,0
CA_onshore_wind_turbine_1,1,0,0,0,0,0,1,0,1,0,6063.2,0,0,0,-1,-1,0,0,0,0,0,0,43000,0,0,0,0,0,0,None,0,35.243,0,0,0,0,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,onshore_wind_turbine,0,0,0,0,0,0,0,0,0,1,1,CA,1,0,0
CA_small_hydroelectric_1,1,0,1,0,0,0,0,0,0,-1,342.916,0,0,0,-1,-1,0,0,0,0,0,0,45648,0,0,0,0,0,0,None,0,1.324,0,0,0,0,0,1,1,1,0.085247357,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,small_hydroelectric,0,0,0,0,0,0,0,0,0,1,1,CA,1,0,0
