Region_description,Network_zones,CapRes_1,CapRes_2,CapRes_3,CapRes_4,CapRes_5,CapRes_6,CapRes_7,CapRes_8,CapRes_9
CA,z1,0.1614,0,0,0,0,0,0,0,0
NW,z2,0,0.1638,0,0,0,0,0,0,0
SW,z3,0,0,0.15,0,0,0,0,0,0
TX,z4,0,0,0,0.1375,0,0,0,0,0
NCEN,z5,0,0,0,0,0.158,0,0,0,0
CEN,z6,0,0,0,0,0,0.12,0,0,0
SE,z7,0,0,0,0,0,0,0.15,0,0
MIDAT,z8,0,0,0,0,0,0,0,0.167,0
NE,z9,0,0,0,0,0,0,0,0,0.158
