Voll,Demand_Segment,Cost_of_Demand_Curtailment_per_MW,Max_Demand_Curtailment,$/MWh,Rep_Periods,Timesteps_per_Rep_Period,Sub_Weights,Time_Index,Load_MW_z1,Load_MW_z2,Load_MW_z3,Load_MW_z4,Load_MW_z5,Load_MW_z6,Load_MW_z7,Load_MW_z8,Load_MW_z9
50000,1,1,1,50000,1,8760,8760,1,46984,35681,42786,46545,77971,50704,85107,69584,38672
,,,,,,,,2,47735,35347,40669,45858,74363,49449,81088,67617,37540
,,,,,,,,3,48227,34366,38385,45610,72185,48367,80049,67714,37547
,,,,,,,,4,48280,34026,37287,46566,71601,48440,80013,67701,37418
,,,,,,,,5,49332,33737,36977,47420,71675,48480,82646,71004,39549
,,,,,,,,6,50691,33967,37205,49510,75872,50432,92216,79789,44578
,,,,,,,,7,52096,34642,39317,57622,82118,55529,97457,82796,46529
,,,,,,,,8,57010,36442,51995,59566,89767,59313,107367,90046,50651
,,,,,,,,9,73421,39837,54187,62453,97634,63168,115952,92721,52009
,,,,,,,,10,68255,40190,49928,64929,102209,64791,122596,95861,53842
,,,,,,,,11,66241,41475,49105,67495,104974,66496,125155,93904,52635
,,,,,,,,12,63259,41465,49871,65946,105606,64773,128580,95516,53614
,,,,,,,,13,64270,42041,47950,66596,107525,65343,129802,94635,53150
,,,,,,,,14,60059,39471,48043,65332,106378,64481,126979,90332,50722
,,,,,,,,15,61055,39032,47519,62332,103934,62278,126331,90396,50866
,,,,,,,,16,59175,37763,45922,61486,105316,62139,131200,94758,53787
,,,,,,,,17,56602,36126,45316,62608,109954,64147,136648,99213,56705
,,,,,,,,18,56981,36339,47056,65364,114224,67527,139817,99041,56160
,,,,,,,,19,60035,38052,50825,64718,113455,66418,138121,97675,55334
,,,,,,,,20,63920,40362,50475,63696,110888,65426,129216,90467,51153
,,,,,,,,21,62427,38237,50303,61438,104763,62335,118674,84885,47922
,,,,,,,,22,61075,37662,48524,58633,99540,60021,108031,78146,43675
,,,,,,,,23,57076,36164,46146,55978,93699,57088,98462,73146,40308
,,,,,,,,24,53463,35145,43468,55043,94602,55403,92429,74169,37808
,,,,,,,,25,48747,33948,41325,57542,91059,54910,88864,70843,35664
,,,,,,,,26,47022,33219,39093,58009,86971,54268,85577,68878,34650
