Resource,MA_natural_gas_combined_cycle,MA_solar_pv,CT_natural_gas_combined_cycle,CT_onshore_wind,CT_solar_pv,ME_natural_gas_combined_cycle,ME_onshore_wind,MA_battery,CT_battery,ME_battery
Zone,1,1,2,2,2,3,3,1,2,3
t1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.82566011531862,253.6710570860986,3200.5141116353866
t2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.82566011531862,253.6710570860986,3200.5141116353866
t3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.82566011531862,253.6710570860986,3200.5141116353866
t4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.82566011531862,253.6710570860986,3200.5141116353866
t5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.82566011531862,253.6710570860986,3200.5141116353866
t6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.82566011531862,133.82884657773494,3200.5141116353866
t7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.82566011531862,133.82884657773494,2413.430169903428
t8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.82566011531862,133.82884657773494,2413.430169903428
t9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.82566011531862,133.82884657773494,1585.9355708611945
t10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.82566011531862,133.82884657773494,827.4945990422335
t11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.82566011531862,133.82884657773494,0.0
t12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.82566011531862,0.0,0.0
t13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.82566011531862,77.35487642432068,0.0
t14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.82566011531862,190.62761216771554,0.0
t15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.82566011531862,253.6710570860986,0.0
t16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.82566011531862,253.6710570860986,0.0
t17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.82566011531862,253.6710570860986,0.0
t18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.82566011531862,253.6710570860986,700.3914286293466
t19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.82566011531862,253.6710570860986,822.7906917134314
t20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.72473988632183,253.6710570860986,1523.182120342778
t21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,253.6710570860986,2223.5735489721246
t22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,253.6710570860986,2223.5735489721246
t23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,253.6710570860986,2223.5735489721246
t24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,253.6710570860986,2923.964977601471
t25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,253.6710570860986,2941.8349709103195
t26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,253.6710570860986,3263.157407479463
t27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,253.6710570860986,3263.157407479463
t28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,253.6710570860986,3124.8323375052614
t29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,253.6710570860986,3263.157407479463
t30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.7734198397828,253.6710570860986,3263.157407479463
t31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.7734198397828,253.6710570860986,2435.6628084372296
t32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.7734198397828,253.6710570860986,2435.6628084372296
t33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.7734198397828,253.6710570860986,1608.1682093949962
t34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.05224027553582,253.6710570860986,880.8216822453514
t35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.05224027553582,253.6710570860986,880.8216822453514
t36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.82566011531862,253.6710570860986,53.32708320311792
t37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.82566011531862,253.6710570860986,53.32708320311792
t38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.82566011531862,253.6710570860986,53.32708320311792
t39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.82566011531862,253.6710570860986,53.32708320311792
t40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.82566011531862,253.6710570860986,53.32708320311792
t41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.82566011531862,253.6710570860986,53.32708320311792
t42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.82566011531862,253.6710570860986,53.32708320311792
t43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.82566011531862,253.6710570860986,53.32708320311792
t44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.100920228996788,253.6710570860986,378.78341217218934
t45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,253.6710570860986,972.4286742844868
t46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,253.6710570860986,1672.8201029138334
t47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,253.6710570860986,1672.8201029138334
t48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,253.6710570860986,1672.8201029138334
t49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,253.6710570860986,1672.8201029138334
t50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,253.6710570860986,1672.8201029138334
t51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,253.6710570860986,1672.8201029138334
t52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,253.6710570860986,1672.8201029138334
t53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,253.6710570860986,1672.8201029138334
t54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,253.6710570860986,1672.8201029138334
t55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,253.6710570860986,1672.8201029138334
t56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,253.6710570860986,1672.8201029138334
t57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,253.6710570860986,1672.8201029138334
t58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,253.6710570860986,1672.8201029138334
t59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,253.6710570860986,1672.8201029138334
t60,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,253.6710570860986,1672.8201029138334
t61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,253.6710570860986,1672.8201029138334
t62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,253.6710570860986,1672.8201029138334
t63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,253.6710570860986,1672.8201029138334
t64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,253.6710570860986,1672.8201029138334
t65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,253.6710570860986,1672.8201029138334
t66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,253.6710570860986,1672.8201029138334
t67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,240.95009525420255,1672.8201029138334
t68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,253.6710570860986,1672.8201029138334
t69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,119.84221050836368,1672.8201029138334
t70,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1672.8201029138334
t71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1672.8201029138334
t72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1672.8201029138334
t73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1672.8201029138334
t74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1672.8201029138334
t75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1672.8201029138334
t76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2321.668798826878
t77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2321.668798826878
t78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,113.27273574339486,2482.4837971267007
t79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,113.27273574339486,2482.4837971267007
t80,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,113.27273574339486,2482.4837971267007
t81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,113.27273574339486,2482.4837971267007
t82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,140.62532193928757,2482.4837971267007
t83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,140.62532193928757,2482.4837971267007
t84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,140.62532193928757,2482.4837971267007
t85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,140.62532193928757,1654.989198084467
t86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,140.62532193928757,1654.989198084467
t87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,140.62532193928757,1654.989198084467
t88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,140.62532193928757,1654.989198084467
t89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,140.62532193928757,1654.989198084467
t90,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,140.62532193928757,1654.989198084467
t91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,194.13072073927123,827.4945990422335
t92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,194.13072073927123,0.0
t93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.30187416153629,0.0
t94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,415.58520833247803
t96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1115.9766369618246
t97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1816.3680655911712
t98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2516.759494220518
t99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3217.1509228498644
t100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3263.157407479463
t101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3263.157407479463
t102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3263.157407479463
t103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3263.157407479463
t104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3161.4552559539443
