Resource,Zone,StartCap,RetCap,NewCap,EndCap
CCGT-H2_1.0,1.0,0,3.0912135605433082e-9,8.182430475230209e-6,8.179339261669665e-6
Fuel_cell_1.0,1.0,0,1.5041324719965724e-9,4.45069863758013e-6,4.4491945051081335e-6
CCGT-H2_2.0,2.0,0,3.0921137852332982e-9,8.417195834356741e-6,8.414103720571507e-6
Fuel_cell_2.0,2.0,0,1.504180065374871e-9,4.51317570907992e-6,4.511671529014545e-6
CCGT-H2_3.0,3.0,0,3.0917912472986818e-9,8.942861234738763e-6,8.939769443491464e-6
Fuel_cell_3.0,3.0,0,1.5040728043273778e-9,4.466793129424515e-6,4.465289056620188e-6
CCGT-H2_4.0,4.0,0,3.0917761484566326e-9,8.756661027013448e-6,8.753569250864991e-6
Fuel_cell_4.0,4.0,0,1.5039950966414406e-9,4.462953485300907e-6,4.461449490204265e-6
CCGT-H2_5.0,5.0,0,3.0917208802639264e-9,8.260992396391744e-6,8.25790067551148e-6
Fuel_cell_5.0,5.0,0,1.5034895402782606e-9,4.444484721220975e-6,4.442981231680697e-6
CCGT-H2_6.0,6.0,0,3.0853125621117646e-9,9.767111123805817e-6,9.764025811243705e-6
Fuel_cell_6.0,6.0,0,1.5040092448059657e-9,4.223225668182308e-6,4.221721658937502e-6
CCGT-H2_7.0,7.0,0,3.087377540034931e-9,9.174517914798854e-6,9.17143053725882e-6
Fuel_cell_7.0,7.0,0,1.5041936330620284e-9,4.4453560867575e-6,4.443851893124437e-6
CCGT-H2_8.0,8.0,0,3.0890596450394938e-9,9.65370977003541e-6,9.65062071039037e-6
Fuel_cell_8.0,8.0,0,1.5040682295976398e-9,4.441831119937884e-6,4.440327051708287e-6
CCGT-H2_9.0,9.0,0,3.0899099211253414e-9,1.0030091104864306e-5,1.0027001194943181e-5
Fuel_cell_9.0,9.0,0,1.5038835352114262e-9,4.524162421330981e-6,4.52265853779577e-6
CCGT-H2_10.0,10.0,0,3.090206681982802e-9,9.569974516458516e-6,9.566884309776533e-6
Fuel_cell_10.0,10.0,0,1.5038047390319606e-9,4.465782742615327e-6,4.464278937876295e-6
Total,n/a,0,4.594031133241772e-8,0.00013519400911912426,0.00013514806880779185
