Conventional_jetfuel_co2_per_mmbtu,Conventional_jetfuel_price_per_mmbtu,Syn_jetfuel_co2_per_mmbtu,Time_Index,Load_mmbtu_z1,Load_mmbtu_z2,Load_mmbtu_z3
0.0722,20.31,0.0722,1,59244.77,32395.61,33613.87
,,,2,59244.77,32395.61,33613.87
,,,3,59244.77,32395.61,33613.87
,,,4,59244.77,32395.61,33613.87
,,,5,59244.77,32395.61,33613.87
,,,6,59244.77,32395.61,33613.87
,,,7,59244.77,32395.61,33613.87
,,,8,59244.77,32395.61,33613.87
,,,9,59244.77,32395.61,33613.87
,,,10,59244.77,32395.61,33613.87
,,,11,59244.77,32395.61,33613.87
,,,12,59244.77,32395.61,33613.87
,,,13,59244.77,32395.61,33613.87
,,,14,59244.77,32395.61,33613.87
,,,15,59244.77,32395.61,33613.87
,,,16,59244.77,32395.61,33613.87
,,,17,59244.77,32395.61,33613.87
,,,18,59244.77,32395.61,33613.87
,,,19,59244.77,32395.61,33613.87
,,,20,59244.77,32395.61,33613.87
,,,21,59244.77,32395.61,33613.87
,,,22,59244.77,32395.61,33613.87
,,,23,59244.77,32395.61,33613.87
,,,24,59244.77,32395.61,33613.87
,,,25,59244.77,32395.61,33613.87
,,,26,59244.77,32395.61,33613.87
,,,27,59244.77,32395.61,33613.87
,,,28,59244.77,32395.61,33613.87
,,,29,59244.77,32395.61,33613.87
,,,30,59244.77,32395.61,33613.87
,,,31,59244.77,32395.61,33613.87
,,,32,59244.77,32395.61,33613.87
,,,33,59244.77,32395.61,33613.87
,,,34,59244.77,32395.61,33613.87
,,,35,59244.77,32395.61,33613.87
,,,36,59244.77,32395.61,33613.87
,,,37,59244.77,32395.61,33613.87
,,,38,59244.77,32395.61,33613.87
,,,39,59244.77,32395.61,33613.87
,,,40,59244.77,32395.61,33613.87
,,,41,59244.77,32395.61,33613.87
,,,42,59244.77,32395.61,33613.87
,,,43,59244.77,32395.61,33613.87
,,,44,59244.77,32395.61,33613.87
,,,45,59244.77,32395.61,33613.87
,,,46,59244.77,32395.61,33613.87
,,,47,59244.77,32395.61,33613.87
,,,48,59244.77,32395.61,33613.87
,,,49,59244.77,32395.61,33613.87
,,,50,59244.77,32395.61,33613.87
,,,51,59244.77,32395.61,33613.87
,,,52,59244.77,32395.61,33613.87
,,,53,59244.77,32395.61,33613.87
,,,54,59244.77,32395.61,33613.87
,,,55,59244.77,32395.61,33613.87
,,,56,59244.77,32395.61,33613.87
,,,57,59244.77,32395.61,33613.87
,,,58,59244.77,32395.61,33613.87
,,,59,59244.77,32395.61,33613.87
,,,60,59244.77,32395.61,33613.87
,,,61,59244.77,32395.61,33613.87
,,,62,59244.77,32395.61,33613.87
,,,63,59244.77,32395.61,33613.87
,,,64,59244.77,32395.61,33613.87
,,,65,59244.77,32395.61,33613.87
,,,66,59244.77,32395.61,33613.87
,,,67,59244.77,32395.61,33613.87
,,,68,59244.77,32395.61,33613.87
,,,69,59244.77,32395.61,33613.87
,,,70,59244.77,32395.61,33613.87
,,,71,59244.77,32395.61,33613.87
,,,72,59244.77,32395.61,33613.87
,,,73,59244.77,32395.61,33613.87
,,,74,59244.77,32395.61,33613.87
,,,75,59244.77,32395.61,33613.87
,,,76,59244.77,32395.61,33613.87
,,,77,59244.77,32395.61,33613.87
,,,78,59244.77,32395.61,33613.87
,,,79,59244.77,32395.61,33613.87
,,,80,59244.77,32395.61,33613.87
,,,81,59244.77,32395.61,33613.87
,,,82,59244.77,32395.61,33613.87
,,,83,59244.77,32395.61,33613.87
,,,84,59244.77,32395.61,33613.87
,,,85,59244.77,32395.61,33613.87
,,,86,59244.77,32395.61,33613.87
,,,87,59244.77,32395.61,33613.87
,,,88,59244.77,32395.61,33613.87
,,,89,59244.77,32395.61,33613.87
,,,90,59244.77,32395.61,33613.87
,,,91,59244.77,32395.61,33613.87
,,,92,59244.77,32395.61,33613.87
,,,93,59244.77,32395.61,33613.87
,,,94,59244.77,32395.61,33613.87
,,,95,59244.77,32395.61,33613.87
,,,96,59244.77,32395.61,33613.87
,,,97,59244.77,32395.61,33613.87
,,,98,59244.77,32395.61,33613.87
,,,99,59244.77,32395.61,33613.87
,,,100,59244.77,32395.61,33613.87
,,,101,59244.77,32395.61,33613.87
,,,102,59244.77,32395.61,33613.87
,,,103,59244.77,32395.61,33613.87
,,,104,59244.77,32395.61,33613.87
,,,105,59244.77,32395.61,33613.87
,,,106,59244.77,32395.61,33613.87
,,,107,59244.77,32395.61,33613.87
,,,108,59244.77,32395.61,33613.87
,,,109,59244.77,32395.61,33613.87
,,,110,59244.77,32395.61,33613.87
,,,111,59244.77,32395.61,33613.87
,,,112,59244.77,32395.61,33613.87
,,,113,59244.77,32395.61,33613.87
,,,114,59244.77,32395.61,33613.87
,,,115,59244.77,32395.61,33613.87
,,,116,59244.77,32395.61,33613.87
,,,117,59244.77,32395.61,33613.87
,,,118,59244.77,32395.61,33613.87
,,,119,59244.77,32395.61,33613.87
,,,120,59244.77,32395.61,33613.87
,,,121,59244.77,32395.61,33613.87
,,,122,59244.77,32395.61,33613.87
,,,123,59244.77,32395.61,33613.87
,,,124,59244.77,32395.61,33613.87
,,,125,59244.77,32395.61,33613.87
,,,126,59244.77,32395.61,33613.87
,,,127,59244.77,32395.61,33613.87
,,,128,59244.77,32395.61,33613.87
,,,129,59244.77,32395.61,33613.87
,,,130,59244.77,32395.61,33613.87
,,,131,59244.77,32395.61,33613.87
,,,132,59244.77,32395.61,33613.87
,,,133,59244.77,32395.61,33613.87
,,,134,59244.77,32395.61,33613.87
,,,135,59244.77,32395.61,33613.87
,,,136,59244.77,32395.61,33613.87
,,,137,59244.77,32395.61,33613.87
,,,138,59244.77,32395.61,33613.87
,,,139,59244.77,32395.61,33613.87
,,,140,59244.77,32395.61,33613.87
,,,141,59244.77,32395.61,33613.87
,,,142,59244.77,32395.61,33613.87
,,,143,59244.77,32395.61,33613.87
,,,144,59244.77,32395.61,33613.87
,,,145,59244.77,32395.61,33613.87
,,,146,59244.77,32395.61,33613.87
,,,147,59244.77,32395.61,33613.87
,,,148,59244.77,32395.61,33613.87
,,,149,59244.77,32395.61,33613.87
,,,150,59244.77,32395.61,33613.87
,,,151,59244.77,32395.61,33613.87
,,,152,59244.77,32395.61,33613.87
,,,153,59244.77,32395.61,33613.87
,,,154,59244.77,32395.61,33613.87
,,,155,59244.77,32395.61,33613.87
,,,156,59244.77,32395.61,33613.87
,,,157,59244.77,32395.61,33613.87
,,,158,59244.77,32395.61,33613.87
,,,159,59244.77,32395.61,33613.87
,,,160,59244.77,32395.61,33613.87
,,,161,59244.77,32395.61,33613.87
,,,162,59244.77,32395.61,33613.87
,,,163,59244.77,32395.61,33613.87
,,,164,59244.77,32395.61,33613.87
,,,165,59244.77,32395.61,33613.87
,,,166,59244.77,32395.61,33613.87
,,,167,59244.77,32395.61,33613.87
,,,168,59244.77,32395.61,33613.87
,,,169,59244.77,32395.61,33613.87
,,,170,59244.77,32395.61,33613.87
,,,171,59244.77,32395.61,33613.87
,,,172,59244.77,32395.61,33613.87
,,,173,59244.77,32395.61,33613.87
,,,174,59244.77,32395.61,33613.87
,,,175,59244.77,32395.61,33613.87
,,,176,59244.77,32395.61,33613.87
,,,177,59244.77,32395.61,33613.87
,,,178,59244.77,32395.61,33613.87
,,,179,59244.77,32395.61,33613.87
,,,180,59244.77,32395.61,33613.87
,,,181,59244.77,32395.61,33613.87
,,,182,59244.77,32395.61,33613.87
,,,183,59244.77,32395.61,33613.87
,,,184,59244.77,32395.61,33613.87
,,,185,59244.77,32395.61,33613.87
,,,186,59244.77,32395.61,33613.87
,,,187,59244.77,32395.61,33613.87
,,,188,59244.77,32395.61,33613.87
