Voll,Demand_Segment,Cost_of_Demand_Curtailment_per_Tonne,Max_Demand_Curtailment,Rep_Periods,Timesteps_per_Rep_Period,Sub_Weights,Time_Index,Load_H2_tonne_per_hr_z1,Load_H2_tonne_per_hr_z2,Load_H2_tonne_per_hr_z3
,,,,,,,204,811,773,406
,,,,,,,205,811,773,406
,,,,,,,206,811,773,406
,,,,,,,207,811,773,406
,,,,,,,208,811,773,406
,,,,,,,209,811,773,406
,,,,,,,210,811,773,406
,,,,,,,211,811,773,406
,,,,,,,212,811,773,406
,,,,,,,213,811,773,406
,,,,,,,214,811,773,406
,,,,,,,215,811,773,406
,,,,,,,216,811,773,406
,,,,,,,217,811,773,406
,,,,,,,218,811,773,406
,,,,,,,219,811,773,406
,,,,,,,220,811,773,406
,,,,,,,221,811,773,406
,,,,,,,222,811,773,406
,,,,,,,223,811,773,406
,,,,,,,224,811,773,406
,,,,,,,225,811,773,406
,,,,,,,226,811,773,406
,,,,,,,227,811,773,406
,,,,,,,228,811,773,406
,,,,,,,229,811,773,406
,,,,,,,230,811,773,406
,,,,,,,231,811,773,406
,,,,,,,232,811,773,406
,,,,,,,233,811,773,406
,,,,,,,234,811,773,406
,,,,,,,235,811,773,406
,,,,,,,236,811,773,406
,,,,,,,237,811,773,406
,,,,,,,238,811,773,406
,,,,,,,239,811,773,406
,,,,,,,240,811,773,406
,,,,,,,241,811,773,406
,,,,,,,242,811,773,406
,,,,,,,243,811,773,406
,,,,,,,244,811,773,406
,,,,,,,245,811,773,406
,,,,,,,246,811,773,406
,,,,,,,247,811,773,406
,,,,,,,248,811,773,406
,,,,,,,249,811,773,406
,,,,,,,250,811,773,406
,,,,,,,251,811,773,406
,,,,,,,252,811,773,406
,,,,,,,253,811,773,406
,,,,,,,254,811,773,406
,,,,,,,255,811,773,406
,,,,,,,256,811,773,406
,,,,,,,257,811,773,406
,,,,,,,258,811,773,406
,,,,,,,259,811,773,406
,,,,,,,260,811,773,406
,,,,,,,261,811,773,406
,,,,,,,262,811,773,406
,,,,,,,263,811,773,406
,,,,,,,264,811,773,406
,,,,,,,265,811,773,406
,,,,,,,266,811,773,406
,,,,,,,267,811,773,406
,,,,,,,268,811,773,406
,,,,,,,269,811,773,406
,,,,,,,270,811,773,406
,,,,,,,271,811,773,406
,,,,,,,272,811,773,406
,,,,,,,273,811,773,406
,,,,,,,274,811,773,406
,,,,,,,275,811,773,406
,,,,,,,276,811,773,406
,,,,,,,277,811,773,406
,,,,,,,278,811,773,406
,,,,,,,279,811,773,406
,,,,,,,280,811,773,406
,,,,,,,281,811,773,406
,,,,,,,282,811,773,406
,,,,,,,283,811,773,406
,,,,,,,284,811,773,406
,,,,,,,285,811,773,406
,,,,,,,286,811,773,406
,,,,,,,287,811,773,406
