H2TruckType,LDS,New_Build,Existing_Number,Existing_Energy_Cap_tonne,Inv_Cost_p_unit_p_yr,Existing_ChargePower_Cap_MW_z1,Existing_ChargePower_Cap_MW_z2,Existing_ChargePower_Cap_MW_z3,Existing_ChargePower_Cap_MW_z4,Existing_ChargePower_Cap_MW_z5,Existing_ChargePower_Cap_MW_z6,Existing_ChargePower_Cap_MW_z7,Existing_ChargePower_Cap_MW_z8,Existing_ChargePower_Cap_MW_z9,TruckCap_MWh_per_unit,Inv_Cost_ChargePower_p_MW_yr,Fixed_OM_Cost_ChargePower_p_MW_yr,H2TruckCompressionEnergy,H2TruckCompressionUnitOpex,Max_ChargePower_Cap_MW,Min_ChargePower_Cap_MW,Full_weight_tonne_per_unit,Empty_weight_tonne_per_unit,AvgTruckSpeed_mile_per_hour,H2TruckUnitOpex_per_mile_full,H2TruckUnitOpex_per_mile_empty,H2TLoss_per_mile,H2TLoss_per_mile_1,lifetime,Fuel,Fuel_MMBTU_per_mile,Power_MW_per_mile,H2_MWh_per_mile
Gas,0,1,0,0,840000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.384600000000002,38090.40121889284,0.0,0.025393600812595226,0.0,-1.0,-1.0,10.67,10,35,1.38,1.38,0.0,0.0015,12,CT_NG,0,0,0.0
Liquid,0,1,0,0,1200000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,169.334,812595.2260030472,0.0,0.27932960893854747,0.0,-1.0,-1.0,14.3,10,35,1.38,1.38,0.03,0.0015,12,CT_NG,0,0,0.0
LOHC,0,1,0,0,480000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.884,1.0157440325038091e6,0.0,253.93600812595227,0.0,-1.0,-1.0,11.8,10,35,1.38,1.38,0.1,0.0015,12,CT_NG,0,0,0.0
